core	locus	physical_folio	token	object_tags	relation_tags	certainty	description
aiin	f67r2.18	f67	daiin	STAR_OR_SKY		UNHEDGED	Text lines in sectors with moons. || Sector at 10:30, line 3. Grove's T3.3.
aiin	f67r2.29	f67	saiin	STAR_OR_SKY		UNHEDGED	Text lines in sectors with moons. || Sector at 02:30, line 1. Grove's T7.1.
aiin	f67r2.36	f67	daiin	STAR_OR_SKY		UNHEDGED	Text lines in sectors with moons. || Sector at 04:30, line 2. Grove's T9.2.
aiin	f67r2.44	f67	aiin	STAR_OR_SKY	REL_PROXIMITY	UNHEDGED	Text lines in sectors with moons. || Sector at 07:30, line 1. Grove's T12.1. The gallows has half of a hook at the end of the horz arm, so it is halfway between @f and @z.
aiin	f67r2.56	f67	daiin	LABEL;STAR_OR_SKY		HEDGED	Circle of 12 labels under the moons. || Moon at 01:30, red. The @t gallows has a longish serif on the right leg. Assumed accident.
aiin	f68v2.16	f68	daiin	STAR_OR_SKY		UNHEDGED	Radial titles, outwards from points of big central star. || From star point at 9:30. Grove's S8.
aiin	f72v3.13	f72	daiin	FIGURE;LABEL;STAR_OR_SKY		HEDGED	Labels in star/nymph band 1 (outermost) || Label at 05:00. Grove's #13. Star/nymph at 05:00?
ain	f67r2.19	f67	ain	STAR_OR_SKY		UNHEDGED	Text lines in sectors with moons. || Sector at 11:30, line 1. Grove's T4.1.
ain	f67r2.48	f67	dain	STAR_OR_SKY	REL_ENCLOSURE;REL_PROXIMITY	HEDGED	Text lines in sectors with moons. || It may be that lines 1-11 and 27-32 constitute a single paragraph with two lines and half, and ditto for lines 12-26. However, the 08:30 sector has four lines, whereas 07:30 has three and 09:30 has two. Also, within each sector the baselines are straight, so there is a change o baseline direction as we go from one sector to the next. Therefore the reading order used below (by sector) is probably the correct one. Sector at 08:30, line 1. Grove's T1.1.
ain	f99r.7	f99	ain	LABEL;PLANT	REL_PROXIMITY	UNHEDGED	Labels in row of plants 1 (top). || West of plant <f99r>[1,5], stem level, line 2. EVMT's <e99r.L6>, word 2.
