collection_id	recipe_id	recipe_ordinal	element_ordinal	role	parent_instruction_ordinal	token_count	relative_element_position	concept_id	editor_english_label	annotation_flags
b4	b4.1	1	1	TITLE	0	5	0.017857143	NONE	Pike roast	NONE
b4	b4.1	1	2	INGREDIENT	0	1	0.035714286	Q83363026	northern pike	NONE
b4	b4.1	1	3	DISH	0	1	0.053571429	Q899561	roast	NONE
b4	b4.1	1	4	INSTRUCTION	0	4	0.071428571	NONE	NONE	NONE
b4	b4.1	1	5	INGREDIENT	1	1	0.089285714	Q83363026	northern pike	NONE
b4	b4.1	1	6	INSTRUCTION	0	3	0.107142857	NONE	NONE	NONE
b4	b4.1	1	7	INSTRUCTION	0	4	0.125000000	NONE	NONE	NONE
b4	b4.1	1	8	INGREDIENT	3	1	0.142857143	Q11801583	fish bone	exclusion
b4	b4.1	1	9	ALTERNATIVE	0	79	0.160714286	NONE	NONE	NONE
b4	b4.1	1	10	INGREDIENT	0	3	0.178571429	Q107246653	northern pike blood	NONE
b4	b4.1	1	11	KITCHENTIP	0	67	0.196428571	NONE	NONE	NONE
b4	b4.1	1	12	INGREDIENT	0	1	0.214285714	Q1468150	gingerbread for sauce	NONE
b4	b4.1	1	13	TOOL	0	1	0.232142857	Q381155	sieve	NONE
b4	b4.1	1	14	INGREDIENT	0	1	0.250000000	Q282	wine	NONE
b4	b4.1	1	15	INGREDIENT	0	1	0.267857143	Q1468150	gingerbread for sauce	NONE
b4	b4.1	1	16	INGREDIENT	0	1	0.285714286	Q67773148	northern pike filet	NONE
b4	b4.1	1	17	INGREDIENT	0	2	0.303571429	Q3893120	rye bread	NONE
b4	b4.1	1	18	INGREDIENT	0	1	0.321428571	Q67773148	northern pike filet	NONE
b4	b4.1	1	19	INGREDIENT	0	1	0.339285714	Q1468150	gingerbread for sauce	NONE
b4	b4.1	1	20	INSTRUCTION	0	3	0.357142857	NONE	NONE	NONE
b4	b4.1	1	21	INGREDIENT	4	1	0.375000000	Q42527	spice	NONE
b4	b4.1	1	22	KITCHENTIP	0	4	0.392857143	NONE	NONE	NONE
b4	b4.1	1	23	INGREDIENT	0	1	0.410714286	Q25434	saffron	exclusion
b4	b4.1	1	24	INSTRUCTION	0	7	0.428571429	NONE	NONE	NONE
b4	b4.1	1	25	INGREDIENT	5	1	0.446428571	Q67773148	northern pike filet	NONE
b4	b4.1	1	26	INSTRUCTION	0	10	0.464285714	NONE	NONE	NONE
b4	b4.1	1	27	INGREDIENT	6	1	0.482142857	Q67773148	northern pike filet	NONE
