rank	family	member_corpora	members	mean_structural_distance	minimum_member_distance	aggregation	claim_ceiling
1	Slavic	1	OLD_CHURCH_SLAVONIC_UD	0.3472333527255342	0.3472333527255342	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
2	Romance	2	ITALIAN_WIKI_CONTROL;OLD_ITALIAN_UD_CONTROL	0.3693245544426994	0.29108926266785956	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
3	Italic	2	LATIN_PROIEL_CONTROL;LATIN_WIKI_CONTROL	0.42519909073042284	0.40513846659669456	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
4	Turkic_Kipchak	1	KAZAKH_KIPCHAK_SENSITIVITY	0.4286097324435287	0.4286097324435287	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
5	Northwest_Caucasian	2	ABKHAZ_MODERN_SENSITIVITY;ADYGHE_MODERN_SENSITIVITY	0.44156242241367216	0.3519187352934849	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
6	Semitic	2	ARABIC_WIKI_CONTROL;MALTESE_MODERN_SENSITIVITY	0.45554124673775315	0.45416620771756033	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
7	Basque	1	BASQUE_MODERN	0.46335817862708895	0.46335817862708895	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
8	Northeast_Caucasian	2	AVAR_MODERN_SENSITIVITY;LEZGIAN_MODERN_SENSITIVITY	0.4906722485592415	0.44820488471171893	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
9	Uralic	1	HUNGARIAN_MODERN	0.49924895995451307	0.49924895995451307	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
10	Germanic	1	GERMAN_WIKI_CONTROL	0.5211929217773803	0.5211929217773803	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
11	Kartvelian	1	GEORGIAN_MODERN_SENSITIVITY	0.5403142500192211	0.5403142500192211	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
12	Armenian	1	ARMENIAN_MODERN_SENSITIVITY	0.5485403792597917	0.5485403792597917	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
13	Greek	2	ANCIENT_GREEK_PROIEL_CONTROL;GREEK_WIKI_CONTROL	0.568372489043546	0.5405612185211826	MEAN_OF_MATCHED_CORPUS_DISTANCES	DESCRIPTIVE_FAMILY_LABEL_AGGREGATION_NOT_ANCESTRY_OR_IDENTIFICATION
