field	evidence_class	oracle_forbidden	blind_parser_allowed
observation_id	PHYSICAL_LOCATOR	0	1
world_view	PHYSICAL_LOCATOR	0	1
witness_renderer	REGISTER_HAND	0	1
register	REGISTER_HAND	0	1
hand	REGISTER_HAND	0	1
folio_id	PHYSICAL_LOCATOR	0	1
layout_folio_ordinal	PHYSICAL_LOCATOR	0	1
physical_line_id	PHYSICAL_LOCATOR	0	1
line_ordinal_on_folio	PHYSICAL_LOCATOR	0	1
group_index	PHYSICAL_LOCATOR	0	1
group_count	PHYSICAL_LOCATOR	0	1
surface_group	VISIBLE_SURFACE	0	1
left_separator	SOURCE_SEPARATOR	0	1
right_separator	SOURCE_SEPARATOR	0	1
paragraph_start	PERMITTED_LAYOUT_ANNOTATION	0	1
paragraph_end	PERMITTED_LAYOUT_ANNOTATION	0	1
line_layout_role	PERMITTED_LAYOUT_ANNOTATION	0	1
page_layout_role	PERMITTED_LAYOUT_ANNOTATION	0	1
annotation_provenance	PERMITTED_LAYOUT_ANNOTATION	0	1
annotation_tags	PERMITTED_LAYOUT_ANNOTATION	0	1
annotation_confidence	PERMITTED_LAYOUT_ANNOTATION	0	1
canonical_host	SEALED_ORACLE_ONLY	1	0
lexical_id	SEALED_ORACLE_ONLY	1	0
lexical_status	SEALED_ORACLE_ONLY	1	0
rendered_host	SEALED_ORACLE_ONLY	1	0
scribe_render_rule	SEALED_ORACLE_ONLY	1	0
source_form	SEALED_ORACLE_ONLY	1	0
source_type_hash	SEALED_ORACLE_ONLY	1	0
true_closure	SEALED_ORACLE_ONLY	1	0
true_field_marker	SEALED_ORACLE_ONLY	1	0
true_lexical_left	SEALED_ORACLE_ONLY	1	0
true_lexical_right	SEALED_ORACLE_ONLY	1	0
true_line_frame	SEALED_ORACLE_ONLY	1	0
true_literal_escape	SEALED_ORACLE_ONLY	1	0
true_positional_right	SEALED_ORACLE_ONLY	1	0
true_record_id	SEALED_ORACLE_ONLY	1	0
true_record_length	SEALED_ORACLE_ONLY	1	0
true_record_operator	SEALED_ORACLE_ONLY	1	0
true_record_slot	SEALED_ORACLE_ONLY	1	0
true_source_occurrence_index	SEALED_ORACLE_ONLY	1	0
