page	locus	paragraph_id	paragraph_line_ordinal	paragraph_line_count	source_editions_marking_start	majority_paragraph_start	single_reading_start_disagreement	gdt229_role_available	historical_gdt229_record_ids
f80r	f80r.11	P1	1	17	IT2a,ZL3b	1	0	0	NONE
f80r	f80r.12	P1	2	17	NONE	0	0	0	NONE
f80r	f80r.13	P1	3	17	NONE	0	0	0	NONE
f80r	f80r.14	P1	4	17	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.15	P1	5	17	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.16	P1	6	17	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.17	P1	7	17	NONE	0	0	0	NONE
f80r	f80r.18	P1	8	17	IT2a	0	1	1	Q13|f80r|R01
f80r	f80r.19	P1	9	17	NONE	0	0	0	NONE
f80r	f80r.20	P1	10	17	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.21	P1	11	17	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.22	P1	12	17	NONE	0	0	0	NONE
f80r	f80r.23	P1	13	17	NONE	0	0	0	NONE
f80r	f80r.24	P1	14	17	NONE	0	0	0	NONE
f80r	f80r.25	P1	15	17	NONE	0	0	0	NONE
f80r	f80r.26	P1	16	17	NONE	0	0	0	NONE
f80r	f80r.27	P1	17	17	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.28	P2	1	6	IT2a,ZL3b	1	0	0	NONE
f80r	f80r.29	P2	2	6	NONE	0	0	0	NONE
f80r	f80r.30	P2	3	6	NONE	0	0	0	NONE
f80r	f80r.31	P2	4	6	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.32	P2	5	6	NONE	0	0	0	NONE
f80r	f80r.33	P2	6	6	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.34	P3	1	6	IT2a,ZL3b	1	0	0	NONE
f80r	f80r.35	P3	2	6	NONE	0	0	0	NONE
f80r	f80r.36	P3	3	6	NONE	0	0	1	Q13|f80r|R01
f80r	f80r.37	P3	4	6	NONE	0	0	0	NONE
f80r	f80r.38	P3	5	6	NONE	0	0	0	NONE
f80r	f80r.39	P3	6	6	NONE	0	0	0	NONE
f80r	f80r.40	P4	1	7	IT2a,ZL3b	1	0	1	Q13|f80r|R02
f80r	f80r.41	P4	2	7	NONE	0	0	0	NONE
f80r	f80r.42	P4	3	7	NONE	0	0	0	NONE
f80r	f80r.43	P4	4	7	NONE	0	0	1	Q13|f80r|R02
f80r	f80r.44	P4	5	7	NONE	0	0	0	NONE
f80r	f80r.45	P4	6	7	NONE	0	0	1	Q13|f80r|R02
f80r	f80r.46	P4	7	7	NONE	0	0	0	NONE
f80r	f80r.47	P5	1	7	IT2a,ZL3b	1	0	0	NONE
f80r	f80r.48	P5	2	7	NONE	0	0	0	NONE
f80r	f80r.49	P5	3	7	NONE	0	0	0	NONE
f80r	f80r.50	P5	4	7	NONE	0	0	0	NONE
f80r	f80r.51	P5	5	7	NONE	0	0	1	Q13|f80r|R02
f80r	f80r.52	P5	6	7	NONE	0	0	0	NONE
f80r	f80r.53	P5	7	7	NONE	0	0	0	NONE
