anchor_model	formal_feature	selected_for_roles	selected_role_count	figure_channel_unique	complete_prose_occurrences	annotated_support_by_role	claim_state
RESIDUAL_HOST	H2:lk	FIGURE|REL_PROXIMITY	2	0	489	FIGURE:5/7|REL_PROXIMITY:7/7	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
RESIDUAL_HOST	H2:rc	FIGURE|REL_ARRAY_OR_GROUP	2	0	37	FIGURE:2/3|REL_ARRAY_OR_GROUP:2/3	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
RESIDUAL_HOST	H3:kal	FIGURE|REL_ARRAY_OR_GROUP	2	0	250	FIGURE:7/9|REL_ARRAY_OR_GROUP:5/9	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
RESIDUAL_HOST	H3:olk	FIGURE	1	1	264	FIGURE:4/6	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
RESIDUAL_HOST	HOST_EXACT:okal	FIGURE|REL_ARRAY_OR_GROUP|WATER_OR_APPARATUS	3	0	155	FIGURE:3/4|REL_ARRAY_OR_GROUP:3/4|WATER_OR_APPARATUS:3/4	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
SOURCE_FAMILY	F2:BQ	FIGURE|REL_PROXIMITY	2	0	545	FIGURE:5/8|REL_PROXIMITY:8/8	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
SOURCE_FAMILY	F2:CK	FIGURE|REL_ARRAY_OR_GROUP	2	0	72	FIGURE:2/3|REL_ARRAY_OR_GROUP:2/3	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
SOURCE_FAMILY	F3:ABQ	FIGURE|REL_PROXIMITY	2	0	327	FIGURE:5/7|REL_PROXIMITY:7/7	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
SOURCE_FAMILY	F3:ACK	FIGURE|REL_ARRAY_OR_GROUP	2	0	27	FIGURE:2/3|REL_ARRAY_OR_GROUP:2/3	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
SOURCE_FAMILY	F3:QJB	FIGURE|WATER_OR_APPARATUS	2	0	522	FIGURE:5/7|WATER_OR_APPARATUS:4/7	ANCHOR_SELECTION_PROVENANCE_NOT_ROLE_MEANING
