descriptor	exact_regex	positive_loci	eligible	eligibility_rule	provenance	interpretation
DARK	\bdark	46	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
LIGHT	\blight	36	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
DARK_LEAF	dark(?:[\s-]+\w+){0,3}[\s-]+lea(?:f|ves)	25	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
LIGHT_ROOT	light(?:[\s-]+\w+){0,3}[\s-]+root	15	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
BIFURCATED_OR_FORKED	bifurcat|fork	3	0	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
LARGE_LEAF	(?:large|big)(?:[\s-]+\w+){0,2}[\s-]+lea(?:f|ves)	4	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
SPROUT	sprout	1	0	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
STAR_SHAPED	star[- ]shape	1	0	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
ROOT_MENTION	root	46	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
LEAF_MENTION	lea(?:f|ves)	42	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
FLOWER_MENTION	flower	7	1	4_TO_N_MINUS_4	EXISTING_HUMAN_ANNOTATION_RAW_SOURCE_DESCRIPTION	NEUTRAL_VISIBLE_DESCRIPTION_PATTERN
