locus	page	physical_folio	group_index	branch	current_state	previous_dy_token	current_token	current_family	claim_state
f104r.1	f104r	f104	7	L	ED_MEDIUM	qopchedy	shedaiin	LJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f104v.10	f104v	f104	7	Q	ED_MEDIUM	oteedy	qotedor	DAQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f104v.22	f104v	f104	5	Q	Q_OUTER_STATE	qokchedy	qokchd	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f104v.25	f104v	f104	4	Q	ED_MEDIUM	lchedy	qokedaiin	DAQJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f105r.21	f105r	f105	5	Q	AL_STATE	qokedy	qokedal	DAQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f105r.6	f105r	f105	3	L	ED_MEDIUM	arody	shedeeey	LJBMA	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f105v.2	f105v	f105	3	L	ED_MEDIUM	ykeeedy	keshed	QJLJB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f106r.18	f106r	f106	6	Q	AR_REFERENCE	okeedy	lkeedar	BQKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f107r.13	f107r	f107	7	L	ED_MEDIUM	shedy	pshedaiin	PLJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f107r.2	f107r	f107	5	Q	ED_MEDIUM	shedy	oteed	AQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f107r.5	f107r	f107	5	Q	ED_MEDIUM	okchedy	qokeed	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f107v.8	f107v	f107	9	Q	ED_MEDIUM	ltedy	otedam	AQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f108r.19	f108r	f108	2	Q	AR_REFERENCE	dchedy	okeedar	AQKBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f108r.29	f108r	f108	9	Q	ED_MEDIUM	okeedy	otedam	AQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f108v.17	f108v	f108	9	Q	AR_REFERENCE	qokeshdy	kedar	QJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f108v.31	f108v	f108	5	Q	ED_MEDIUM	qokedy	qokedain	DAQJBAF	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f108v.6	f108v	f108	10	Q	AR_REFERENCE	okeedy	kedarxy	QJBACXA	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f111r.17	f111r	f111	10	Q	ED_MEDIUM	chekeedy	oteed	AQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f111r.43	f111r	f111	3	Q	AR_REFERENCE	lkeedy	lkedar	BQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f111r.48	f111r	f111	3	Q	ED_MEDIUM	lkeedy	tedain	QJBAF	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f111v.2	f111v	f111	10	Q	ED_MEDIUM	qopchedy	qokedam	DAQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f111v.5	f111v	f111	11	Q	AL_STATE	shedy	qotedal	DAQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f112v.30	f112v	f112	3	Q	ED_MEDIUM	sheedy	okeedey	AQKBJA	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f112v.37	f112v	f112	6	Q	ED_MEDIUM	shedy	qokedaiin	DAQJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f113r.30	f113r	f113	10	Q	Q_OUTER_STATE	shkchedy	qokchd	DAQKB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114r.19	f114r	f114	2	L	AR_REFERENCE	pairody	shedar	LJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114r.20	f114r	f114	8	Q	ED_MEDIUM	oteedy	qoted	DAQJB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114r.31	f114r	f114	6	Q	ED_MEDIUM	otedy	qokeedain	DAQKBAF	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114v.1	f114v	f114	9	Q	AR_REFERENCE	otdady	qotedar	DAQJBAC	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114v.11	f114v	f114	5	Q	ED_MEDIUM	qotedy	tedaiin	QJBAG	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
f114v.21	f114v	f114	8	Q	AL_STATE	qokchdy	otedal	AQJBAB	NON_DY_POST_CHECKPOINT_EXAMPLE_NOT_MEANING
