locus	physical_folio	register	side	token	wrapper	residual_host	base	suffix
f15r.7	f15	HA	CONTROL	shkaiin	sh	kaiin	k	aiin
f15v.6	f15	HA	CONTROL	kaiin	NONE	kaiin	k	aiin
f21r.12	f21	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f21r.9	f21	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f28v.5	f28	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f28v.6	f28	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f29r.7	f29	HA	CONTROL	kaiin	NONE	kaiin	k	aiin
f3v.13	f3	HA	CONTROL	shkaiin	sh	kaiin	k	aiin
f32v.5	f32	HA	CONTROL	kaiin	NONE	kaiin	k	aiin
f42r.17	f42	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f56v.9	f56	HA	CONTROL	kaiin	NONE	kaiin	k	aiin
f8r.19	f8	HA	CONTROL	kaiin	NONE	kaiin	k	aiin
f8r.19	f8	HA	CONTROL	kaiin	NONE	kaiin	k	aiin
f9v.12	f9	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f9v.2	f9	HA	CONTROL	chkaiin	ch	kaiin	k	aiin
f76v.30	f76	OB	CONTROL	chkaiin	ch	kaiin	k	aiin
f77v.15	f77	OB	CONTROL	kaiin	NONE	kaiin	k	aiin
f80v.28	f80	OB	CONTROL	kaiin	NONE	kaiin	k	aiin
f81v.4	f81	OB	CONTROL	kaiin	NONE	kaiin	k	aiin
f86v5.11	f86	OB	CONTROL	kaiin	NONE	kaiin	k	aiin
f86v5.31	f86	OB	CONTROL	kaiin	NONE	kaiin	k	aiin
f39r.3	f39	HB	TARGET	chekaiin	che	kaiin	k	aiin
f40r.7	f40	HB	TARGET	chekaiin	che	kaiin	k	aiin
f50r.3	f50	HB	TARGET	chkaiin	ch	kaiin	k	aiin
f55r.4	f55	HB	TARGET	kaiin	NONE	kaiin	k	aiin
f95r1.3	f95	HB	TARGET	chekaiin	che	kaiin	k	aiin
f95r1.3	f95	HB	TARGET	chekaiin	che	kaiin	k	aiin
f95r1.4	f95	HB	TARGET	kaiin	NONE	kaiin	k	aiin
f103r.31	f103	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f104r.36	f104	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f104v.29	f104	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f104v.30	f104	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f104v.33	f104	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f105v.10	f105	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f106v.41	f106	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f106v.46	f106	SB	TARGET	chkaiin	ch	kaiin	k	aiin
f107r.33	f107	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f107v.12	f107	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f107v.21	f107	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f107v.21	f107	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f108v.25	f108	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f111v.48	f111	SB	TARGET	skaiin	s	kaiin	k	aiin
f112v.34	f112	SB	TARGET	chkaiin	ch	kaiin	k	aiin
f113r.32	f113	SB	TARGET	shkaiin	sh	kaiin	k	aiin
f113r.6	f113	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f114r.37	f114	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f114v.33	f114	SB	TARGET	kaiin	NONE	kaiin	k	aiin
f114v.9	f114	SB	TARGET	skaiin	s	kaiin	k	aiin
