panel	reading_mode	representation	descriptor_token	positive_loci	gain_bits	positive_gain_folios
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	light	24	2.49089895012	3
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	large	3	0.27295165072	3
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	bulb	1	0.180518277742	5
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	flower	8	-0.082862122473	3
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	many	1	-0.261450947685	4
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	edge	1	-0.614547401135	3
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	round	1	-1.22677805191	3
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	finger	0	-1.40047309897	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	serrated	2	-1.45682596595	3
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	base	0	-1.68782425406	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	stalk	0	-1.782252717	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	shaped	1	-2.2963794467	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	root	23	-2.53401510703	1
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	level	0	-3.27391728609	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	ground	0	-3.48784957338	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	coloured	3	-3.98964675473	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	dark	28	-7.57319302754	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	leaf	26	-9.96594791487	2
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	stem	15	-10.2106136754	0
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	base	0	1.48474109784	4
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	edge	1	-0.0278384869095	2
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	bulb	1	-0.214628571915	5
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	many	1	-0.414529031906	2
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	stem	15	-1.01579897969	3
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	finger	0	-1.52380960732	2
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	large	3	-2.02268189388	4
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	stalk	0	-2.06441246681	2
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	coloured	3	-2.27379220701	4
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	ground	0	-3.70260691112	0
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	level	0	-4.95456232141	0
