model	metric	true_value	null_mean	null_sd	true_z	inclusive_rank_of_120	local_inclusive_p	max_18_inclusive_p
HOST_IDENTITY	MEAN_RECIPROCAL_RANK	0.6	0.33875	0.102308595001	2.55354889779	3	0.0333333333333	0.025
HOST_IDENTITY	MEAN_LOG2_PROBABILITY	-2.349118594	-2.35446323229	0.0269340174709	0.198434499974	45	0.375	0.025
HOST_IDENTITY	TOP1_COUNT	2	0.333333333333	0.596284794	2.79508497187	1	0.0666666666667	0.025
HOST_CHAR3	MEAN_RECIPROCAL_RANK	0.766666666667	0.400083333333	0.156493676656	2.34248016384	1	0.0166666666667	0.025
HOST_CHAR3	MEAN_LOG2_PROBABILITY	-2.21040794781	-2.35542054682	0.0452691356646	3.20334366634	4	0.0333333333333	0.025
HOST_CHAR3	TOP1_COUNT	3	0.716666666667	0.923610066833	2.47218324629	1	0.0416666666667	0.025
HOST_BOTH	MEAN_RECIPROCAL_RANK	0.4	0.336666666667	0.119464856137	0.530141962927	34	0.283333333333	0.025
HOST_BOTH	MEAN_LOG2_PROBABILITY	-2.2715530003	-2.38151008437	0.0542522595039	2.0267742777	6	0.05	0.025
HOST_BOTH	TOP1_COUNT	0	0.391666666667	0.662015021649	-0.591628065616	37	1	0.025
RAW_CHAR3	MEAN_RECIPROCAL_RANK	0.316666666667	0.340583333333	0.11425091174	-0.209334580377	50	0.416666666667	0.025
RAW_CHAR3	MEAN_LOG2_PROBABILITY	-2.37053124123	-2.37447854696	0.0375352076012	0.105162752047	46	0.383333333333	0.025
RAW_CHAR3	TOP1_COUNT	0	0.391666666667	0.698758820258	-0.560517671207	33	1	0.025
COMPILER	MEAN_RECIPROCAL_RANK	0.306666666667	0.348666666667	0.116341929004	-0.361004844594	70	0.583333333333	0.025
COMPILER	MEAN_LOG2_PROBABILITY	-2.33917261737	-2.37239348606	0.040636620506	0.817510616665	23	0.191666666667	0.025
COMPILER	TOP1_COUNT	0	0.408333333333	0.735932892472	-0.554851315263	36	1	0.025
ALL_FOUR	MEAN_RECIPROCAL_RANK	0.766666666667	0.312555555556	0.108386938305	4.18972173413	1	0.0166666666667	0.025
ALL_FOUR	MEAN_LOG2_PROBABILITY	-2.1088803673	-2.44562859954	0.105487520483	3.19230398722	2	0.0166666666667	0.025
ALL_FOUR	TOP1_COUNT	3	0.275	0.618634248432	4.40486443631	1	0.025	0.025
