residual_host	rows	ch	che	sh	wrapper_types	physical_folios	pages	majority_wrapper	majority_fraction
ol	371	200	68	103	3	81	136	ch	0.539083558
dy	355	80	255	20	3	43	76	che	0.718309859
e	268	1	29	238	3	41	68	sh	0.888059701
y	268	66	166	36	3	72	113	che	0.619402985
o	219	69	54	96	3	70	107	sh	0.438356164
or	197	111	32	54	3	69	103	ch	0.563451777
ey	196	0	71	125	2	52	80	sh	0.637755102
ckhy	111	59	22	30	3	38	53	ch	0.531531532
cthy	81	45	15	21	3	41	46	ch	0.555555556
eey	77	0	3	74	2	38	51	sh	0.961038961
ar	66	25	20	21	3	36	43	ch	0.378787879
eol	64	0	6	58	2	33	43	sh	0.906250000
eo	54	0	13	41	2	30	39	sh	0.759259259
odaiin	50	30	6	14	3	28	36	ch	0.600000000
ky	46	9	31	6	3	33	37	che	0.673913043
al	44	20	19	5	3	17	22	ch	0.454545455
aiin	43	28	2	13	3	25	31	ch	0.651162791
eky	31	0	13	18	2	23	28	sh	0.580645161
dar	30	10	14	6	3	15	23	che	0.466666667
oky	30	21	6	3	3	20	24	ch	0.700000000
daiin	27	11	15	1	3	11	15	che	0.555555556
eor	27	0	6	21	2	19	21	sh	0.777777778
os	27	12	10	5	3	21	24	ch	0.444444444
s	27	8	17	2	3	22	25	che	0.629629630
octhy	24	13	3	8	3	21	21	ch	0.541666667
oty	24	18	1	5	3	16	18	ch	0.750000000
dal	22	10	10	2	3	15	17	ch	0.454545455
ty	21	9	11	1	3	18	20	che	0.523809524
es	20	0	18	2	2	16	17	che	0.900000000
ain	19	12	1	6	3	17	18	ch	0.631578947
l	19	15	0	4	2	14	15	ch	0.789473684
kaiin	18	11	4	3	3	14	14	ch	0.611111111
ockhy	18	11	5	2	3	17	18	ch	0.611111111
ckhey	16	11	3	2	3	14	16	ch	0.687500000
d	16	3	10	3	3	13	15	che	0.625000000
od	16	6	3	7	3	14	14	sh	0.437500000
am	15	10	2	3	3	11	11	ch	0.666666667
dain	15	4	11	0	2	12	12	che	0.733333333
ckhe	14	8	1	5	3	9	11	ch	0.571428571
oiin	14	10	0	4	2	9	11	ch	0.714285714
okchy	14	10	0	4	2	11	13	ch	0.714285714
eal	13	0	2	11	2	11	12	sh	0.846153846
om	12	6	3	3	3	8	9	ch	0.500000000
an	11	6	1	4	3	10	10	ch	0.545454545
odain	11	4	5	2	3	9	10	che	0.454545455
okaiin	11	8	2	1	3	9	10	ch	0.727272727
okain	11	7	3	1	3	9	10	ch	0.636363636
oly	11	5	4	2	3	9	9	ch	0.454545455
kain	10	4	4	2	3	9	10	ch	0.400000000
