page_host	host_length	global_occurrences	global_pages	true_overlap_count	true_relation_support	true_z	inclusive_rank_of_120	local_inclusive_p	max_host_inclusive_p
ckh	3	21	19	1	1	2	1	0.2	0.933333333333
olcheey	7	4	4	1	1	2	1	0.2	0.933333333333
os	2	47	38	1	1	2	1	0.2	0.933333333333
oto	3	16	16	1	1	2	1	0.2	0.933333333333
ycheey	6	14	12	1	1	2	1	0.2	0.933333333333
s	1	121	76	3	2	1.52752523165	1	0.2	0.933333333333
chy	3	100	61	1	1	1.22474487139	1	0.4	0.933333333333
kor	3	12	12	1	1	1.22474487139	1	0.4	0.933333333333
oko	3	16	15	1	1	1.22474487139	1	0.4	0.933333333333
olo	3	11	9	1	1	1.22474487139	1	0.4	0.933333333333
r	1	69	45	1	1	1.22474487139	1	0.4	0.933333333333
y	1	890	165	3	3	1.22474487139	1	0.4	0.933333333333
ain	3	182	85	1	1	1.22474487139	1	0.4	0.933333333333
or	2	504	154	10	4	1.08465228909	13	0.25	0.933333333333
aiin	4	741	169	6	3	0.904534033733	13	0.4	0.933333333333
chor	4	59	43	1	1	0.816496580928	1	0.6	0.933333333333
oky	3	155	87	1	1	0.816496580928	1	0.6	0.933333333333
al	2	292	94	1	1	0.333333333333	13	0.7	0.933333333333
d	1	312	113	3	2	-0.229415733871	45	0.766666666667	0.933333333333
ar	2	350	111	1	1	-0.5	49	0.9	0.933333333333
okor	4	33	29	0	0	-0.5	25	1	0.933333333333
k	1	144	66	0	0	-0.5	25	1	0.933333333333
air	3	81	51	0	0	-0.5	25	1	0.933333333333
okeos	5	3	3	0	0	-0.5	25	1	0.933333333333
okol	4	93	58	0	0	-0.5	25	1	0.933333333333
shy	3	15	14	0	0	-0.5	25	1	0.933333333333
cth	3	33	26	0	0	-0.816496580928	49	1	0.933333333333
cthy	4	137	71	0	0	-0.816496580928	49	1	0.933333333333
l	1	923	170	7	4	-1.41421356237	97	1	0.933333333333
o	1	368	139	2	2	-1.52752523165	97	1	0.933333333333
ckhy	4	127	68	0	0	-2	109	1	0.933333333333
