held_folio	baseline	held_bits	held_symbols	held_bits_per_member	training_only
f103	SOURCE_STA_ORDER2_KT	4522.554117735	1717	2.633986091	1
f103	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5477.893638713	1717	3.190386511	1
f104	SOURCE_STA_ORDER2_KT	4729.741476001	1704	2.775669880	1
f104	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5988.114035237	1704	3.514151429	1
f105	SOURCE_STA_ORDER2_KT	4543.857052130	1435	3.166450907	1
f105	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5841.994912895	1435	4.071076594	1
f106	SOURCE_STA_ORDER2_KT	4158.575911200	1478	2.813650819	1
f106	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5212.313936835	1478	3.526599416	1
f107	SOURCE_STA_ORDER2_KT	4940.472665104	1893	2.609864060	1
f107	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5967.883583897	1893	3.152606225	1
f108	SOURCE_STA_ORDER2_KT	5145.676341703	2089	2.463224673	1
f108	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	6229.349981376	2089	2.981977014	1
f111	SOURCE_STA_ORDER2_KT	4657.553586342	1724	2.701597208	1
f111	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5718.985887727	1724	3.317277197	1
f112	SOURCE_STA_ORDER2_KT	4616.172293924	1693	2.726622737	1
f112	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5625.531187355	1693	3.322818185	1
f113	SOURCE_STA_ORDER2_KT	4319.916467548	1516	2.849549121	1
f113	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	5611.403552348	1516	3.701453531	1
f114	SOURCE_STA_ORDER2_KT	5683.354869094	2037	2.790061300	1
f114	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	7331.149464637	2037	3.598993355	1
f115	SOURCE_STA_ORDER2_KT	4876.310042978	1720	2.835063978	1
f115	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	6280.644139208	1720	3.651537290	1
f116	SOURCE_STA_ORDER2_KT	2192.951110431	788	2.782932881	1
f116	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	2560.846271978	788	3.249804914	1
ALL_12	SOURCE_STA_ORDER2_KT	54387.135934191	19794	2.747657671	1
ALL_12	WHOLE_GROUP_KT_ESCAPE_SOURCE_ORDER2	67846.110592205	19794	3.427609912	1
