scope	endpoint_panel	representation	physical_folio	eligible_loci	gain_bits
AVERAGE_PROFILEABLE_GE1	ALL_19	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f100	4	-2.86198908791
AVERAGE_PROFILEABLE_GE1	ALL_19	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f101	10	-14.6107997259
AVERAGE_PROFILEABLE_GE1	ALL_19	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f102	6	-18.6367419585
AVERAGE_PROFILEABLE_GE1	ALL_19	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f88	1	-2.31337151216
AVERAGE_PROFILEABLE_GE1	ALL_19	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f89	3	4.23314647617
AVERAGE_PROFILEABLE_GE1	ALL_19	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f99	7	0.868284780481
AVERAGE_PROFILEABLE_GE1	ALL_19	PAGE_HOST_CHAR3	f100	4	1.93354706126
AVERAGE_PROFILEABLE_GE1	ALL_19	PAGE_HOST_CHAR3	f101	10	-21.9937079813
AVERAGE_PROFILEABLE_GE1	ALL_19	PAGE_HOST_CHAR3	f102	6	-11.6014613289
AVERAGE_PROFILEABLE_GE1	ALL_19	PAGE_HOST_CHAR3	f88	1	-0.762138726807
AVERAGE_PROFILEABLE_GE1	ALL_19	PAGE_HOST_CHAR3	f89	3	2.8674249834
AVERAGE_PROFILEABLE_GE1	ALL_19	PAGE_HOST_CHAR3	f99	7	4.96604041222
AVERAGE_PROFILEABLE_GE1	ALL_19	RAW_CHAR3	f100	4	2.9169910086
AVERAGE_PROFILEABLE_GE1	ALL_19	RAW_CHAR3	f101	10	-3.35710833874
AVERAGE_PROFILEABLE_GE1	ALL_19	RAW_CHAR3	f102	6	-4.4133584784
AVERAGE_PROFILEABLE_GE1	ALL_19	RAW_CHAR3	f88	1	-0.294457287611
AVERAGE_PROFILEABLE_GE1	ALL_19	RAW_CHAR3	f89	3	5.29199749687
AVERAGE_PROFILEABLE_GE1	ALL_19	RAW_CHAR3	f99	7	3.27266468348
AVERAGE_PROFILEABLE_GE1	TARGET_CAPACITY_GE3	BEHAVIOR_SELF_NEIGHBOR_NOPOS	f100	4	-3.06724114951
