rank	feature_family	feature_value	denominator	ha_count	ha_folios	ha_rate_per_1000	hb_count	hb_folios	hb_rate_per_1000	sb_count	sb_folios	sb_rate_per_1000	ob_count	ob_folios	ob_rate_per_1000	sa_count	sa_folios	sa_rate_per_1000	other_count	other_folios	other_rate_per_1000	shared_a_enrichment_log2	shared_other_b_specificity_log2	hb_sb_abs_log2_rate_difference	minimum_target_folio_support	same_hand3_support	hb_hand3_count	hb_hand3_folios	sb_hand3_count	sb_hand3_folios	hb_nonhand3_count	hb_nonhand3_folios	cross_hand_target_support	sa_cross_currier_sensitivity	lofo_min_a_enrichment_log2	lofo_min_other_b_specificity_log2	family_selector_bits	rank_score	formal_function_hint	classification
1	WRAPPER_CORE	NONE|ain	GROUP	0	0	0.127811861	4	4	3.398791541	16	8	3.397858320	5	5	1.216814159	0	0	1.655629139	0	0	0.730994152	4.732532068	1.481516852	0.000396182	4	NO	0	0	16	8	4	4	YES	ABSENT	4.457957224	1.206942008	6.357552005	7.803246856	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
8	WRAPPER_CORE	che|dy	GROUP	0	0	0.127811861	25	13	19.259818731	99	12	20.490115321	130	13	28.871681416	0	0	1.655629139	1	1	2.192982456	7.235428590	-0.584061004	0.089333979	12	YES	5	2	98	12	20	11	YES	ABSENT	7.144772981	-0.674716613	6.357552005	7.071711724	FORMAL_PATTERN	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
12	FIELD_SHAPE	CLOSED|LEN_3|AR_REFERENCE>DY_RESOLUTION	FIELD	2	2	2.765486726	7	6	16.304347826	14	8	9.570957096	2	2	1.465416178	1	1	25.862068966	0	0	2.808988764	1.791129784	2.707352753	0.768521628	6	NO	0	0	14	8	7	6	YES	PRESENT	1.590315219	2.506538188	5.129283017	6.921576646	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
13	CORE	dy	GROUP	3	3	0.894683027	65	15	49.471299094	127	12	26.256177924	158	13	35.066371681	1	1	4.966887417	2	1	3.654970760	4.875136463	-0.417431242	0.913934864	12	YES	21	2	125	12	44	13	YES	PRESENT	4.809356854	-0.483210852	6.209453366	6.826041044	PREDOMINANT_CARRIER_STATE	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
14	STATE_TRANSITION	DY_RESOLUTION>AR_REFERENCE	TRANSITION	2	2	0.801025312	25	10	22.447183099	51	11	12.279446829	52	12	13.639906469	2	1	9.652509653	4	3	7.922535211	3.938253928	-0.151588181	0.870288841	10	YES	4	1	46	11	21	9	YES	PRESENT	3.741668192	-0.348173917	6.000000000	6.810952945	FORMAL_PATTERN	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
15	FIELD_SHAPE	OPEN|LEN_1|ED_MEDIUM>ED_MEDIUM	FIELD	0	0	0.553097345	3	3	7.608695652	11	8	7.590759076	6	3	3.810082063	0	0	8.620689655	0	0	2.808988764	3.778638840	0.994422091	0.003404993	3	NO	0	0	11	8	3	3	YES	ABSENT	3.367319998	0.583103248	5.129283017	6.771358434	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
16	FIELD_TEMPLATE	ED_MEDIUM>OPEN	FIELD	0	0	0.553097345	3	3	7.608695652	11	8	7.590759076	6	3	3.810082063	0	0	8.620689655	0	0	2.808988764	3.778638840	0.994422091	0.003404993	3	NO	0	0	11	8	3	3	YES	ABSENT	3.367319998	0.583103248	4.169925001	6.771358434	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
19	CORE	okair	GROUP	0	0	0.127811861	3	3	2.643504532	7	5	1.544481054	2	2	0.553097345	3	1	11.589403974	0	0	0.730994152	3.595028544	1.481516852	0.775329626	3	NO	0	0	7	5	3	3	YES	PRESENT	2.969831247	0.856319555	6.209453366	6.688880583	MIXED_NONCLOSURE_HOST_CANDIDATE	B_S_ENRICHED_HAND_CONFOUNDED
22	WRAPPER_CORE	NONE|ote	GROUP	0	0	0.127811861	9	6	7.175226586	29	10	6.074958814	32	10	7.190265487	0	0	1.655629139	0	0	0.730994152	5.570780998	-0.243170413	0.240149764	6	NO	0	0	29	10	9	6	YES	ABSENT	5.333777813	-0.480173598	6.357552005	6.444109628	FORMAL_PATTERN	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
23	STATE_TRANSITION	DY_RESOLUTION>DY_RESOLUTION	TRANSITION	12	8	4.005126562	88	14	77.904929577	236	12	56.390081068	392	13	101.974538841	1	1	5.791505792	8	4	14.964788732	3.815521679	-0.854695661	0.466273203	12	YES	7	2	219	12	81	12	YES	PRESENT	3.658766355	-1.011450985	6.000000000	6.428129135	FORMAL_PATTERN	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
