edition	page	physical_folio	field_id	record_scope	line_depth	field_index	predicted_role_like	supported_abstract_role_like	p_opener	p_operation	p_ingredient	p_tool	p_closer	claim_state
ZL3b	f104r	f104	ZL3b|f104r.1|F01	OPEN	0	1	OPERATION	INSTRUCTION_CLAUSE_LIKE	0.418839332	0.561419230	0.018514731	0.001223700	0.000003006	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.1|F02	OPEN	0	2	INGREDIENT	SHORT_ARGUMENT_LIKE	0.046934868	0.044289590	0.830209347	0.078565304	0.000000890	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.1|F03	OPEN	0	3	INGREDIENT	SHORT_ARGUMENT_LIKE	0.022414113	0.043443261	0.844967305	0.089174080	0.000001241	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.1|F04	OPEN	0	4	OPERATION	INSTRUCTION_CLAUSE_LIKE	0.086231956	0.769348295	0.131608298	0.012796225	0.000015226	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.1|F05	OPEN	0	5	INGREDIENT	SHORT_ARGUMENT_LIKE	0.005143822	0.040513342	0.845967450	0.108372533	0.000002852	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.2|F01	BODY	1	1	OPERATION	INSTRUCTION_CLAUSE_LIKE	0.020386215	0.938468800	0.037048106	0.004056278	0.000040602	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.2|F02	BODY	1	2	OPERATION	INSTRUCTION_CLAUSE_LIKE	0.004873472	0.994711840	0.000344399	0.000033906	0.000036383	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.2|F03	BODY	1	3	INGREDIENT	SHORT_ARGUMENT_LIKE	0.000612286	0.035969768	0.829636645	0.133765182	0.000016119	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.3|F01	BODY	2	1	OPERATION	INSTRUCTION_CLAUSE_LIKE	0.003187123	0.809665011	0.163477064	0.023320512	0.000350291	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.3|F02	BODY	2	2	OPERATION	INSTRUCTION_CLAUSE_LIKE	0.001683416	0.804840743	0.167507661	0.025180722	0.000787458	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.3|F03	BODY	2	3	INGREDIENT	SHORT_ARGUMENT_LIKE	0.000082283	0.032220459	0.813957652	0.153572602	0.000167003	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.3|F04	BODY	2	4	INGREDIENT	SHORT_ARGUMENT_LIKE	0.000298464	0.346457961	0.553091994	0.097221449	0.002930132	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
ZL3b	f104r	f104	ZL3b|f104r.3|F05	BODY	2	5	INGREDIENT	SHORT_ARGUMENT_LIKE	0.000023167	0.030184661	0.806419997	0.162257191	0.001114984	EXPLORATORY_CROSS_CORPUS_ROLE_LIKE_PROJECTION
