corpus	book_or_ms	record_id	expanded_diplomatic_record	regularized_addressee	regularized_content	regularized_other_sections
STE1	Ste1	STE1_SEG01	Nim weichsel vnd sewd die in einem kessel das die kern darvon vallen vnd schuht sie in einen dicken sack vnd tridt sie vast ausz vnd gewsz In in ein vasz vnd tw guten wein darzu vnd mach ein ror auff den spunt vnd laß In Iesen		Nim weichsel vnd sewd die in einem kessel das die kern darvon vallen vnd schuht sie in einen dicken sack vnd tridt sie vast ausz vnd gewsz In in ein vasz vnd tw guten wein darzu vnd mach ein ror auff den spunt vnd laß In Iesen	technical_recipe_record
STE1	Ste1	STE1_SEG02	kutten leg In einen kessel vnd gewsz wasser daron vnd lasz sieden vnd nim sie herausz vnd sneid den kern daruon vnd treib die kutten mit ein loffel durch ein sib darnach legz wider inden kessel vnd gewsz honig daran vnd lasz wol sieden bisz das sie sich auff lazzen zichen andem loffel vnd prawn werden vnd gib In wurtz wie vil du wilt		kutten leg In einen kessel vnd gewsz wasser daron vnd lasz sieden vnd nim sie herausz vnd sneid den kern daruon vnd treib die kutten mit ein loffel durch ein sib darnach legz wider inden kessel vnd gewsz honig daran vnd lasz wol sieden bisz das sie sich auff lazzen zichen andem loffel vnd prawn werden vnd gib In wurtz wie vil du wilt	technical_recipe_record
NUREMBERG	Band2	NB_B2_R000001	primo folıo Regiſtrum ıllıus lıbri Rotemburg Bıſchoff von Meincʒ hern Conrad Schenken von Erpach J . hern Conrad von pickenbach hanman Echter vicʒtum etc hern hartung von Eglofſtein pfleger etc Oſwalden des Erhart vettern diener hern Raban Biſchoff cʒu Speır etc hern fridrich Schenken hauptman lantfried ij . fridrich Ochſen Schultheiſʒ ʒu Bamberg foꝛma priuacionis alıcuıus menbri iij . Epiſcopo Bambergenſis / Hanſen Struperger der Stat cʒu perching iiij wıgleis Schenken hern Rabann Biſchof ʒu Speır etc dem künig Graf fridrich von Otingen hofmeıſter vj fridrich Ochſen Der Stat Augſpurg Der Stat cʒu Tachaw vij Biſchof von Meintʒe hern frıdrıchen herren ʒu heÿdeck Dem künige hern Heinrich Reuſʒen von plawen herren cʒu Grenwtʒ / vnd hauptman cʒu Pernaw vııȷ hern frıdrich herren cʒu haydeck hern Albrecht von Egloſtein Ein vercʒeihbrief gen Eberhart von Roſemberg ſeniori. vnd peter Rügkel et vlrich ſcheffer hern haupten Marſchalk ıx der Stat Eyſtet hertʒog Ernſte Der Stat Meintʒ x hern Frıdrıchen her cʒu heıdecke Coſtänctʒ Rafenſpurg xȷ Biſchof cʒu Meintʒ Burgrafen Johan der Stat cʒu cʒwickaw Rotempurg xıȷ der Stat cʒu cʒwickaw hern Balthaſar von Moſpach Tumherre cʒu wircʒpurg hern Conrad herren cʒu Pickenpach Steffan Geyrn vnd Jacob Schenken xııȷ kunig xıııȷ hern Rabann Bẏſchof cʒu Speyr . hern fridrich Schenken . herren cʒu limpurgk et hern hanſen von hirſ horn Byſchoff cʒu wircʒburg xv C . Swarcʒemberger . hanſen Camrer Moricʒ Awracher etc Peter Scheppern / Steffan kolern gen frankfurt / in der vaſtenmeſſe Elſpethen von Beÿrn Burgrefynn cʒu Nüremberg Der Stat cʒu Jngelſtat hern Johanſen Biſchof cʒu vvirtʒburg Burgraf frıdrıchen Biſchof cʒu Bamberg Heinrich fronhofer / vnd Moritʒen Awracher Albrecht vom Eglofſtein lantrichter cʒu Awrbach Biſchof cʒu wırtʒburg / Berthold Abbt cʒu hailſprunnen Altman kempnater lantrichter cʒu Sultʒbach Burggraf Johanſen vveiſʒemburg der Stat Hertʒog Stephan Gemainen Steten des punds in Swaben als die ÿetʒunden cʒu vlm bey einander ſein Hertʒog vvilhelm von Beyern Fritʒen von Seldeneck vvılhelm von Mayental dem eltern vnſers herren Burggraf Johanſen hofmeiſter kunige Biſchof cʒu Speÿr hern fridrich Schencken hern Hanſen von hirſʒhoꝛn der Stat lübeck Hertʒog Ernſt von Öſterreich Der Stat Bamberg C Tuchſeſʒen von pumerſfelden Rotemburg Stephan Geyr vnd Jacob Schencken Newenſtat an der aÿſch Hertʒog fridrich von Oſterreıch		Rotemburg, i primo folio, Bischoff von Meincz, i primo folio, Hern Conrad Schenken von Erpach, i primo folio, Hern Conrad von Pickenbach, i Hanman Echter, vicztum etc. i Hern Hartung von Eglofstein, pfleger etc. i Oswalden, des Erhart Vettern diener, ii Hern Raban, bischoff czu Speir etc. ii Hern Fridrich Schenken, hauptman lantfried, ii Fridrich Ochsen, schultheisz zu Bamberg, ii Forma privacionis alicuius menbri, iii Episcopo Bambergensis, Hansen Struperger, iiii Der stat czu Perching, iiii Wigleis Schenken, iiii Hern Rabann, bischof zu Speir etc. v Dem künig, v Graf Fridrich von Otingen, hofmeister, vi Fridrich Ochsen, vi Der stat Augspurg, vii Der stat czu Tachaw, vii Bischof von Meincze, vii Hern Fridrichen, herren zu Heydeck, vii Dem künige, viii Hern Heinrich Reuszen von Plawen, herren czu Grewcz und hauptman czu Pernaw, viii Hern Fridrich, herren czu Haydeck, viii Hern Albrecht von Eglostein, viii Ein verczeihbrief gen Eberhart von Rosemberg seniori und Peter Rügkel et Ulrich Scheffer, viii Hern Haupten Marschalk, ix Der stat Eystet, ix Herczog Ernste, ix Der stat Meincz, x Hern Fridrichen, her czu Heidecke, x Costancz, x Rafenspurg, x Bischof czu Meincz, xi Burgrafen Johan, xi Der stat czu Czwickaw, xi Rotempurg, xii Der stat czu Czwickaw, xii Hern Balthasar von Mospach, tumherre czu Wirczpurg, xii Hern Conrad, herren czu Pickenpach, xiii Steffan Geyrn und Jacob Schenken, xiii Kunig, xiii, xiiii Hern Rabann, byschof czu Speyr, hern Fridrich Schenken, herren czu Limpurgk, et hern Hansen von Hirshorn, xiiii Byschoff czu Wirczburg Conrad Swarczemberger, Hansen Camrer, xv Moricz Awracher etc. xv Peter Scheppern, Steffan Kolern gen Frankfurt in der vastenmesse, xv Elspethen von Beyrn, burgrefynn czu Nüremberg Der stat czu Ingelstat Hern Johansen, bischof czu Wirczburg Burgraf Fridrichen Bischof czu Bamberg Heinrich Fronhofer und Moriczen Awracher Albrecht vom Eglofstein, lantrichter czu Awrbach Bischof czu Wirczburg Berthold, abbt czu Hailsprunnen Altman Kempnater, lantrichter czu Sulczbach Burggraf Johansen Weiszemburg, der stat Herczog Stephan Gemainen steten des punds in Swaben, als die yeczunden czu Ulm bey einander sein Herczog Wilhelm von Beyern Friczen von Seldeneck Wilhelm von Mayental, dem eltern, unsers herren, burggraf Johansen, hofmeister Kunige Bischof czu Speyr Hern Fridrich Schencken Hern Hansen von Hirszhorn Der stat Lübeck Herczog Ernst von Österreich Der stat Bamberg Conrad Tuchseszen von Pumersfelden Rotemburg Stephan Geyr und Jacob Schencken Newenstat an der Aysch Herczog Fridrich von Österreich	head=Registrum illius libri
NUREMBERG	Band2	NB_B2_R000002	V̈llein Müllner von Gemünd Els VVitbelein ſein Sweſter der Öheim von Gemünd der popp doſelbſt fricʒ Peter der künlein / Heincʒ VVindemberger v̈berreiter Hans Gumpemperger Ritter Seıcʒ Marſchalk vvielant Swelher		Hans Gumpemperger, ritter Seicz Marschalk Wielant Swelher Üllein Müllner von Gemünd Els Witbelein, sein swester Der öheim von Gemünd Der Popp doselbst Fricz Peter Der Künlein, Heincz Windemberger, überreiter.	NONE
NUREMBERG	Band2	NB_B2_R000003	Eʒ ſind Burgermeiſter woꝛden her Peter haller vnd her Anthoni Derrer feria ıııȷ̃ poſt doꝛothee virginis Anno M occcc octauo $ $		Ez sind burgermeister worden her Peter Haller und her Anthoni Derrer, feria iiii post Dorothee virginis anno mocccc octavo.	NONE
NUREMBERG	Band2	NB_B2_R000004	Rotemburg Lıeben freunde vns iſt in lantmanſweiſe fürkumen / vvie daʒ eın Rihtıgung cʒwiſchen vnſeren herren ~ den Burggrafen etc vnd ewr troffen vnd gemacht ſeẏ woꝛden nach dem vnd vnſer freunde von euch geſcheyden ſein / Rogamus / daʒ Jr vns eẏgentlich verſchriben ob dem alſo ſey oder wiſſen laſſet / wıe eʒ darümb noch geſtalt ſeẏ / vnd ob man ſyder ıchts anders darein getragen hab / dann ver do als vnſer freunde dabey geweſen ſein vnd das gelaſſen haben / das wollen etc / Datum ferıa vȷ̃ ın die Scolaſtice virginis	Rotemburg	Lieben freunde, uns ist in lantmansweise fürkumen, wie daz ein rihtigung czwischen unseren herren, den burggrafen etc. und ewr troffen und gemacht sey worden, nach dem und unser freunde von euch gescheyden sein. Rogamus, daz ir uns eygentlich verschriben wissen lasset, ob dem also sey oder wie ez darümb noch gestalt sey und ob man syder ichts anders darein getragen hab, dann als unser freunde dabey gewesen sein und das gelassen haben. Das wollen etc. Datum feria vi in die Scolastice virginis.	NONE
NUREMBERG	Band2	NB_B2_R000005	Bẏſſchoff von Meincʒ Gnedıger herre / vns iſt fürbraht woꝛden / vvie daʒ der Seicʒ Grafe vnſer Burger in ewrem geleyte beẏ Fran cʒwiſchen Frankfurt vnd Meincʒe gefangen vnd hinvveg gefürt ſeẏ woꝛden / Rogamus / daʒ Jr von ewrn fürſtenlıch gnad gnediklich vnd fürdrung darcʒu wenden wöllet durch vnſer willigen dinſte willen / daʒ der egenante vnſer Burger ledig werde Als etc / das wöllen etc datum	Bysschoff von Meincz	Gnediger herre, uns ist fürbraht worden, wie daz der Seicz Grafe, unser burger, in ewrem geleyte czwischen Frankfurt und Meincze gefangen und hinweg gefürt sey worden. Rogamus, daz ir ewrn fürstenlich gnad und fürdrung darczu gnediklich wenden wöllet durch unser willigen dinste willen, daz der egenante, unser burger, ledig werde, als etc. Das wöllen etc. Datum.	NONE
NUREMBERG	Band2	NB_B2_R000006	Schencken hern Conrad herren cʒu her Erpach vnd Tumherren cʒu Meincʒ . Edler herre . vns ıſt fürbraht woꝛden / vvie daʒ der S Graf vnſer ın vnſers herren ~ von Meincʒ geleyte cʒwiſchen Frankfurt vnd Meincʒ gefangen vnd hinvveg gefürt ſey worden Rogamus / daʒ Jr durch vnſer denſelben vnſern herren von Meincʒ von vnſern wegen fleyklichen biten vnd v ewr günſt vnd fürdrung gen ſeinen gnaden beweiſen wöllet / ob der vorgenante vnſer Burger ledig werden möht Als etc das wöllen etc Dem Edeln herren / hern Conrad herren cʒu Pickenbach vnd Burgrafen cʒu Miltenberg ſimiliter hannemann A Eͣchtern vicʒtume cʒu Aſſchaffemburg eciam ſimiliter	Hern Conrad Schencken, herren czu Erpach und tumherren czu Meincz.	Edler herre, uns ist fürbraht worden, wie daz der Seicz Graf, unser , in unsers herren von Meincz geleyte czwischen Frankfurt und Meincz gefangen und hinweg gefürt sey worden. Rogamus, daz ir denselben unsern herren von Meincz von unsern wegen biten und v ewr günst und fürdrung gen seinen gnaden beweisen wöllet, ob der vorgenante, unser burger, ledig werden möht, als etc. Das wöllen etc.	similiter=Dem edeln herren, hern Conrad, herren czu Pickenbach und burgrafen czu Miltenberg, similiter, Hannemann Eͣchtern, vicztume czu Asschaffemburg, eciam similiter.
NUREMBERG	Band2	NB_B2_R000007	Hern Hartungen vom Eglofſtein pfleger cʒum Rat Lıeber her hartung / vns hat fürgelegt Peter Haller vnſer lieber Burger / vvie daʒ Jr Jn auf dıe lantſchrannen gen Awrbach geladen habt / Nu laſſen wir ewr erberkeit wiſſen / daʒ derſelb vnſer Burger yecʒunden langcʒeite vnd des lantfrıds ın vnſerm dınſte auſʒgeweſen iſt / vnd als Er dann nu des vordern tags herheim kame / do haben wir Jn das cʒu Burgermeiſter genomen / Alſo daʒ Er gar vil nötlicher ſache in ſeinem BurgermeiſterAmpt / dıe vns anligen ſind cʒ cʒu ſchicken vnd auſʒerichten hat / Dauon wir ſein cʒu mal v̈bel geraten mügen / Darümb Rogamus Daʒ Jr durch vnſern willen / dieſelben klag auf der egenanten lantschrannen aufſchieben wöllet / biʒ auf das nehſt lantgeriht / das nach Mitvaſten ſein wi wırdet / So derſelb vnſer Burger ledig geſein mag / ſich gen ew cʒu verantvvurten Als etc Antvvurt das wöllen etc Datum ın dıe Scolaſtice virginis	Hern Hartungen vom Eglofstein, pfleger czum rat	Lieber her Hartung, uns hat fürgelegt Peter Haller, unser lieber burger, wie daz ir in auf die lantschrannen gen Awrbach geladen habt. Nu lassen wir ewr erberkeit wissen, daz derselb unser burger langczeite in unserm und des lantfrids dinste auszgewesen ist und als er nu des vordern tags herheim kame, do haben wir in czu burgermeister genomen, also daz er gar vil nötlicher sache in seinem burgermeisterampt czu schicken und auszerichten hat, davon wir sein czu mal übel geraten mügen. Darumb rogamus, daz ir durch unsern willen dieselben klag auf der egenanten lantschrannen aufschieben wöllet biz auf das nehst lantgeriht, das nach sein wirdet, so derselb unser burger ledig gesein mag, sich gen ew czu verantwurten, als etc. Das wöllen etc. Antwurt. Datum in die Scolastice virginis.	NONE
NUREMBERG	Band2	NB_B2_R000008	Oſwalden des Erharten vettern dıener von Nuremberg Vnſer freuntſchaft beuoꝛ / lieber Oſwald / v̈mb das gelt als der danyden ıſt worden darv̈mb Steinlein bote herauftruge das Jm eingeneͣet ward als du wol waiſʒt als man vns geſagt hat / vnd das der Chuncʒ Pfincʒing dem egenanten Steinlein hıe oben genomen hat / Begern wir von dir daʒ du vns verſchrıben wiſſen laſſeſt wieuil deſſelben gelts geweſen ſeẏ / vnd wer auch alls dabey gelt gehabt hab / vnd wieuil yederman dabey des sey / Das wöllen wir dır gern dancken / Datum Sabbato ante valentini Anno Octauo	Oswalden, des Erharten Vettern diener von Nuremberg	Unser freuntschaft bevor. Lieber Oswald, ümb das gelt, als der Steinlein bote herauftruge, das im danyden eingeneͣet ist worden, darumb du wol waiszt, als man uns gesagt hat, und das der Chuncz Pfinczing dem egenanten Steinlein hie oben genomen hat, begern wir von dir, daz du uns verschriben wissen lassest, wer alls dabey gelt gehabt hab und wievil des sey. Das wöllen wir dir gern dancken. Datum sabbato ante Valentini anno octavo.	NONE
