wrapper_outcome	lambda	groups	matched_tails	baseline_bits	base_model_bits	gain_bits	selector_paid_gain_bits	selected	classification
Q	1	4641	42	3547.9792852	3425.6488018	122.33048341	120.008555315	1	O_BASE_LICENSED
Q	4	4641	42	3547.9792852	3432.79827637	115.18100883	112.859080735	0	O_BASE_LICENSED
Q	16	4641	42	3547.9792852	3470.52463006	77.4546551447	75.1327270498	0	O_BASE_LICENSED
Q	64	4641	42	3547.9792852	3506.86969124	41.1095939645	38.7876658696	0	O_BASE_LICENSED
Q	256	4641	42	3547.9792852	3529.3142029	18.6650823093	16.3431542144	0	O_BASE_LICENSED
D	1	4641	42	771.412791949	706.330734678	65.0820572716	62.7601291767	1	Y_BASE_LICENSED
D	4	4641	42	771.412791949	709.241302409	62.1714895403	59.8495614454	0	Y_BASE_LICENSED
D	16	4641	42	771.412791949	723.729217881	47.6835740682	45.3616459733	0	Y_BASE_LICENSED
D	64	4641	42	771.412791949	741.364967751	30.0478241986	27.7258961037	0	Y_BASE_LICENSED
D	256	4641	42	771.412791949	756.137785201	15.2750067479	12.953078653	0	Y_BASE_LICENSED
S	1	4641	42	439.564989006	423.288758377	16.2762306292	13.9543025343	1	CONDITIONALLY_COMPATIBLE
S	4	4641	42	439.564989006	424.791567909	14.7734210968	12.4514930019	0	CONDITIONALLY_COMPATIBLE
S	16	4641	42	439.564989006	431.010427646	8.5545613603	6.23263326541	0	CONDITIONALLY_COMPATIBLE
S	64	4641	42	439.564989006	435.505980926	4.05900808001	1.73707998512	0	CONDITIONALLY_COMPATIBLE
S	256	4641	42	439.564989006	437.59445726	1.97053174619	-0.351396348698	0	CONDITIONALLY_COMPATIBLE
CH_FAMILY	1	4641	42	2075.64147118	2083.12313307	-7.48166188726	-9.80358998215	0	REGISTER_CONDITIONED_Y_LEANING
CH_FAMILY	4	4641	42	2075.64147118	2054.94711276	20.6943584254	18.3724303305	0	REGISTER_CONDITIONED_Y_LEANING
CH_FAMILY	16	4641	42	2075.64147118	2045.53020876	30.111262418	27.7893343231	1	REGISTER_CONDITIONED_Y_LEANING
CH_FAMILY	64	4641	42	2075.64147118	2047.60221409	28.0392570922	25.7173289973	0	REGISTER_CONDITIONED_Y_LEANING
CH_FAMILY	256	4641	42	2075.64147118	2057.45601474	18.1854564376	15.8635283427	0	REGISTER_CONDITIONED_Y_LEANING
NONE	1	4641	42	3811.31280031	3747.10958943	64.2032108808	61.881282786	0	DESCRIPTIVE_COMPLEMENT
NONE	4	4641	42	3811.31280031	3729.18498356	82.1278167492	79.8058886543	1	DESCRIPTIVE_COMPLEMENT
NONE	16	4641	42	3811.31280031	3751.96479438	59.3480059266	57.0260778317	0	DESCRIPTIVE_COMPLEMENT
NONE	64	4641	42	3811.31280031	3780.83380839	30.478991922	28.1570638271	0	DESCRIPTIVE_COMPLEMENT
NONE	256	4641	42	3811.31280031	3798.40161506	12.9111852432	10.5892571484	0	DESCRIPTIVE_COMPLEMENT
