page_host	length	occurrences	pages	folios	sections	neighbor_degree	mean_outer_component_entropy	claim_state
ok	2	839	113	69	B|C|H|P|S|T	11	0.578531771698	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
or	2	504	154	86	B|C|H|P|S|T	9	0.622559854508	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ot	2	431	99	61	B|C|H|P|S|T	11	0.582087119345	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ar	2	350	111	69	B|C|H|P|S|T	9	0.487085774127	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
al	2	292	94	64	B|C|H|P|S|T	12	0.456418058084	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oke	3	218	58	36	B|C|H|S|T	8	0.248032699455	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ey	2	195	80	51	B|H|P|S|T	15	0.182235561300	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ain	3	182	85	59	B|C|H|P|S|T	6	0.344233019727	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ee	2	173	54	34	B|C|H|P|S|T	9	0.659166468244	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eey	3	173	72	49	B|C|H|P|S|T	15	0.545238154223	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
oky	3	155	87	67	B|H|P|S|T	13	0.310505922754	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
chy	3	100	61	46	B|H|P|S|T	6	0.611950641759	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eol	3	91	55	41	B|H|P|S|T	13	0.458029402251	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
eo	2	90	48	34	C|H|P|S|T	14	0.732140156982	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
che	3	84	43	33	B|C|H|S|T	6	0.688443698520	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
air	3	81	51	40	B|C|H|P|S|T	6	0.321956801847	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ol	2	71	53	42	B|H|P|S|T	12	0.343207735044	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
olk	3	69	34	22	B|C|H|S|T	10	0.577865954670	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ch	2	68	54	44	B|C|H|S|T	3	1.066799445209	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ed	2	61	33	24	B|C|H|S	11	0.895490013182	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
lk	2	61	24	17	B|C|H|S|T	13	0.324469968864	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yk	2	55	38	32	B|C|H|P|S|T	11	0.469117159311	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
yt	2	55	32	28	B|C|H|S|T	11	0.386984992475	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
ky	2	53	42	37	B|H|P|S|T	12	0.284436551724	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
os	2	47	38	33	B|H|P|S|T	10	0.624683864731	SHORT_FORMAL_HOST_IDENTITY_NO_LEXICAL_OR_SEMANTIC_ASSIGNMENT
