prefix	selected_folds	held_sections_selected	all_folds
ABA	1	H	0
ABAB	1	H	0
ABQ	1	S	0
ABQA	8	A,B,C,H,P,S,T,Z	1
AC	1	H	0
ACA	7	A,B,C,H,S,T,Z	0
ACAB	7	A,B,C,H,S,T,Z	0
ACAC	7	A,B,C,H,S,T,Z	0
AP	8	A,B,C,H,P,S,T,Z	1
APA	8	A,B,C,H,P,S,T,Z	1
APAB	8	A,B,C,H,P,S,T,Z	1
APAC	8	A,B,C,H,P,S,T,Z	1
APK	8	A,B,C,H,P,S,T,Z	1
APKA	7	A,B,C,H,S,T,Z	0
APKJ	1	C	0
AQ	2	H,S	0
AQA	7	A,B,C,H,P,S,T	0
AQAA	3	C,P,T	0
AQAB	8	A,B,C,H,P,S,T,Z	1
AQAC	7	A,B,C,H,S,T,Z	0
AQAF	5	A,C,H,S,T	0
AQAQ	1	H	0
AQJ	3	C,H,S	0
AQJA	4	A,C,H,S	0
AQJB	7	A,C,H,P,S,T,Z	0
BABA	3	A,C,T	0
BACA	7	A,C,H,P,S,T,Z	0
CACA	2	H,S	0
J	5	A,B,P,S,Z	0
KJAC	2	T,Z	0
