edition	field_id	page	physical_folio	star_ordinal	record_scope	line_depth	field_index	field_group_count	group_bucket	depth_bucket	is_record_final	abstract_role	first_page_host	host_other_folio_count	host_recurrent_other_2plus	ends_dy	ends_b3	compiler_components	compiler_density	p_instruction	p_short_argument	p_closer
ZL3b	ZL3b|f104r.1|F01	f104r	f104	1	OPEN	0	1	4	4+	0	0	INSTRUCTION_CLAUSE_LIKE	pchd	3	1	1	0	6	1.500000000	0.966031017	0.033963811	0.000005172
ZL3b	ZL3b|f104r.1|F02	f104r	f104	1	OPEN	0	2	1	1	0	0	SHORT_ARGUMENT_LIKE	ocphe	0	0	1	0	1	1.000000000	0.046470686	0.953528381	0.000000934
ZL3b	ZL3b|f104r.1|F03	f104r	f104	1	OPEN	0	3	1	1	0	0	SHORT_ARGUMENT_LIKE	opche	6	1	1	0	2	2.000000000	0.044439329	0.955559401	0.000001269
ZL3b	ZL3b|f104r.1|F04	f104r	f104	1	OPEN	0	4	3	3	0	0	INSTRUCTION_CLAUSE_LIKE	ed	5	1	1	0	4	1.333333333	0.841951412	0.158031925	0.000016663
ZL3b	ZL3b|f104r.1|F05	f104r	f104	1	OPEN	0	5	1	1	0	0	SHORT_ARGUMENT_LIKE	ain	5	1	0	0	1	1.000000000	0.040722813	0.959274320	0.000002867
ZL3b	ZL3b|f104r.2|F01	f104r	f104	1	BODY	1	1	4	4+	1	0	INSTRUCTION_CLAUSE_LIKE	o	7	1	1	0	1	0.250000000	0.957998768	0.041959785	0.000041447
ZL3b	ZL3b|f104r.2|F02	f104r	f104	1	BODY	1	2	9	4+	1	0	INSTRUCTION_CLAUSE_LIKE	ed	5	1	1	0	9	1.000000000	0.999583281	0.000380158	0.000036561
ZL3b	ZL3b|f104r.2|F03	f104r	f104	1	BODY	1	3	1	1	1	0	SHORT_ARGUMENT_LIKE	eedara	0	0	0	1	2	2.000000000	0.035991805	0.963992066	0.000016129
ZL3b	ZL3b|f104r.3|F01	f104r	f104	1	BODY	2	1	3	3	2	0	INSTRUCTION_CLAUSE_LIKE	aiir	2	1	1	0	2	0.666666667	0.812253763	0.187394826	0.000351411
ZL3b	ZL3b|f104r.3|F02	f104r	f104	1	BODY	2	2	3	3	2	0	INSTRUCTION_CLAUSE_LIKE	otech	1	0	1	0	3	1.000000000	0.806197909	0.193013305	0.000788786
ZL3b	ZL3b|f104r.3|F03	f104r	f104	1	BODY	2	3	1	1	2	0	SHORT_ARGUMENT_LIKE	oto	1	0	1	0	1	1.000000000	0.032223110	0.967609873	0.000167017
ZL3b	ZL3b|f104r.3|F04	f104r	f104	1	BODY	2	4	2	2	2	0	SHORT_ARGUMENT_LIKE	eeor	0	0	1	0	3	1.500000000	0.346561397	0.650507596	0.002931007
ZL3b	ZL3b|f104r.3|F05	f104r	f104	1	BODY	2	5	1	1	2	0	SHORT_ARGUMENT_LIKE	ee	7	1	1	0	2	2.000000000	0.030185360	0.968699630	0.001115010
ZL3b	ZL3b|f104r.3|F06	f104r	f104	1	BODY	2	6	3	3	2	0	INSTRUCTION_CLAUSE_LIKE	aky	0	0	0	1	3	1.000000000	0.756279581	0.206138465	0.037581954
ZL3b	ZL3b|f104r.4|F01	f104r	f104	1	BODY	3	1	3	3	3+	0	INSTRUCTION_CLAUSE_LIKE	o	7	1	1	0	2	0.666666667	0.696022186	0.194980559	0.108997255
ZL3b	ZL3b|f104r.4|F02	f104r	f104	1	BODY	3	2	1	1	3+	0	SHORT_ARGUMENT_LIKE	okee	7	1	1	0	2	2.000000000	0.027009371	0.941767017	0.031223612
ZL3b	ZL3b|f104r.4|F03	f104r	f104	1	BODY	3	3	4	4+	3+	1	RECORD_CLOSER_LIKE	d	7	1	0	0	9	2.250000000	0.394192067	0.024749929	0.581058004
ZL3b	ZL3b|f104r.5|F01	f104r	f104	2	OPEN	0	1	3	3	0	0	INSTRUCTION_CLAUSE_LIKE	kchd	1	0	1	0	6	2.000000000	0.860655715	0.139338145	0.000006140
ZL3b	ZL3b|f104r.5|F02	f104r	f104	2	OPEN	0	2	8	4+	0	0	INSTRUCTION_CLAUSE_LIKE	l	7	1	1	0	7	0.875000000	0.999364256	0.000631865	0.000003879
ZL3b	ZL3b|f104r.5|F03	f104r	f104	2	OPEN	0	3	1	1	0	0	SHORT_ARGUMENT_LIKE	d	7	1	0	0	2	2.000000000	0.044750124	0.955248475	0.000001401
ZL3b	ZL3b|f104r.6|F01	f104r	f104	2	BODY	1	1	2	2	1	0	SHORT_ARGUMENT_LIKE	y	7	1	1	0	2	1.000000000	0.423418739	0.576568005	0.000013257
ZL3b	ZL3b|f104r.6|F02	f104r	f104	2	BODY	1	2	5	4+	1	0	INSTRUCTION_CLAUSE_LIKE	aiin	7	1	1	0	4	0.800000000	0.988221820	0.011754096	0.000024084
ZL3b	ZL3b|f104r.6|F03	f104r	f104	2	BODY	1	3	1	1	1	0	SHORT_ARGUMENT_LIKE	okee	7	1	1	0	2	2.000000000	0.039060915	0.960933011	0.000006074
ZL3b	ZL3b|f104r.6|F04	f104r	f104	2	BODY	1	4	2	2	1	0	SHORT_ARGUMENT_LIKE	ot	7	1	1	0	4	2.000000000	0.390732891	0.609191021	0.000076088
