wrapper	model	events	gain_bits	gain_bits_per_event
NONE	ROBUST_TWO_RULE	1675	-95.763247148722	-0.057172087850
NONE	FULL_GDT318_ANCHOR	1675	-135.944332234343	-0.081160795364
ch	ROBUST_TWO_RULE	677	-12.709377251723	-0.018773083090
ch	FULL_GDT318_ANCHOR	677	-40.993389063243	-0.060551534805
che	ROBUST_TWO_RULE	542	-5.098227048554	-0.009406322968
che	FULL_GDT318_ANCHOR	542	-2.046234190366	-0.003775339835
d	ROBUST_TWO_RULE	656	-28.998619157076	-0.044205212130
d	FULL_GDT318_ANCHOR	656	15.387635312246	0.023456761147
q	ROBUST_TWO_RULE	1137	182.640608298168	0.160633780385
q	FULL_GDT318_ANCHOR	1137	215.185816755476	0.189257534525
s	ROBUST_TWO_RULE	176	114.793950558166	0.652238355444
s	FULL_GDT318_ANCHOR	176	113.506330868017	0.644922334477
sh	ROBUST_TWO_RULE	602	-9.335023178914	-0.015506683021
sh	FULL_GDT318_ANCHOR	602	0.407605429240	0.000677085431
t	ROBUST_TWO_RULE	142	-11.033335578409	-0.077699546327
t	FULL_GDT318_ANCHOR	142	28.482679709518	0.200582251475
