diagnostic	known_property_a	known_property_b	blind_a	blind_b	assessment
GDT113_RECORD_CLOSURE	RECORD_GRAMMAR_PRESENT	RECORD_GRAMMAR_PRESENT	PERFECT	PERFECT	TRUE_POSITIVE_BOTH_NONDISCRIMINATING
GDT160_COMPATIBLE_PAIRING	SEPARATE_POSITIONAL_COMPILER	DISTRIBUTED_COMPILER_CODE	density=0.016450	density=0.185258	POSITIVE_BOTH_BUT_STRONGLY_ENRICHED_FOR_DISTRIBUTED_CODE
GDT162_SHORT_HOST	TRUE_INJECTIVE_SHORT_CODEBOOK	100_WAY_NONLEXICAL_HOST_DIGIT	SHORT_AND_RECURRENT	SHORT_AND_RECURRENT	NONDISCRIMINATING_BY_LENGTH_RECURRENCE
GDT162_HOST_TO_COMPILER	HOST_LEXICAL_COMPILER_INDEPENDENT	HOST_PARTIAL_DIGIT_COMPILER_CARRIES_REMAINDER	-0.611066	-2.144632	NEGATIVE_BOTH_FALSE_NEGATIVE_FOR_TRUE_CODEBOOK
GDT163_SAME_GROUP_SUBSTITUTION	NO_PRODUCTIVE_INTERNAL_OPERATOR	HOST_DIGIT_COUPLED_TO_COMPILER_DIGITS	+0.004493	+0.111927	CORRECTLY_LOCALIZES_DISTRIBUTED_COMPILER_COUPLING
GDT164_EXTERNAL_SUBSTITUTION	NO_SUBSTITUTION_OPERATOR	NO_EXTERNAL_SUBSTITUTION_OPERATOR	+0.000274	-0.003385	TRUE_NEGATIVE_BOTH
GDT165_NEXT_HOST	LEXICAL_IDENTITIES_IN_REAL_SOURCE_ORDER	MANY_TO_ONE_HOST_DIGITS	-0.384428	-1.069926	NEGATIVE_BOTH_FALSE_NEGATIVE_FOR_LEXICAL_CODEBOOK
GDT166_UNORDERED_CONTEXT	LEXICAL_IDENTITIES_IN_REAL_SOURCE_CONTEXT	MANY_TO_ONE_HOST_DIGITS	line=-0.474019	line=-0.116159	NEGATIVE_BOTH_AND_NONLEXICAL_WORLD_LOOKS_LESS_NEGATIVE
GDT167_RENDERER_ALIGNMENT	COMMON_CODEBOOK_UNDER_SYMBOL_PERMUTATION	COMMON_NONLEXICAL_HOST_DIGITS_UNDER_SYMBOL_PERMUTATION	1.000000	1.000000	TRUE_RENDER_ALIGNMENT_BUT_FALSE_POSITIVE_IF_CALLED_LEXICAL
GDT113_TRUTH_RETRIEVAL	HOST_ALONE_EXACT_IN_ENCODER	FULL_TUPLE_PLUS_SLOT_EXACT_IN_ENCODER	host_MI=1.000	host_MI=0.443;full_MI=1.000	UNBLIND_TRUTH_SEPARATES_WORLDS_WHERE_FORMAL_CONTEXT_TESTS_DO_NOT
