prefix	length	training_occurrences	training_labels	training_label_rate	one_sided_hypergeom_p	selection_status
J	1	5	5	1.000000000000	0.000318006859576	STRICT_TRAINING_SELECTED
AP	2	54	44	0.814814814815	1.71317713858e-22	STRICT_TRAINING_SELECTED
ACA	3	38	23	0.605263157895	4.41364599468e-08	STRICT_TRAINING_SELECTED
APA	3	31	27	0.870967741935	1.2267234363e-15	STRICT_TRAINING_SELECTED
APK	3	21	16	0.761904761905	4.22000115829e-08	STRICT_TRAINING_SELECTED
AQA	3	314	187	0.595541401274	1.67051207845e-60	STRICT_TRAINING_SELECTED
ABQA	4	5	4	0.800000000000	0.00670800385011	STRICT_TRAINING_SELECTED
ACAB	4	11	9	0.818181818182	1.83933294617e-05	STRICT_TRAINING_SELECTED
ACAC	4	10	9	0.900000000000	4.06772874891e-06	STRICT_TRAINING_SELECTED
APAB	4	13	11	0.846153846154	1.01417260967e-06	STRICT_TRAINING_SELECTED
APAC	4	10	8	0.800000000000	7.62822923418e-05	STRICT_TRAINING_SELECTED
APKA	4	9	8	0.888888888889	1.85106414675e-05	STRICT_TRAINING_SELECTED
AQAB	4	142	108	0.760563380282	1.89104843105e-49	STRICT_TRAINING_SELECTED
AQAC	4	71	41	0.577464788732	1.63335695676e-12	STRICT_TRAINING_SELECTED
BACA	4	14	7	0.500000000000	0.0115193271735	EXPOSED_SENSITIVITY_NOT_STRICT_SELECTED
