counterexample_type	item	evidence	implication
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	lka~yka	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	eds~ets	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	efy~esy	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	eoe~ese	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	kas~kos	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	kea~ksa	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	lsh~psh	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	pad~pal	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	rot~yot	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_SIMILAR	te~to	context cosine 1.000000	Compatible with internal form structure; counts against wholly independent code identities.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	ea~ee	context cosine 0.620978	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	ee~ek	context cosine 0.647464	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	oka~oke	context cosine 0.651265	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	kea~keo	context cosine 0.672066	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	ee~et	context cosine 0.674014	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	yta~yte	context cosine 0.674170	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	lka~lke	context cosine 0.675133	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	kea~kee	context cosine 0.675201	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	ed~ee	context cosine 0.682951	Compatible with separate formal addresses; counts against a uniform productive substitution.
ONE_GLYPH_NEIGHBOR_CONTEXT_DIVERGENT	yka~yke	context cosine 0.684134	Compatible with separate formal addresses; counts against a uniform productive substitution.
PARSER_COUPLING	PAGE_HOST_CONTEXT	HPR2 removes wrapper/frame/right/closure under frozen licensing rules.	Exact-host context gain is formal architecture, not independent semantic evidence.
ARCHIVED_EXTERNAL_NEGATIVE	GDT123	No exact PAGE_HOST visual codeword survived the global Q20 atlas.	Internal recurrence cannot be promoted to content or meaning.
STRING_BASELINE_NEGATIVE	GDT003	Formal paradigms did not beat strong string statistics.	One-glyph structure is not linguistic morphology by default.
