representation	page	physical_folio	groups	page_gain_vs_wrapper
RESIDUAL_HOST	f1r	f1	33	-0.403855425797
RESIDUAL_HOST	f1v	f1	24	-0.193207267995
RESIDUAL_HOST	f10r	f10	51	-0.873024782283
RESIDUAL_HOST	f10v	f10	35	0.709214520286
RESIDUAL_HOST	f100r	f100	22	0.0566714889532
RESIDUAL_HOST	f100v	f100	31	0.664000070169
RESIDUAL_HOST	f101r	f101	1	0
RESIDUAL_HOST	f102r1	f102	68	13.3635484982
RESIDUAL_HOST	f102r2	f102	29	0.125835139572
RESIDUAL_HOST	f102v1	f102	29	1.48464533493
RESIDUAL_HOST	f102v2	f102	17	0.00489171870834
RESIDUAL_HOST	f103r	f103	195	3.08678316677
RESIDUAL_HOST	f103v	f103	163	-1.02411831946
RESIDUAL_HOST	f104r	f104	205	-7.21454923916
RESIDUAL_HOST	f104v	f104	197	-12.5218926549
RESIDUAL_HOST	f105r	f105	173	-2.43059719862
RESIDUAL_HOST	f105v	f105	189	0.624926988648
RESIDUAL_HOST	f106r	f106	243	-7.64468286613
RESIDUAL_HOST	f106v	f106	169	-0.92995541243
RESIDUAL_HOST	f107r	f107	203	-1.25010926843
RESIDUAL_HOST	f107v	f107	271	8.50716209605
RESIDUAL_HOST	f108r	f108	259	0.0202167740775
RESIDUAL_HOST	f108v	f108	232	-7.37238480771
RESIDUAL_HOST	f11r	f11	19	-0.1245250564
RESIDUAL_HOST	f11v	f11	22	-0.159526968585
RESIDUAL_HOST	f111r	f111	274	-2.67385110012
RESIDUAL_HOST	f111v	f111	271	5.511281293
RESIDUAL_HOST	f112r	f112	199	-3.9526567396
RESIDUAL_HOST	f112v	f112	209	-1.35903659408
RESIDUAL_HOST	f113r	f113	216	2.14977459808
RESIDUAL_HOST	f113v	f113	238	-1.67031897314
RESIDUAL_HOST	f114r	f114	201	-4.6515771393
RESIDUAL_HOST	f114v	f114	209	-4.32625863749
RESIDUAL_HOST	f115r	f115	182	-8.93978906735
RESIDUAL_HOST	f115v	f115	190	-0.758730409579
RESIDUAL_HOST	f116r	f116	167	12.1062988601
RESIDUAL_HOST	f13r	f13	26	0.402121287162
RESIDUAL_HOST	f13v	f13	34	0.541321038571
RESIDUAL_HOST	f14r	f14	37	0.215448263144
RESIDUAL_HOST	f14v	f14	27	0.204806093699
RESIDUAL_HOST	f15r	f15	73	-0.860901152839
RESIDUAL_HOST	f15v	f15	41	1.19727627237
RESIDUAL_HOST	f16r	f16	37	2.46398204661
RESIDUAL_HOST	f16v	f16	48	-0.662360868257
RESIDUAL_HOST	f17r	f17	24	-0.265456858158
RESIDUAL_HOST	f17v	f17	87	2.86137664326
RESIDUAL_HOST	f18r	f18	36	-0.275873089518
RESIDUAL_HOST	f18v	f18	42	0.111639833549
RESIDUAL_HOST	f19r	f19	49	0.926948421784
RESIDUAL_HOST	f19v	f19	37	-0.699302540894
RESIDUAL_HOST	f2r	f2	73	3.92039660785
RESIDUAL_HOST	f2v	f2	33	2.3402120201
RESIDUAL_HOST	f20r	f20	53	0.00171701516317
RESIDUAL_HOST	f20v	f20	56	1.53989952423
RESIDUAL_HOST	f21r	f21	45	-0.697188487357
RESIDUAL_HOST	f21v	f21	46	0.541606617659
RESIDUAL_HOST	f22r	f22	54	-0.800158024824
RESIDUAL_HOST	f22v	f22	58	-0.443705966505
RESIDUAL_HOST	f23r	f23	22	-0.142723272108
RESIDUAL_HOST	f23v	f23	46	5.64107078985
RESIDUAL_HOST	f24r	f24	46	0.933294063585
RESIDUAL_HOST	f24v	f24	34	-0.629725555453
RESIDUAL_HOST	f25r	f25	18	0.157653812653
RESIDUAL_HOST	f25v	f25	23	-0.18693351843
RESIDUAL_HOST	f26r	f26	33	0.35652171932
RESIDUAL_HOST	f26v	f26	33	-0.228372428848
RESIDUAL_HOST	f27r	f27	45	2.89518836152
RESIDUAL_HOST	f27v	f27	7	0.00920667545795
RESIDUAL_HOST	f28r	f28	48	-0.81206457794
RESIDUAL_HOST	f28v	f28	35	0.086062351308
RESIDUAL_HOST	f29r	f29	35	0.193036340415
RESIDUAL_HOST	f29v	f29	35	-0.229092651424
RESIDUAL_HOST	f3r	f3	84	9.7856303294
RESIDUAL_HOST	f3v	f3	53	-0.752581525459
RESIDUAL_HOST	f30r	f30	55	-0.574476820948
RESIDUAL_HOST	f30v	f30	33	-0.435722425652
RESIDUAL_HOST	f31r	f31	33	0.166352839937
RESIDUAL_HOST	f31v	f31	14	-0.0434128644266
RESIDUAL_HOST	f32r	f32	48	-0.254709593261
RESIDUAL_HOST	f32v	f32	33	-0.34014575137
RESIDUAL_HOST	f33r	f33	22	-0.0924531384798
RESIDUAL_HOST	f33v	f33	52	-0.470733828693
RESIDUAL_HOST	f34r	f34	76	-1.53664700169
RESIDUAL_HOST	f34v	f34	41	0.57945572045
RESIDUAL_HOST	f35r	f35	55	4.37808615147
RESIDUAL_HOST	f35v	f35	50	-0.387552347288
RESIDUAL_HOST	f36r	f36	38	-0.404788535005
RESIDUAL_HOST	f36v	f36	37	-0.483737586489
RESIDUAL_HOST	f37r	f37	25	-0.24853292648
RESIDUAL_HOST	f37v	f37	56	-1.37130053327
RESIDUAL_HOST	f38r	f38	17	-0.127629144309
RESIDUAL_HOST	f38v	f38	35	1.05125958094
RESIDUAL_HOST	f39r	f39	46	-0.635000490272
RESIDUAL_HOST	f39v	f39	72	0.324623877513
RESIDUAL_HOST	f4r	f4	44	-0.117733466929
RESIDUAL_HOST	f4v	f4	38	-0.572032790914
RESIDUAL_HOST	f40r	f40	30	0.19773037337
RESIDUAL_HOST	f40v	f40	48	-0.794111730844
RESIDUAL_HOST	f41r	f41	20	0.0817355528147
RESIDUAL_HOST	f41v	f41	17	-0.128869165085
RESIDUAL_HOST	f42r	f42	63	-0.574214002298
RESIDUAL_HOST	f42v	f42	56	1.35362825215
RESIDUAL_HOST	f43r	f43	32	-0.130961132381
RESIDUAL_HOST	f43v	f43	49	3.32059130983
RESIDUAL_HOST	f44r	f44	39	-0.496332241226
RESIDUAL_HOST	f44v	f44	55	0.202664750234
RESIDUAL_HOST	f45r	f45	46	-0.751424314795
RESIDUAL_HOST	f45v	f45	30	-0.23509385743
