source_record_id	locus	page	physical_folio	descriptor_tokens	zl3b_forms	it2a_forms	rf1b_forms	all_reading_surface_agreement	all_reading_family_agreement	formal_use	semantic_role	provenance
STOLFI_BEST_1362	f100r.11	f100r	f100	dark;leaf	sofam	sofal	sofag	0	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1380	f100r.21	f100r	f100	dark;flower;light;root;trim;white	okols	okols	otols	0	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1339	f100r.4	f100r	f100	dark;leaf	chofary	chofary	chofary	1	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1342	f100r.5	f100r	f100	brumbaugh;dark;flower;pepper	sar|char|daiindy	sar|char|daiindy	sarchar|daiindy	0	0	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1346	f100r.6	f100r	f100	dark;leaf	oraro	osaro	oraro	0	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1349	f100r.7	f100r	f100	dark;leaf;only;stem	chalsain	chalsain	eealsain	0	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1397	f100v.4	f100v	f100	dark;leaf;only;stem	solsy	rolsy	solsy	0	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1419	f101v.10	f101v	f101	dark;large;leaf	okol	okol	okol	1	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1418	f101v.11	f101v	f101	dark;leaf;root;stem	arom	arom	arom	1	1	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
STOLFI_BEST_1421	f101v.12	f101v	f101	dark;large;leaf;light;root;stem	oraram	orar|am	oraram	0	0	THREE_READING_AVERAGE_PRIMARY;EDITION_SENSITIVITIES_RETAINED	UNASSIGNED	EXISTING_HUMAN_ANNOTATION_ARCHIVE
