locus	next_locus	page	physical_folio	section	currier	hand	first_paragraph_start	primary_continuation_pair	source_line_number	source_group_count	source_member_count	last_field_group_count	last_field_host_length	last_field_raw_length	target_first_field_group_count	selection
f1r.20	f1r.21	f1r	f1	T	A	1	0	1	20	5	15	5	13	21	2	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f10r.8	f10r.9	f10r	f10	H	A	1	0	1	8	8	30	8	20	37	7	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f10v.1	f10v.2	f10v	f10	H	A	1	1	0	1	9	31	1	3	4	9	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f100v.21	f100v.22	f100v	f100	P	A	1	0	1	21	10	41	10	29	46	3	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f13v.1	f13v.2	f13v	f13	H	A	1	1	0	1	7	28	7	26	37	6	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f13v.2	f13v.3	f13v	f13	H	A	1	0	1	2	6	25	6	18	30	5	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f14r.6	f14r.7	f14r	f14	H	A	1	0	1	6	5	17	5	19	22	3	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f14v.8	f14v.9	f14v	f14	H	A	1	0	1	8	7	27	4	9	15	3	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15r.1	f15r.2	f15r	f15	H	A	1	1	0	1	7	25	7	22	33	6	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15r.4	f15r.5	f15r	f15	H	A	1	0	1	4	6	21	6	11	32	7	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15r.10	f15r.11	f15r	f15	H	A	1	0	1	10	5	20	5	24	31	6	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15r.11	f15r.12	f15r	f15	H	A	1	0	1	11	6	21	6	13	28	6	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15r.12	f15r.13	f15r	f15	H	A	1	0	1	12	6	21	6	15	29	8	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15r.13	f15r.14	f15r	f15	H	A	1	0	1	13	8	26	8	23	34	8	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f15v.3	f15v.4	f15v	f15	H	A	1	0	1	3	5	20	5	20	26	5	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f16r.8	f16r.9	f16r	f16	H	A	1	0	1	8	6	23	2	6	9	2	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f16v.4	f16v.5	f16v	f16	H	A	1	0	1	4	5	20	3	9	14	6	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f16v.11	f16v.12	f16v	f16	H	A	1	0	1	11	3	13	3	12	19	4	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
f16v.12	f16v.13	f16v	f16	H	A	1	0	1	12	4	14	4	10	17	2	POST_ENUMERATION_CORRECTED_ALL_F84_EXCLUDED
