corpus	book_or_ms	record_id	line_id	expanded_diplomatic
STE1	Ste1	STE1_SEG01	STE1_SEG01_L0001	Nim weichsel vnd sewd die in einem kessel das die kern darvon
STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	vallen vnd schuht sie in einen dicken sack vnd tridt sie vast ausz
STE1	Ste1	STE1_SEG01	STE1_SEG01_L0003	vnd gewsz In in ein vasz vnd tw guten wein darzu vnd mach
STE1	Ste1	STE1_SEG01	STE1_SEG01_L0004	ein ror auff den spunt vnd laß In Iesen
STE1	Ste1	STE1_SEG02	STE1_SEG02_L0001	kutten leg In einen kessel vnd gewsz wasser daron vnd lasz sieden
STE1	Ste1	STE1_SEG02	STE1_SEG02_L0002	vnd nim sie herausz vnd sneid den kern daruon vnd treib die
STE1	Ste1	STE1_SEG02	STE1_SEG02_L0003	kutten mit ein loffel durch ein sib darnach legz wider
STE1	Ste1	STE1_SEG02	STE1_SEG02_L0004	inden kessel vnd gewsz honig daran vnd lasz wol sieden bisz
STE1	Ste1	STE1_SEG02	STE1_SEG02_L0005	das sie sich auff lazzen zichen andem loffel vnd prawn
STE1	Ste1	STE1_SEG02	STE1_SEG02_L0006	werden vnd gib In wurtz wie vil du wilt
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0001	primo folıo
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0002	Regiſtrum ıllıus lıbri
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0003	Rotemburg
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0004	Bıſchoff von Meincʒ
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0005	hern Conrad Schenken von Erpach
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0006	J .
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0007	hern Conrad von pickenbach
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0008	hanman Echter vicʒtum etc
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0009	hern hartung von Eglofſtein pfleger etc
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0010	Oſwalden des Erhart vettern diener
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0011	hern Raban Biſchoff cʒu Speır etc
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0012	hern fridrich Schenken hauptman lantfried
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0013	ij .
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0014	fridrich Ochſen Schultheiſʒ ʒu Bamberg
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0015	foꝛma priuacionis alıcuıus menbri
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0016	iij .
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0017	Epiſcopo Bambergenſis / Hanſen Struperger
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0018	der Stat cʒu perching
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0019	iiij
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0020	wıgleis Schenken
NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0021	hern Rabann Biſchof ʒu Speır etc
