unit	slot	provisional_role	speculative_value	confidence	ambiguity
PAGE_ROOT_INVENTORY	DOMAIN	local technical lexicon	materials, entities, operations, conditions, identifiers selected for one page	STRONG_ARCHITECTURAL	No individual root meaning is assigned.
t / d / s (bare line-entry)	ENTRY_STATE	record initialization/continuation mode	t = initialize/new entry; d and s = two continuation modes	PROVISIONAL_FUNCTION	Paragraph state is editorially reconstructed; d/s contrast is not semantically identified.
q-	OUTER_SCOPE	dependent/current-frame wrapper	apply or read the enclosed form under the active record frame	PROVISIONAL_FUNCTION	Could instead be an orthographic/phonological onset class; no English word is implied.
o- / ot-	LOCAL_FRAME	local view or parameter frame	unmarked versus extended/marked frame	WEAK_PROVISIONAL	o→ot is recovered in only one nested fold and competes with alternative parses.
d- / s- (bound)	LOCAL_MODE	contrastive operation/state selector	d = active/process instance; s = state/reference instance	PROVISIONAL_FUNCTION	Both also occur freely; semantic polarity is invented to make the theory explicit.
ch- / sh- / che-	CARRIER_FAMILY	field introducer/allomorphic carrier	che introduces an explicit value field; ch/sh select related carrier modes	CHE_STRONG_OTHERS_PROVISIONAL	No copula, preposition, or POS is assigned.
AR	CORE_RELATION	relational/process anchor	relation, operation, or linkage class rather than a pictured-object name	PROVISIONAL_FUNCTION	AR is extremely frequent and segmentation is nonunique.
OL	CORE_REFERENCE	entity/material/reference anchor	the referenced item or domain value in a compound	PROVISIONAL_FUNCTION	OL is not water: it occurs across registers and object ecologies.
AI / AII + N	PARAMETER_GRADE	ordered grade/extent encoding	more-explicit/higher grade tends to precede reduced/lower grade	PROVISIONAL_FUNCTION	Not a number, count, or measurement value.
TE / TEE	INTERNAL_GRADE	graphic/abbreviation grade inside a frame	short versus expanded internal realization	WEAK	Only one stable free occurrence each; TE nests inside TEE.
DY	RIGHT_CLOSURE	default/completed result-state closure	record value is closed, standard, or resolved	STRONG_POSITION_PROVISIONAL_VALUE	The functional value is speculative; DY may bundle smaller operations.
DAL / DAR	RIGHT_STATE	contrastive result/argument settings	two alternative settings within one field, not necessarily left/right or source/destination	PROVISIONAL_FUNCTION	DAR is also parsable as d+AR; DAL/DAR/DY operations are often order-dependent.
SY	RIGHT_QUALIFIER	secondary status/exception qualifier	marked secondary state	PROVISIONAL_FUNCTION	Sparse relative to DY and no visual partition survives control.
SOURCE SPACE / JOIN	BOUNDARY_RENDERER	field serialization choice	expand adjacent modules as separate groups or contract them into one label/form	STRONG_ARCHITECTURAL	Spaces are hierarchical but not assumed linguistic word boundaries.
CURRIER A / B	REGISTER_RENDERER	two realization profiles over a shared construction graph	cataloguing/descriptive versus procedural/expanded technical register	PROVISIONAL_FUNCTION	Not two languages, dialects, authors, or topics by proof.
