panel	cells	events	s_events	folios	powered
ABBREVIATION_HEAVY_MEDIEVAL	1	6	4	3	0
ARBITRARY_LOCAL_CODEBOOK	67	1542	292	171	1
AUGSBURG_ACCOUNTS_1402_1424	0	0	0	0	0
COMPOSITIONAL_TECHNICAL_NOTATION	52	1696	197	173	1
HYBRID_SHORTHAND	63	1488	277	175	1
IFORAL_1395_1411_GRAPHEMATIC	13	231	57	6	1
LATIN_15C_GRAPHEMATIC	14	167	82	11	1
LATIN_GERMAN_APOTHECARY_LATE15	0	0	0	0	0
LATIN_MEDICAL_GRAPHEMATIC	10	184	38	10	1
LATIN_SCHOLASTIC_GRAPHEMATIC	7	319	48	6	1
LEARNED_ABBREVIATION_MAP	0	0	0	0	0
LEARNED_ABBREVIATION_SAMPLED	0	0	0	0	0
ORDINARY_NATURAL_LANGUAGE	0	0	0	0	0
STE1_DIPLOMATIC_RECIPES	0	0	0	0	0
STE1_EXPANDED_RECIPES	0	0	0	0	0
VOYNICH_REFERENCE	15	344	35	78	1
