component	value	events	folios	hosts	first	middle	last	first_rate	last_rate
wrapper	NONE	2628	91	283	283	1950	395	0.107686453577	0.150304414003
wrapper	ch	719	89	59	24	607	88	0.033379694019	0.122392211405
wrapper	che	544	72	35	14	489	41	0.025735294118	0.075367647059
wrapper	d	702	90	44	137	407	158	0.195156695157	0.225071225071
wrapper	q	1255	86	79	143	1038	74	0.113944223108	0.058964143426
wrapper	s	160	59	21	86	52	22	0.537500000000	0.137500000000
wrapper	sh	679	85	50	57	579	43	0.083946980854	0.063328424153
wrapper	t	157	63	29	59	92	6	0.375796178344	0.038216560510
local_frame	NONE	5770	91	351	662	4383	725	0.114731369151	0.125649913345
local_frame	O	593	86	14	76	466	51	0.128161888702	0.086003372681
local_frame	OT	481	82	28	65	365	51	0.135135135135	0.106029106029
inner_d	0	6647	91	358	799	5039	809	0.120204603581	0.121709041673
inner_d	1	197	38	4	4	175	18	0.020304568528	0.091370558376
right_family	NONE	5604	91	330	684	4216	704	0.122055674518	0.125624553890
right_family	aiin	474	79	29	58	357	59	0.122362869198	0.124472573840
right_family	ain	274	44	15	29	223	22	0.105839416058	0.080291970803
right_family	air	21	14	7	0	21	0	0.000000000000	0.000000000000
right_family	al	226	51	21	9	187	30	0.039823008850	0.132743362832
right_family	ar	245	56	26	23	210	12	0.093877551020	0.048979591837
dy_closure	0	5689	91	292	680	4289	720	0.119528915451	0.126560028124
dy_closure	1	1155	73	87	123	925	107	0.106493506494	0.092640692641
b3	0	6703	91	342	801	5169	733	0.119498731911	0.109354020588
b3	1	141	51	21	2	45	94	0.014184397163	0.666666666667
