renderer_contrast	external_axis	eligible_predictions	physical_folios	page_hosts	nuisance_bits	same_host_cross_renderer_bits	gain_vs_nuisance_bits	capacity_state
O_VS_OT	STAR_OR_SKY	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	FIGURE	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	PLANT	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	WATER_OR_APPARATUS	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	REL_PROXIMITY	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	REL_EXPLICIT_ATTACHMENT	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	REL_ENCLOSURE	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
O_VS_OT	REL_ARRAY_OR_GROUP	0	0	0	0	0	0	UNSCORED_ZERO_EXACT_CROSS_FOLIO_CAPACITY
WRAPPER	STAR_OR_SKY	110	16	25	58.4792591947	57.2173031009	1.26195609373	SCORED
WRAPPER	FIGURE	110	16	25	16.9312205435	16.1129276373	0.818292906158	SCORED
WRAPPER	PLANT	110	16	25	61.5787147095	63.0427697503	-1.46405504084	SCORED
WRAPPER	WATER_OR_APPARATUS	110	16	25	18.052732042	16.7669390811	1.28579296091	SCORED
WRAPPER	REL_PROXIMITY	110	16	25	50.9174969321	54.6920448158	-3.77454788377	SCORED
WRAPPER	REL_EXPLICIT_ATTACHMENT	110	16	25	140.664295292	147.600823702	-6.9365284107	SCORED
WRAPPER	REL_ENCLOSURE	110	16	25	67.8636508018	71.6835329596	-3.81988215776	SCORED
WRAPPER	REL_ARRAY_OR_GROUP	110	16	25	31.9540196515	31.0300769377	0.923942713867	SCORED
RIGHT_FAMILY	STAR_OR_SKY	39	14	8	5.40177460869	5.00183655196	0.399938056729	SCORED
RIGHT_FAMILY	FIGURE	39	14	8	3.03611188767	1.68627123069	1.34984065698	SCORED
RIGHT_FAMILY	PLANT	39	14	8	9.73132310451	10.0865192821	-0.355196177568	SCORED
RIGHT_FAMILY	WATER_OR_APPARATUS	39	14	8	4.27014823854	2.14125640251	2.12889183603	SCORED
RIGHT_FAMILY	REL_PROXIMITY	39	14	8	9.57129314185	12.064221145	-2.49292800318	SCORED
RIGHT_FAMILY	REL_EXPLICIT_ATTACHMENT	39	14	8	44.5630307748	50.7082858963	-6.14525512157	SCORED
RIGHT_FAMILY	REL_ENCLOSURE	39	14	8	23.4414512864	22.1154114063	1.3260398801	SCORED
RIGHT_FAMILY	REL_ARRAY_OR_GROUP	39	14	8	15.2542434835	16.4161166632	-1.16187317964	SCORED
