page	early_records	late_records	early_groups	late_groups	early_fields	late_fields	early_lines	late_lines	group_count_log_ratio	field_count_log_ratio	line_count_log_ratio	outcome_access	q_conditional_score	outcome_source
f104r	6	6	211	187	64	40	21	19	0.120446153076	0.465363249689	0.097638469564	NOT_JOINED_AT_FREEZE	-0.547619047619	GDT271_ZL_PRIMARY_PAGE_SCORE
f104v	6	6	225	201	59	41	21	18	0.112530777556	0.360282885315	0.150282203049	NOT_JOINED_AT_FREEZE	2.897619047619	GDT271_ZL_PRIMARY_PAGE_SCORE
f105r	5	5	235	144	82	35	23	14	0.488431405904	0.843265596859	0.482851771724	NOT_JOINED_AT_FREEZE	-1.100000000000	GDT271_ZL_PRIMARY_PAGE_SCORE
f105v	5	5	209	190	49	40	19	19	0.095071544795	0.200670695462	0.000000000000	NOT_JOINED_AT_FREEZE	-0.916666666667	GDT271_ZL_PRIMARY_PAGE_SCORE
f106r	7	7	196	184	61	53	21	21	0.063012967829	0.139355520911	0.000000000000	NOT_JOINED_AT_FREEZE	1.833333333333	GDT271_ZL_PRIMARY_PAGE_SCORE
f107v	7	7	228	194	51	44	24	21	0.161104047276	0.146092618497	0.130620182417	NOT_JOINED_AT_FREEZE	3.032465360726	GDT271_ZL_PRIMARY_PAGE_SCORE
f112v	6	6	223	169	68	45	26	18	0.276558487233	0.409121419311	0.359374000908	NOT_JOINED_AT_FREEZE	1.929365079365	GDT271_ZL_PRIMARY_PAGE_SCORE
f113r	8	8	254	275	54	67	24	27	-0.079286792602	-0.213926896209	-0.115512887122	NOT_JOINED_AT_FREEZE	2.569607843137	GDT271_ZL_PRIMARY_PAGE_SCORE
f113v	7	7	250	222	59	45	24	22	0.118531818919	0.268263986595	0.085157808340	NOT_JOINED_AT_FREEZE	-0.850193665983	GDT271_ZL_PRIMARY_PAGE_SCORE
f114r	6	6	202	237	65	50	21	22	-0.159427736928	0.260076806360	-0.045462374077	NOT_JOINED_AT_FREEZE	-2.626190476190	GDT271_ZL_PRIMARY_PAGE_SCORE
f114v	6	6	172	204	60	46	19	22	-0.170170739011	0.263191052443	-0.143100843641	NOT_JOINED_AT_FREEZE	4.625000000000	GDT271_ZL_PRIMARY_PAGE_SCORE
f115r	6	6	225	190	69	46	21	20	0.168667964376	0.401874439977	0.047628048989	NOT_JOINED_AT_FREEZE	1.133333333333	GDT271_ZL_PRIMARY_PAGE_SCORE
f115v	6	6	183	202	63	54	20	22	-0.098525219052	0.152839204229	-0.093090423066	NOT_JOINED_AT_FREEZE	-0.509523809524	GDT271_ZL_PRIMARY_PAGE_SCORE
