boundary_id	locus	page	physical_folio	section	currier	register	boundary_index	line_groups	position_quartile	dy	left_token	right_token	left_root	right_root	left_host	right_host	left_compiler	right_compiler	left_host_len_bucket	right_host_len_bucket	stratum	page_host_joint_gain_vs_pre_bits	page_host_interaction_logodds
f100r.25:1	f100r.25	f100r	f100	P	A	OTHER_A	1	10	0	0	sheor	qkeeody	eor	keeo	eor	keeo	sh|D0|NONE|NONE|DY0|B30	q|D0|NONE|NONE|DY1|B30	1	1	f100|OTHER_A|P0|L1|R1	-0.0810687925411	1.05273645691
f100r.25:2	f100r.25	f100r	f100	P	A	OTHER_A	2	10	0	1	qkeeody	chol	keeo	ol	keeo	l	q|D0|NONE|NONE|DY1|B30	ch|D0|O|NONE|DY0|B30	1	0	f100|OTHER_A|P0|L1|R0	0.166274142661	1.02513849476
f100r.25:3	f100r.25	f100r	f100	P	A	OTHER_A	3	10	0	0	chol	daiin	ol	aiin	l	aiin	ch|D0|O|NONE|DY0|B30	d|D0|NONE|NONE|DY0|B30	0	1	f100|OTHER_A|P0|L0|R1	0.0161955120344	1.36055584118
f100r.25:4	f100r.25	f100r	f100	P	A	OTHER_A	4	10	1	0	daiin	ctheol	aiin	ctheol	aiin	ctheol	d|D0|NONE|NONE|DY0|B30	NONE|D0|NONE|NONE|DY0|B30	1	2	f100|OTHER_A|P1|L1|R2	0.0626730943246	0.414291924588
f100r.25:5	f100r.25	f100r	f100	P	A	OTHER_A	5	10	1	0	ctheol	olcheol	ctheol	olcheol	ctheol	olcheol	NONE|D0|NONE|NONE|DY0|B30	NONE|D0|NONE|NONE|DY0|B30	2	2	f100|OTHER_A|P1|L2|R2	0.0296153197914	-0.348086042206
f100r.25:6	f100r.25	f100r	f100	P	A	OTHER_A	6	10	2	0	olcheol	cheky	olcheol	ky	olcheol	ky	NONE|D0|NONE|NONE|DY0|B30	che|D0|NONE|NONE|DY0|B30	2	0	f100|OTHER_A|P2|L2|R0	-0.735734722719	0.116052811372
f100r.25:7	f100r.25	f100r	f100	P	A	OTHER_A	7	10	2	0	cheky	cheol	ky	ol	ky	l	che|D0|NONE|NONE|DY0|B30	che|D0|O|NONE|DY0|B30	0	0	f100|OTHER_A|P2|L0|R0	0.0014148979781	0.0485061414562
f100r.25:8	f100r.25	f100r	f100	P	A	OTHER_A	8	10	3	0	cheol	cheockhy	ol	ockhy	l	ockhy	che|D0|O|NONE|DY0|B30	che|D0|NONE|NONE|DY0|B30	0	1	f100|OTHER_A|P3|L0|R1	0.246618123634	-0.115095577888
f100r.25:9	f100r.25	f100r	f100	P	A	OTHER_A	9	10	3	0	cheockhy	okeol	ockhy	okeol	ockhy	okeol	che|D0|NONE|NONE|DY0|B30	NONE|D0|NONE|NONE|DY0|B30	1	1	f100|OTHER_A|P3|L1|R1	0.0382236475425	0.455982314912
f100r.27:1	f100r.27	f100r	f100	P	A	OTHER_A	1	5	0	0	chol	cheol	ol	ol	l	l	ch|D0|O|NONE|DY0|B30	che|D0|O|NONE|DY0|B30	0	0	f100|OTHER_A|P0|L0|R0	0.013793949465	0.633750767495
f100r.27:2	f100r.27	f100r	f100	P	A	OTHER_A	2	5	1	0	cheol	cho	ol	o	l	o	che|D0|O|NONE|DY0|B30	ch|D0|NONE|NONE|DY0|B30	0	0	f100|OTHER_A|P1|L0|R0	0.0466534964644	-0.214537273272
f100r.27:3	f100r.27	f100r	f100	P	A	OTHER_A	3	5	2	0	cho	chckheody	o	ckheo	o	ckheo	ch|D0|NONE|NONE|DY0|B30	ch|D0|NONE|NONE|DY1|B30	0	1	f100|OTHER_A|P2|L0|R1	0.0250657624107	-0.536233859365
f100r.27:4	f100r.27	f100r	f100	P	A	OTHER_A	4	5	3	1	chckheody	otolchey	ckheo	otolchey	ckheo	otolchey	ch|D0|NONE|NONE|DY1|B30	NONE|D0|NONE|NONE|DY0|B30	1	2	f100|OTHER_A|P3|L1|R2	0.569919749547	2.72115238698
