locus	page	physical_folio	section	currier	hand	group_index	token	residual_host	page_host	wrapper	inner_d	local_frame	right_family	b3	record_state	compiler_signature	annotation_certainty	tags
f100r.1	f100r	f100	P	A	1	1	chosaroshol	osaroshol	osaroshol	ch	0	NONE	NONE	0	AR_REFERENCE	ch|D0|NONE|NONE|DY0|B30|AR_REFERENCE	HEDGED	PLANT;REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY
f100r.10	f100r	f100	P	A	1	1	dakocth	akocth	akocth	d	0	NONE	NONE	0	ENTRY_STATE	d|D0|NONE|NONE|DY0|B30|ENTRY_STATE	HEDGED	PLANT;REL_OVERLAP_OR_CONTACT;REL_PROXIMITY
f100r.16	f100r	f100	P	A	1	1	okeeos	okeeos	okeeos	NONE	0	NONE	NONE	0	OTHER	NONE|D0|NONE|NONE|DY0|B30|OTHER	HEDGED	PLANT;REL_PROXIMITY
f100r.17	f100r	f100	P	A	1	1	shockhey	ockhey	ockhey	sh	0	NONE	NONE	0	CARRIER_STATE	sh|D0|NONE|NONE|DY0|B30|CARRIER_STATE	HEDGED	PLANT;REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY
f100r.18	f100r	f100	P	A	1	1	orol	orol	orol	NONE	0	NONE	NONE	0	OL_STATE	NONE|D0|NONE|NONE|DY0|B30|OL_STATE	UNHEDGED	PLANT;REL_PROXIMITY
f100r.19	f100r	f100	P	A	1	1	olcheom	olcheom	olcheo	NONE	0	NONE	NONE	1	OL_STATE	NONE|D0|NONE|NONE|DY0|B31|OL_STATE	UNHEDGED	PLANT;REL_PROXIMITY
f100r.2	f100r	f100	P	A	1	1	sochorcfhy	ochorcfhy	ochorcfhy	s	0	NONE	NONE	0	ENTRY_STATE	s|D0|NONE|NONE|DY0|B30|ENTRY_STATE	HEDGED	PLANT;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY
f100r.20	f100r	f100	P	A	1	1	oteol	oteol	eol	NONE	0	OT	NONE	0	OL_STATE	NONE|D0|OT|NONE|DY0|B30|OL_STATE	UNHEDGED	PLANT;REL_PROXIMITY
f100r.3	f100r	f100	P	A	1	1	otear	otear	e	NONE	0	OT	ar	0	AR_REFERENCE	NONE|D0|OT|ar|DY0|B30|AR_REFERENCE	HEDGED	PLANT;REL_PROXIMITY
f100r.8	f100r	f100	P	A	1	1	soity	oity	oity	s	0	NONE	NONE	0	ENTRY_STATE	s|D0|NONE|NONE|DY0|B30|ENTRY_STATE	HEDGED	PLANT;REL_PROXIMITY
f100r.9	f100r	f100	P	A	1	1	sosam	osam	osa	s	0	NONE	NONE	1	ENTRY_STATE	s|D0|NONE|NONE|DY0|B31|ENTRY_STATE	HEDGED	PLANT;REL_PROXIMITY
f100v.1	f100v	f100	P	A	1	1	tolchd	olchd	lchd	t	0	O	NONE	0	OL_STATE	t|D0|O|NONE|DY0|B30|OL_STATE	UNHEDGED	PLANT;REL_PROXIMITY
f100v.10	f100v	f100	P	A	1	1	okcheor	okcheor	okcheor	NONE	0	NONE	NONE	0	OTHER	NONE|D0|NONE|NONE|DY0|B30|OTHER	UNHEDGED	PLANT;REL_PROXIMITY
f100v.11	f100v	f100	P	A	1	1	ytchol	ytchol	ytchol	NONE	0	NONE	NONE	0	OL_STATE	NONE|D0|NONE|NONE|DY0|B30|OL_STATE	UNHEDGED	PLANT;REL_PROXIMITY
f100v.12	f100v	f100	P	A	1	1	dykchal	ykchal	ykch	d	0	NONE	al	0	AL_STATE	d|D0|NONE|al|DY0|B30|AL_STATE	UNHEDGED	PLANT;REL_PROXIMITY
