page	paragraph_id	locus	line_field_ordinal	field_group_count	source_tokens	page_hosts	line_field_end	missing_before_min	missing_before_max	missing_after_min	missing_after_max	feasible_coordinates	predicted_five_way_classes	predicted_abstract_classes	robust_abstract_role_like	robust_under_missingness	semantic_value
f82r	P1	f82r.2	1	1	dchedy	che	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.2	2	1	qolchedy	olche	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.2	3	3	qokain|dy|qokeedy	ok|y|okee	DY	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.2	4	3	qokal|lcheckhy|lched	ok|lcheckhy|lched	LINE_END	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.3	1	2	qokeey|lcheckhedy	okeey|lcheckhe	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.3	2	4	qokaly|solkaiin|chckhy|qokaiin	okaly|olk|ckhy|ok	LINE_END	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.4	1	4	qokaiin|octheol|chkeey|ldy	ok|octheol|keey|l	DY	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.4	2	4	oteey|qokal|sheckhy|qoky	eey|ok|eckhy|oky	LINE_END	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.5	1	2	sol|lkchedy	l|lkche	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.5	2	1	qokeedy	okee	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.5	3	4	qokal|cthol|chedy|qoteedy	ok|cthol|y|ee	DY	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.6	1	1	shedy	e	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.6	2	6	qol|shedaiin|sheckhy|okal|sheky|qotaiin	l|ed|eckhy|ok|eky|ot	LINE_END	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.7	1	1	dshedy	she	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.7	2	3	sotaiin|qokar|shedy	ot|ok|e	DY	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
f82r	P1	f82r.7	3	1	solshedy	olshe	DY	1	8	2	17	128	INGREDIENT	SHORT_ARGUMENT_LIKE	SHORT_ARGUMENT_LIKE	1	UNASSIGNED
f82r	P1	f82r.7	4	4	qokeey|qoky|ls|cheey	okeey|oky|ls|ey	LINE_END	1	8	2	17	128	OPERATION	INSTRUCTION_CLAUSE_LIKE	INSTRUCTION_CLAUSE_LIKE	1	UNASSIGNED
