window	representation	gain_bits	currier_A_gain	currier_B_gain
FIRST_LINE	PAGE_HOST_IDENTITY	10.7730555632	9.81858314176	0.954472421391
FIRST_LINE	PAGE_HOST_CHAR3	13.4736375709	10.5595282267	2.91410934413
FIRST_LINE	RAW_CHAR3	7.73455618592	9.14410326665	-1.40954708072
BODY_AFTER_FIRST	PAGE_HOST_IDENTITY	23.6978924501	20.4222612409	3.27563120919
BODY_AFTER_FIRST	PAGE_HOST_CHAR3	16.1076243354	17.8609925339	-1.75336819848
BODY_AFTER_FIRST	RAW_CHAR3	11.2443442474	12.9477661996	-1.70342195223
LAST_LINE	PAGE_HOST_IDENTITY	6.93791920216	10.7060040051	-3.76808480294
LAST_LINE	PAGE_HOST_CHAR3	23.0920998652	19.7728111854	3.31928867977
LAST_LINE	RAW_CHAR3	9.36629689846	11.1047637984	-1.73846689995
ALL_PAGE	PAGE_HOST_IDENTITY	27.6708321771	21.8770794059	5.79375277118
ALL_PAGE	PAGE_HOST_CHAR3	22.6561542715	22.658708841	-0.00255456951282
ALL_PAGE	RAW_CHAR3	17.3929503194	17.9237030282	-0.530752708784
