pair_id	arm	cut_ordinal	locus	group_index	surface	display_cut_offset	crop_xywh	marker_x_in_crop	marker_y_range	localization_state	confidence	neutral_note	legacy_target_box_contains_registered_group	legacy_box_correction_note
G5P001	TARGET	1	f114r.18	5	qoeeody	1	990,1490,250,100	70	8-92	LOCALIZED	MEDIUM	Marker follows source initial D1/q sign.	YES	Legacy box contains registered group.
G5P001	TARGET	2	f114r.18	5	qoeeody	5	990,1490,250,100	146	8-92	LOCALIZED	MEDIUM	Marker precedes source B1 A2 / displayed dy sequence.	YES	Legacy box contains registered group.
G5P001	CONTROL	1	f114r.18	6	qodaiin	1	1260,1490,260,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P001	CONTROL	2	f114r.18	6	qodaiin	5	1260,1490,260,100			LOCALIZATION_UNRESOLVED	HIGH	Display cut qodai|in falls inside single STA G1=i in and has no source-sign boundary.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P002	TARGET	1	f34v.4	7	qoldar	1	1740,590,230,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NO	Legacy y-range is on the following physical line; registered f34v.4 group is not in the box.
G5P002	TARGET	2	f34v.4	7	qoldar	3	1740,590,230,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NO	Legacy y-range is on the following physical line; registered f34v.4 group is not in the box.
G5P002	CONTROL	1	f34v.4	2	chekal	1	690,590,220,100			LOCALIZATION_UNRESOLVED	HIGH	Display cut c|hekal falls inside single STA K1=ch sign.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P002	CONTROL	2	f34v.4	2	chekal	3	690,590,220,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P003	TARGET	1	f37v.1	3	qotoldy	1	1270,470,250,110			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NO	Legacy x-range contains line-initial G1 tshody, not registered G3 qotoldy.
G5P003	TARGET	2	f37v.1	3	qotoldy	5	1270,470,250,110			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NO	Legacy x-range contains line-initial G1 tshody, not registered G3 qotoldy.
G5P003	CONTROL	1	f37v.1	2	qocthy	1	1060,470,210,110			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P003	CONTROL	2	f37v.1	2	qocthy	4	1060,470,210,110			LOCALIZATION_UNRESOLVED	HIGH	Display cut qoct|hy falls inside single STA U2=cth sign.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P004	TARGET	1	f43r.3	11	qotydy	1	1740,500,240,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P004	TARGET	2	f43r.3	11	qotydy	4	1740,500,240,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P004	CONTROL	1	f43r.3	8	yteedy	1	1220,500,220,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P004	CONTROL	2	f43r.3	8	yteedy	4	1220,500,220,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P005	TARGET	1	f58v.38	9	sydy	2	2420,2690,220,100	105	8-92	LOCALIZED	MEDIUM	Marker precedes source B1 A2 / displayed dy sequence.	YES	Legacy box contains final registered group sydy.
G5P005	CONTROL	1	f58v.38	7	okor	2	2050,2690,180,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P006	TARGET	1	f81v.20	6	qoldy	1	1760,1570,240,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P006	TARGET	2	f81v.20	6	qoldy	3	1760,1570,240,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P006	CONTROL	1	f81v.20	7	ltedy	1	1980,1570,200,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P006	CONTROL	2	f81v.20	7	ltedy	3	1980,1570,200,100			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P007	TARGET	1	f82v.13	8	qokoldy	1	2220,1130,380,120			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P007	TARGET	2	f82v.13	8	qokoldy	5	2220,1130,380,120			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P007	CONTROL	1	f82v.13	7	chckhdy	1	1950,1130,300,120			LOCALIZATION_UNRESOLVED	HIGH	Display cut c|hckhdy falls inside single STA K1=ch sign.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P007	CONTROL	2	f82v.13	7	chckhdy	5	1950,1130,300,120			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P008	TARGET	1	f83v.3	6	qotaldy	1	1440,430,300,110			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P008	TARGET	2	f83v.3	6	qotaldy	5	1440,430,300,110			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	UNRESOLVED	Source-aware full-line audit did not secure the registered group inside the legacy box.
G5P008	CONTROL	1	f83v.3	7	qokaiin	1	1700,430,280,110			LOCALIZATION_UNRESOLVED	LOW	Exact source-group and inter-sign marker coordinate was not secured under source-aware full-line audit; not guessed.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
G5P008	CONTROL	2	f83v.3	7	qokaiin	5	1700,430,280,110			LOCALIZATION_UNRESOLVED	HIGH	Display cut qokai|in falls inside single STA G1=iin sign.	NOT_APPLICABLE_CONTROL	Control was newly source-localized by physical group order.
