rank_by_effect	first_member	support	observed	member_n	observed_rate	expected_hits	expected_rate	rate_effect	local_p	bonferroni_p	null_min	null_max	line_count	opener_recall
1	P1	106	79	106	0.745283018868	13.0484931735	0.123098992203	0.622184026665	2.43270693951e-55	3.89233110322e-54	0	92	1036	0.0762548262548
2	Q2	217	99	217	0.456221198157	29.4883810634	0.135891156974	0.320330041183	8.57017871298e-33	1.37122859408e-31	0	197	1036	0.0955598455598
3	C2	243	112	243	0.460905349794	43.2846112221	0.178125972107	0.282779377687	4.76084235272e-29	7.61734776435e-28	6	217	1036	0.108108108108
4	A2	342	145	342	0.423976608187	56.6120795871	0.165532396453	0.258444211734	4.35497833921e-36	6.96796534274e-35	5	278	1036	0.139961389961
5	B1	702	157	702	0.223646723647	108.857106782	0.155067103678	0.0685796199685	4.46782444895e-08	7.14851911831e-07	6	475	1036	0.151544401544
6	D1	1317	149	1317	0.113135914958	165.885611611	0.125957184215	-0.0128212692563	0.952523151009	1	0	634	1036	0.143822393822
7	A1	1495	142	1495	0.094983277592	197.556522644	0.1321448312	-0.037161553608	0.999999874506	1	6	710	1036	0.137065637066
8	L1	654	62	654	0.0948012232416	88.1441600067	0.134777003068	-0.0399757798267	0.999697646371	1	0	448	1036	0.0598455598456
9	Q1	193	16	193	0.0829015544041	27.2230963481	0.141052312684	-0.0581507582803	0.99620800249	1	0	164	1036	0.015444015444
10	B2	295	18	295	0.0610169491525	36.6534396159	0.124248947851	-0.0632319986981	0.99995474819	1	0	217	1036	0.0173745173745
11	C1	66	1	66	0.0151515151515	7.83774281274	0.118753678981	-0.103602163829	0.999794056775	1	0	63	1036	0.000965250965251
12	K1	1343	46	1343	0.0342516753537	191.086345599	0.142283205956	-0.108031530602	1	1	1	711	1036	0.0444015444015
13	A3	270	1	270	0.0037037037037	30.3891983017	0.112552586303	-0.108848882599	1	1	0	193	1036	0.000965250965251
14	U2	137	3	137	0.021897810219	22.6592463092	0.165395958462	-0.143498148243	0.99999999768	1	0	115	1036	0.00289575289575
15	U1	44	0	44	0	7.37616550117	0.167640125026	-0.167640125026	1	1	0	38	1036	0
16	T1	30	0	30	0	5.10252525253	0.170084175084	-0.170084175084	1	1	0	26	1036	0
