locus	page	physical_folio	register	hand	group_index	group_count	token	first_member	physical_line_start
f10r.6	f10r	f10	HA	1	8	9	taiin	Q2	0
f11r.1	f11r	f11	HA	1	1	8	tshol	Q2	1
f11r.1	f11r	f11	HA	1	7	8	tchody	Q2	0
f15r.12	f15r	f15	HA	1	3	6	tcheor	Q2	0
f16v.9	f16v	f16	HA	1	7	8	ty	Q2	0
f17v.5	f17v	f17	HA	1	4	6	tchol	Q2	0
f18r.5	f18r	f18	HA	1	1	6	tchor	Q2	1
f18v.8	f18v	f18	HA	1	1	7	tolol	Q2	1
f19r.1	f19r	f19	HA	1	5	9	tchy	Q2	0
f19r.3	f19r	f19	HA	1	3	6	tdaiin	Q2	0
f20r.10	f20r	f20	HA	1	8	8	toy	Q2	0
f20r.12	f20r	f20	HA	1	5	8	tchy	Q2	0
f20r.3	f20r	f20	HA	1	7	8	tcheodal	Q2	0
f21r.11	f21r	f21	HA	1	4	9	tchol	Q2	0
f21v.2	f21v	f21	HA	1	7	8	tchol	Q2	0
f21v.3	f21v	f21	HA	1	4	9	tcho	Q2	0
f21v.6	f21v	f21	HA	1	2	6	tsho	Q2	0
f21v.6	f21v	f21	HA	1	5	6	todaiin	Q2	0
f23v.6	f23v	f23	HA	1	1	7	tshol	Q2	1
f27r.10	f27r	f27	HA	1	6	7	tchey	Q2	0
f28r.3	f28r	f28	HA	1	7	7	tchodar	Q2	0
f28v.4	f28v	f28	HA	1	1	10	tshoiin	Q2	1
f3v.11	f3v	f3	HA	1	4	6	tchor	Q2	0
f3v.12	f3v	f3	HA	1	4	6	tchor	Q2	0
f3v.7	f3v	f3	HA	1	1	5	tchor	Q2	1
f35r.12	f35r	f35	HA	1	5	8	taiin	Q2	0
f35r.13	f35r	f35	HA	1	7	7	taiin	Q2	0
f35r.3	f35r	f35	HA	1	4	5	taiin	Q2	0
f35r.7	f35r	f35	HA	1	2	3	tchor	Q2	0
f35v.14	f35v	f35	HA	1	1	4	tcheain	Q2	1
f35v.14	f35v	f35	HA	1	3	4	tar	Q2	0
f35v.15	f35v	f35	HA	1	4	4	tch	Q2	0
f37v.14	f37v	f37	HA	1	1	3	todain	Q2	1
f38r.1	f38r	f38	HA	1	1	7	tolor	Q2	1
f38v.6	f38v	f38	HA	1	4	8	tey	Q2	0
f42r.3	f42r	f42	HA	1	1	5	toshy	Q2	1
f42v.13	f42v	f42	HA	1	3	8	teor	Q2	0
f44r.1	f44r	f44	HA	1	1	6	tshodpy	Q2	1
f44v.10	f44v	f44	HA	1	3	6	tshy	Q2	0
f44v.12	f44v	f44	HA	1	2	6	teol	Q2	0
f45r.6	f45r	f45	HA	1	5	8	tcholol	Q2	0
f47r.10	f47r	f47	HA	1	4	9	tor	Q2	0
f47r.10	f47r	f47	HA	1	7	9	tchol	Q2	0
f49r.5	f49r	f49	HA	1	4	5	teey	Q2	0
f49v.28	f49v	f49	HA	1	3	6	tchol	Q2	0
f49v.30	f49v	f49	HA	1	6	7	tchol	Q2	0
f49v.32	f49v	f49	HA	1	1	6	tchotchey	Q2	1
f51r.9	f51r	f51	HA	1	1	7	tol	Q2	1
f51v.3	f51v	f51	HA	1	1	8	tchody	Q2	1
f52r.3	f52r	f52	HA	1	1	7	tchotshey	Q2	1
f52r.3	f52r	f52	HA	1	4	7	tchody	Q2	0
f52r.5	f52r	f52	HA	1	6	8	tol	Q2	0
f54v.12	f54v	f54	HA	1	1	4	tol	Q2	1
f56v.11	f56v	f56	HA	1	5	5	tchain	Q2	0
f56v.8	f56v	f56	HA	1	4	5	tcheey	Q2	0
f6r.14	f6r	f6	HA	1	2	4	taiin	Q2	0
f6v.14	f6v	f6	HA	1	4	4	tchalody	Q2	0
f7v.1	f7v	f7	HA	1	3	8	tchody	Q2	0
f7v.1	f7v	f7	HA	1	8	8	tshodody	Q2	0
f7v.5	f7v	f7	HA	1	4	4	tcheey	Q2	0
f8r.2	f8r	f8	HA	1	1	9	tchty	Q2	1
