page	locus	line_field_ordinal	line_field_count	field_group_count	source_tokens	page_hosts	compiler_cells	line_field_end	gdt229_role_available	semantic_role
f82r	f82r.2	1	4	1	dchedy	che	d:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.2	2	4	1	qolchedy	olche	q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.2	3	4	3	qokain|dy|qokeedy	ok|y|okee	q:NONE:0:ain:0:0|d:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.2	4	4	3	qokal|lcheckhy|lched	ok|lcheckhy|lched	q:NONE:0:al:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.3	1	2	2	qokeey|lcheckhedy	okeey|lcheckhe	q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.3	2	2	4	qokaly|solkaiin|chckhy|qokaiin	okaly|olk|ckhy|ok	q:NONE:0:NONE:0:0|s:NONE:0:aiin:0:0|ch:NONE:0:NONE:0:0|q:NONE:0:aiin:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.4	1	2	4	qokaiin|octheol|chkeey|ldy	ok|octheol|keey|l	q:NONE:0:aiin:0:0|NONE:NONE:0:NONE:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	1	UNASSIGNED
f82r	f82r.4	2	2	4	oteey|qokal|sheckhy|qoky	eey|ok|eckhy|oky	NONE:OT:0:NONE:0:0|q:NONE:0:al:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0	LINE_END	1	UNASSIGNED
f82r	f82r.5	1	3	2	sol|lkchedy	l|lkche	s:O:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	0	UNASSIGNED
f82r	f82r.5	2	3	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	0	UNASSIGNED
