mode	held	events	training_events	source_seen_events	source_seen_fraction	unigram_bits	nuisance_bits	host_bits	community_bits	unigram_top1	unigram_top5	nuisance_top1	nuisance_top5	host_top1	host_top5	community_top1	community_top5	host_gain_vs_nuisance_bits	community_gain_vs_nuisance_bits	host_gain_vs_community_bits	claim_state
HELD_FOLIO	f1	39	12428	34	0.871794871795	312.086569368872	330.297635673678	362.711879640617	372.755086415548	2	5	4	7	3	7	3	6	-32.414243966939	-42.457450741870	10.043206774931	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f10	70	12397	63	0.900000000000	515.308873061463	547.912982641280	574.120438567571	635.086484640255	8	22	6	29	5	26	6	28	-26.207455926292	-87.173501998975	60.966046072683	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f100	42	12425	37	0.880952380952	359.980876483554	384.902387352653	432.078497921622	449.984479494326	2	11	7	11	4	10	6	11	-47.176110568969	-65.082092141673	17.905981572704	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f102	112	12355	103	0.919642857143	940.712660352597	981.551033145559	1088.784134965060	1147.183032332809	1	17	12	27	5	24	9	26	-107.233101819501	-165.631999187250	58.398897367749	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f103	293	12174	271	0.924914675768	2069.353345543065	2130.030499395697	2274.826586170078	2326.650402042793	20	77	28	77	29	85	26	87	-144.796086774381	-196.619902647096	51.823815872715	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f104	331	12136	291	0.879154078550	2655.328206929557	2885.671976373927	3144.135727567300	3354.017184924214	12	80	26	80	18	73	16	78	-258.463751193374	-468.345208550287	209.881457356913	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f105	304	12163	264	0.868421052632	2444.002227422515	2687.320761125958	2890.027916164816	3115.316353526972	10	70	12	70	16	60	9	64	-202.707155038858	-427.995592401015	225.288437362156	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f106	334	12133	309	0.925149700599	2555.456653680753	2715.573787808363	2909.894091240948	3093.394533778154	24	99	31	99	31	87	28	96	-194.320303432584	-377.820745969791	183.500442537206	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f107	392	12075	371	0.946428571429	2767.462120221924	2857.577129829053	3126.463925246115	3201.590657884831	26	135	48	135	37	107	28	120	-268.886795417062	-344.013528055778	75.126732638716	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f108	417	12050	391	0.937649880096	3099.928578657041	3247.218003092818	3521.390526209886	3558.104777270863	31	86	21	86	26	102	23	95	-274.172523117068	-310.886774178045	36.714251060977	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
HELD_FOLIO	f11	31	12436	28	0.903225806452	238.445926316721	238.184908166152	251.601105019546	275.280715137729	6	9	1	11	1	10	0	11	-13.416196853394	-37.095806971578	23.679610118184	OPAQUE_IDENTITY_HELD_CONTEXT_NO_LEXEME_OR_MEANING
