stratum_id	observation_id	page	locus	wrapper	source_surface_sha256	physical_folio	group_count	page_host	local_frame	inner_d	right_family	dy_closure	b3	register	section	currier	hand	group_index	previous_observation_id	previous_dy_closure	preceded_by_dy	line_start
G306S1311AE0C4B10	GDT276:f22v.4:G001	f22v	f22v.4	NONE	cafcd81dd8b0e50cc7130e229973a94bdc6b6eb70984e139cd52ee10dc0080fa	f22	6	ch	OT	0	aiin	0	0	HERBAL_A	H	A	1	1	NONE	NA	0	1
G306S1311AE0C4B10	GDT276:f36v.3:G007	f36v	f36v.3	NONE	cafcd81dd8b0e50cc7130e229973a94bdc6b6eb70984e139cd52ee10dc0080fa	f36	8	ch	OT	0	aiin	0	0	HERBAL_A	H	A	1	7	GDT276:f36v.3:G006	0	0	0
G306S1311AE0C4B10	GDT276:f28r.3:G001	f28r	f28r.3	q	9198c96cd0dd3966c9ea0985bd7cdd4b7a182d81265aac334aacac10e7713ab0	f28	7	ch	OT	0	aiin	0	0	HERBAL_A	H	A	1	1	NONE	NA	0	1
G306SD9920234CE86	GDT276:f45r.6:G001	f45r	f45r.6	NONE	c5e4814d40a1850e918caeafbfe55b11f96f7b098f863eb7853c83f62595b09b	f45	8	ch	OT	0	ar	0	0	HERBAL_A	H	A	1	1	NONE	NA	0	1
G306SD9920234CE86	GDT276:f8v.13:G002	f8v	f8v.13	NONE	c5e4814d40a1850e918caeafbfe55b11f96f7b098f863eb7853c83f62595b09b	f8	7	ch	OT	0	ar	0	0	HERBAL_A	H	A	1	2	GDT276:f8v.13:G001	0	0	0
G306SD9920234CE86	GDT276:f8v.5:G004	f8v	f8v.5	NONE	c5e4814d40a1850e918caeafbfe55b11f96f7b098f863eb7853c83f62595b09b	f8	7	ch	OT	0	ar	0	0	HERBAL_A	H	A	1	4	GDT276:f8v.5:G003	0	0	0
G306SD9920234CE86	GDT276:f49v.10:G003	f49v	f49v.10	q	5defc3a254f3d96d8825f0b1a7eb246b50f757fd7e0d2fbdc03117b5a11ea88e	f49	3	ch	OT	0	ar	0	0	HERBAL_A	H	A	1	3	GDT276:f49v.10:G002	0	0	0
G306S91649B120B11	GDT276:f35v.13:G003	f35v	f35v.13	NONE	32f30ea0e83c41a331c4330213005568675f7542c25f354ebb634db78cc30d12	f35	5	d	O	0	NONE	0	0	HERBAL_A	H	A	1	3	GDT276:f35v.13:G002	0	0	0
G306S91649B120B11	GDT276:f22v.1:G008	f22v	f22v.1	q	d3bdf26aa2133be46527ec617db33fb340d7180d2124f32756ca4820f3ce864a	f22	8	d	O	0	NONE	0	0	HERBAL_A	H	A	1	8	GDT276:f22v.1:G007	0	0	0
G306S91649B120B11	GDT276:f24r.14:G003	f24r	f24r.14	q	d3bdf26aa2133be46527ec617db33fb340d7180d2124f32756ca4820f3ce864a	f24	5	d	O	0	NONE	0	0	HERBAL_A	H	A	1	3	GDT276:f24r.14:G002	0	0	0
G306S91649B120B11	GDT276:f51v.3:G004	f51v	f51v.3	q	d3bdf26aa2133be46527ec617db33fb340d7180d2124f32756ca4820f3ce864a	f51	8	d	O	0	NONE	0	0	HERBAL_A	H	A	1	4	GDT276:f51v.3:G003	0	0	0
