external_axis	section	currier	physical_folio	predictions	representation	gain_bits
STAR_OR_SKY	C	NONE	f67	1	RAW_CHAR3	-0.109203553633
STAR_OR_SKY	C	NONE	f67	1	PAGE_HOST_CHAR3	-0.130155536035
STAR_OR_SKY	C	NONE	f67	1	BEHAVIOR_SELF_NEIGHBOR_NOPOS	0.0771079940471
STAR_OR_SKY	C	NONE	f69	34	RAW_CHAR3	-0.193462884014
STAR_OR_SKY	C	NONE	f69	34	PAGE_HOST_CHAR3	0.682219210766
STAR_OR_SKY	C	NONE	f69	34	BEHAVIOR_SELF_NEIGHBOR_NOPOS	2.10942929076
STAR_OR_SKY	C	NONE	f70	8	RAW_CHAR3	-0.548099236782
STAR_OR_SKY	C	NONE	f70	8	PAGE_HOST_CHAR3	-0.472980542946
STAR_OR_SKY	C	NONE	f70	8	BEHAVIOR_SELF_NEIGHBOR_NOPOS	-1.72991688055
FIGURE	B	B	f75	24	RAW_CHAR3	7.67362453921
FIGURE	B	B	f75	24	PAGE_HOST_CHAR3	4.77318282692
FIGURE	B	B	f75	24	BEHAVIOR_SELF_NEIGHBOR_NOPOS	0.213111294524
FIGURE	B	B	f77	8	RAW_CHAR3	4.94488951109
FIGURE	B	B	f77	8	PAGE_HOST_CHAR3	4.87656589491
FIGURE	B	B	f77	8	BEHAVIOR_SELF_NEIGHBOR_NOPOS	1.55653669382
FIGURE	B	B	f78	1	RAW_CHAR3	-0.154570639309
FIGURE	B	B	f78	1	PAGE_HOST_CHAR3	-0.156591357114
FIGURE	B	B	f78	1	BEHAVIOR_SELF_NEIGHBOR_NOPOS	-0.166784368342
FIGURE	B	B	f80	4	RAW_CHAR3	0.0321471332499
FIGURE	B	B	f80	4	PAGE_HOST_CHAR3	0.0316753981547
FIGURE	B	B	f80	4	BEHAVIOR_SELF_NEIGHBOR_NOPOS	0.0421980991205
FIGURE	B	B	f82	11	RAW_CHAR3	5.68924415404
FIGURE	B	B	f82	11	PAGE_HOST_CHAR3	7.66211002427
FIGURE	B	B	f82	11	BEHAVIOR_SELF_NEIGHBOR_NOPOS	6.42256791319
FIGURE	B	B	f83	2	RAW_CHAR3	3.42100647436
FIGURE	B	B	f83	2	PAGE_HOST_CHAR3	4.01270359146
FIGURE	B	B	f83	2	BEHAVIOR_SELF_NEIGHBOR_NOPOS	3.97244766061
PLANT	P	A	f100	14	RAW_CHAR3	0.126317168894
PLANT	P	A	f100	14	PAGE_HOST_CHAR3	0.13040790273
PLANT	P	A	f100	14	BEHAVIOR_SELF_NEIGHBOR_NOPOS	0.176299905741
PLANT	P	A	f102	8	RAW_CHAR3	-0.0989925009066
PLANT	P	A	f102	8	PAGE_HOST_CHAR3	0.0669404573453
PLANT	P	A	f102	8	BEHAVIOR_SELF_NEIGHBOR_NOPOS	0.085732067018
PLANT	P	A	f88	11	RAW_CHAR3	1.41474407096
PLANT	P	A	f88	11	PAGE_HOST_CHAR3	-1.46159319993
PLANT	P	A	f88	11	BEHAVIOR_SELF_NEIGHBOR_NOPOS	1.84711160176
PLANT	P	A	f89	17	RAW_CHAR3	-0.942186288381
PLANT	P	A	f89	17	PAGE_HOST_CHAR3	-1.15434165035
PLANT	P	A	f89	17	BEHAVIOR_SELF_NEIGHBOR_NOPOS	-0.555388206349
PLANT	P	A	f99	23	RAW_CHAR3	1.12530968494
PLANT	P	A	f99	23	PAGE_HOST_CHAR3	-1.58365632407
PLANT	P	A	f99	23	BEHAVIOR_SELF_NEIGHBOR_NOPOS	1.34248562555
WATER_OR_APPARATUS	B	B	f75	24	RAW_CHAR3	-6.94085783065
WATER_OR_APPARATUS	B	B	f75	24	PAGE_HOST_CHAR3	-1.08196357782
WATER_OR_APPARATUS	B	B	f75	24	BEHAVIOR_SELF_NEIGHBOR_NOPOS	-5.81037551303
WATER_OR_APPARATUS	B	B	f77	8	RAW_CHAR3	8.09354687922
WATER_OR_APPARATUS	B	B	f77	8	PAGE_HOST_CHAR3	8.4181095026
WATER_OR_APPARATUS	B	B	f77	8	BEHAVIOR_SELF_NEIGHBOR_NOPOS	8.19075241254
WATER_OR_APPARATUS	B	B	f78	1	RAW_CHAR3	3.20209199988
WATER_OR_APPARATUS	B	B	f78	1	PAGE_HOST_CHAR3	2.17468146534
WATER_OR_APPARATUS	B	B	f78	1	BEHAVIOR_SELF_NEIGHBOR_NOPOS	2.40821434868
WATER_OR_APPARATUS	B	B	f80	4	RAW_CHAR3	6.94346799303
WATER_OR_APPARATUS	B	B	f80	4	PAGE_HOST_CHAR3	11.9642546103
WATER_OR_APPARATUS	B	B	f80	4	BEHAVIOR_SELF_NEIGHBOR_NOPOS	11.4573835269
WATER_OR_APPARATUS	B	B	f82	11	RAW_CHAR3	16.2787030015
WATER_OR_APPARATUS	B	B	f82	11	PAGE_HOST_CHAR3	14.5736920221
WATER_OR_APPARATUS	B	B	f82	11	BEHAVIOR_SELF_NEIGHBOR_NOPOS	19.0914406633
WATER_OR_APPARATUS	B	B	f83	2	RAW_CHAR3	-0.559099736061
WATER_OR_APPARATUS	B	B	f83	2	PAGE_HOST_CHAR3	-0.243318469322
WATER_OR_APPARATUS	B	B	f83	2	BEHAVIOR_SELF_NEIGHBOR_NOPOS	-0.0106330083737
REL_PROXIMITY	A	NONE	f67	24	RAW_CHAR3	0.295358924959
