site_id	corpus	book_or_ms	record_id	line_id	site_index_in_record	surface_span_bare	expanded_span	editorially_inserted
AS64552AAE8DB3A4	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0001	1	vn	vnd	d
AS8F05A3E04EF2AD	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0001	2	i	in	n
ASDF9B40EFEEB989	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0001	3	eine	einem	m
ASE201746292CB5D	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	4	valln	vallen	e
ASB2D3A0A746F6CF	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	5	vn	vnd	d
AS098AE0B0520782	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	6	i	in	n
AS39589AA45348B7	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	7	eine	einen	n
AS52691FADBD8243	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	8	dickn	dicken	e
AS5F7F3BCAE1BB3B	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0002	9	vn	vnd	d
AS20CBECB3F2B8CA	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0003	10	vn	vnd	d
AS4B179B3C6558D7	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0003	11	i	in	n
ASCEA9E82B806226	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0003	12	vn	vnd	d
AS220B8CF21F3FD1	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0003	13	gutn	guten	e
ASC8C893ABCB4A11	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0003	14	vn	vnd	d
AS5C38BB587DB423	STE1	Ste1	STE1_SEG01	STE1_SEG01_L0004	15	vn	vnd	d
ASB2721803F2F966	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0001	1	eine	einen	n
ASB56E6F9F0DE5DE	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0001	2	vn	vnd	d
ASE914A5DE0FBE25	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0001	3	wass	wasser	er
AS6C96523FBE4CC9	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0001	4	vn	vnd	d
AS464F86449B105F	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0001	5	siedn	sieden	e
AS690587EA465B37	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0002	6	vn	vnd	d
AS05DB27BB5C9852	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0002	7	hausz	herausz	er
AS51B7C62346B31A	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0002	8	vn	vnd	d
AS7D1019AC19BED9	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0002	9	vn	vnd	d
AS3B830DE062C6C5	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0003	10	kuttn	kutten	e
AS16E5F947E4E248	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0004	11	vn	vnd	d
ASE1ABA98719ED02	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0004	12	vn	vnd	d
ASF9C63CD6CBF8C4	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0004	13	siedn	sieden	e
AS247A54527E9FAB	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0005	14	lazzn	lazzen	e
AS0EED8F0430673B	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0005	15	zichn	zichen	e
AS09B9CB05835203	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0005	16	vn	vnd	d
ASA503570D58C95D	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0006	17	werdn	werden	e
AS8DA96BD525368E	STE1	Ste1	STE1_SEG02	STE1_SEG02_L0006	18	vn	vnd	d
ASA0D78BF67B797C	NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0001	1	po	primo	rim
ASD1BAAD71E629A2	NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0002	2	Regiſtr	Regiſtrum	um
AS384875A470E70A	NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0002	3	ıllı	ıllıus	us
AS21AEF01D71B831	NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0002	4	lıbr	lıbri	i
AS30C8316C51CC85	NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0003	5	Rotembg	Rotemburg	ur
AS33453C301DD98C	NUREMBERG	Band2	NB_B2_R000001	NB_B2_R000001_L0005	6	hn	hern	er
