rank_by_key_variant	assignment_id	is_true	mapping	score	standardized_score	descriptive_softmax_mass	correct_edges
1	A005	0	f17v->f96v|f44r->f1v|f6r->f3v|f19r->f2v|f90r1->f51r	0.816666666667	3.20409894588	0.106968829034	3
2	A000	1	f17v->f96v|f44r->f1v|f6r->f51r|f19r->f2v|f90r1->f3v	0.808333333333	3.1299299888	0.0993221410505	5
3	A011	0	f17v->f96v|f44r->f51r|f6r->f3v|f19r->f2v|f90r1->f1v	0.741666666667	2.53657833216	0.0548727495928	2
4	A021	0	f17v->f96v|f44r->f3v|f6r->f51r|f19r->f2v|f90r1->f1v	0.725	2.388240418	0.0473079778743	3
5	A004	0	f17v->f96v|f44r->f1v|f6r->f3v|f19r->f51r|f90r1->f2v	0.678333333333	1.97289425834	0.0312285514534	2
6	A006	0	f17v->f96v|f44r->f51r|f6r->f1v|f19r->f2v|f90r1->f3v	0.678333333333	1.97289425834	0.0312285514534	3
7	A019	0	f17v->f96v|f44r->f3v|f6r->f1v|f19r->f2v|f90r1->f51r	0.67	1.89872530126	0.0289961722519	2
8	A001	0	f17v->f96v|f44r->f1v|f6r->f51r|f19r->f3v|f90r1->f2v	0.666666666667	1.86905771843	0.0281485613619	3
9	A059	0	f17v->f51r|f44r->f1v|f6r->f3v|f19r->f2v|f90r1->f96v	0.653333333333	1.7503873871	0.0249987523044	2
10	A010	0	f17v->f96v|f44r->f51r|f6r->f3v|f19r->f1v|f90r1->f2v	0.625	1.49821293303	0.019426759314	1
11	A002	0	f17v->f96v|f44r->f1v|f6r->f2v|f19r->f51r|f90r1->f3v	0.62	1.45371155878	0.0185811957375	3
12	A003	0	f17v->f96v|f44r->f1v|f6r->f2v|f19r->f3v|f90r1->f51r	0.616666666667	1.42404397595	0.018038033567	2
