locus	next_locus	page	physical_folio	source_line_number	source_group_count	source_member_count	last_field_group_count	last_field_host_length	last_field_raw_length	target_first_field_group_count	target_architecture	selection
f75r.9	f75r.10	f75r	f75	9	9	40	1	2	3	9	W=d;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f75r.17	f75r.18	f75r	f75	17	9	38	1	3	5	2	W=s;F=O;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f75r.50	f75r.51	f75r	f75	50	1	4	1	5	5	1	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f75r.51	f75r.52	f75r	f75	51	1	4	1	4	5	1	W=s;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f75r.52	f75r.53	f75r	f75	52	1	5	1	2	5	1	W=d;F=NONE;R=0;D=0;DY=0;B3=0;END=OPEN	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f75v.45	f75v.46	f75v	f75	45	12	50	6	23	28	4	W=NONE;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f75v.69	f75v.70	f75v	f75	69	5	24	2	2	7	2	W=q;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f76v.13	f76v.14	f76v	f76	13	11	48	1	2	2	1	W=q;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f76v.14	f76v.15	f76v	f76	14	10	49	1	2	5	1	W=t;F=NONE;R=0;D=0;DY=1;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f76v.30	f76v.31	f76v	f76	30	11	41	1	4	4	8	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f76v.31	f76v.32	f76v	f76	31	10	40	2	3	10	8	W=t;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
f76v.32	f76v.33	f76v	f76	32	10	39	2	3	7	3	W=s;F=NONE;R=0;D=0;DY=0;B3=0;END=DY	FROZEN_GDT134_SECTION_B_PRIMARY_PAIR
