edition	metric	observed_best	null_mean	null_sd	local_p	z	best_reflected	best_rotation	matched_loci
ZL3b	CODE_ANY	7	7.199691772	0.464624321	0.971970032	-0.429791906	0	8	f67v1.15;f67v1.19;f67v1.22;f67v1.23;f67v1.24;f67v1.25;f67v1.28
ZL3b	CODE_FIRST	2	2.460510254	0.537557349	1.000000000	-0.856671859	0	1	f67v1.18;f67v1.29
ZL3b	CODE_LAST	2	2.000000000	0.000000000	1.000000000	0.000000000	1	0	f67v1.15;f67v1.28
ZL3b	FAMILY_ANY	10	10.380203247	0.537836520	0.992111326	-0.706912291	0	9	f67v1.14;f67v1.15;f67v1.18;f67v1.20;f67v1.21;f67v1.22;f67v1.23;f67v1.24;f67v1.27;f67v1.28
ZL3b	FAMILY_FIRST	4	3.881423950	0.509785014	0.803744450	0.232600109	1	2	f67v1.13;f67v1.19;f67v1.20;f67v1.27
ZL3b	FAMILY_LAST	4	4.289718628	0.574578868	0.962402917	-0.504227782	0	9	f67v1.18;f67v1.21;f67v1.24;f67v1.28
IT2a	CODE_ANY	9	9.000213623	0.625927010	0.811938294	-0.000341291	1	6	f67v1.13;f67v1.14;f67v1.17;f67v1.20;f67v1.21;f67v1.22;f67v1.23;f67v1.26;f67v1.29
IT2a	CODE_FIRST	2	2.666549683	0.538525976	1.000000000	-1.237729864	0	1	f67v1.18;f67v1.29
IT2a	CODE_LAST	2	2.620742798	0.526555578	1.000000000	-1.178874224	0	1	f67v1.23;f67v1.26
IT2a	FAMILY_ANY	12	11.326370239	0.481630756	0.332438165	1.398643573	1	16	f67v1.13;f67v1.14;f67v1.15;f67v1.16;f67v1.19;f67v1.20;f67v1.22;f67v1.23;f67v1.24;f67v1.27;f67v1.28;f67v1.29
IT2a	FAMILY_FIRST	4	3.721130371	0.536272482	0.677891878	0.520014802	0	2	f67v1.18;f67v1.19;f67v1.25;f67v1.28
IT2a	FAMILY_LAST	4	4.055206299	0.525245589	0.893953034	-0.105105688	0	4	f67v1.20;f67v1.26;f67v1.27;f67v1.28
RF1b	CODE_ANY	5	5.570281982	0.579394209	0.998809833	-0.984272837	0	4	f67v1.19;f67v1.23;f67v1.26;f67v1.27;f67v1.29
RF1b	CODE_FIRST	2	1.732421875	0.442696365	0.732425958	0.604428104	0	1	f67v1.18;f67v1.29
RF1b	CODE_LAST	1	1.000000000	0.000000000	1.000000000	0.000000000	0	3	f67v1.28
RF1b	FAMILY_ANY	10	10.303009033	0.528151098	0.980514824	-0.573716564	1	11	f67v1.15;f67v1.17;f67v1.18;f67v1.20;f67v1.21;f67v1.22;f67v1.24;f67v1.25;f67v1.28;f67v1.29
RF1b	FAMILY_FIRST	4	3.883560181	0.510964493	0.804461602	0.227882409	1	2	f67v1.13;f67v1.19;f67v1.20;f67v1.27
RF1b	FAMILY_LAST	4	4.285415649	0.573624537	0.961319560	-0.497565273	0	9	f67v1.18;f67v1.21;f67v1.24;f67v1.28
