branch	locus	page	physical_folio	group_index	target_token	target_family	target_state	target_prefix	previous_dy_token	previous_dy_family	claim_state
QJB	f103r.32	f103r	f103	3	qokedy	DAQJBA	DY_RESOLUTION	q	shedy	LJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f103r.4	f103r	f103	2	qokedy	DAQJBA	DY_RESOLUTION	q	ychedy	AKJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f103r.4	f103r	f103	3	okedy	AQJBA	DY_RESOLUTION	NONE	qokedy	DAQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f103v.17	f103v	f103	5	lkedy	BQJBA	DY_RESOLUTION	NONE	oteedy	AQKBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f103v.30	f103v	f103	6	otedy	AQJBA	DY_RESOLUTION	NONE	fchedy	PKJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f104v.10	f104v	f104	7	qotedor	DAQJBAC	ED_MEDIUM	q	oteedy	AQKBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f104v.25	f104v	f104	4	qokedaiin	DAQJBAG	ED_MEDIUM	q	lchedy	BKJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f104v.8	f104v	f104	7	chotedy	KAQJBA	DY_RESOLUTION	ch	ykeedy	AQKBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f105r.21	f105r	f105	5	qokedal	DAQJBAB	AL_STATE	q	qokedy	DAQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f105r.25	f105r	f105	2	cheodkedy	KJABQJBA	DY_RESOLUTION	che	deeedy	BMBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f105r.8	f105r	f105	8	qokedy	DAQJBA	DY_RESOLUTION	q	qokeedy	DAQKBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f105v.3	f105v	f105	8	qokedy	DAQJBA	DY_RESOLUTION	q	okoldy	AQABBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f106r.10	f106r	f106	7	qokedy	DAQJBA	DY_RESOLUTION	q	lchedy	BKJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f106r.10	f106r	f106	8	otedy	AQJBA	DY_RESOLUTION	NONE	qokedy	DAQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f107r.5	f107r	f107	2	tedy	QJBA	DY_RESOLUTION	t	olkchedy	ABQKJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f107v.8	f107v	f107	8	ltedy	BQJBA	DY_RESOLUTION	NONE	qotedy	DAQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f107v.8	f107v	f107	9	otedam	AQJBAB	ED_MEDIUM	NONE	ltedy	BQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.26	f108r	f108	8	qokedy	DAQJBA	DY_RESOLUTION	q	qokedy	DAQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.29	f108r	f108	2	okedy	AQJBA	DY_RESOLUTION	NONE	polchedy	PABKJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.29	f108r	f108	9	otedam	AQJBAB	ED_MEDIUM	NONE	okeedy	AQKBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.33	f108r	f108	4	okedy	AQJBA	DY_RESOLUTION	NONE	qokedy	DAQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.33	f108r	f108	9	okedy	AQJBA	DY_RESOLUTION	NONE	okedy	AQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.38	f108r	f108	4	otedy	AQJBA	DY_RESOLUTION	NONE	qokeedy	DAQKBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.45	f108r	f108	10	qokedy	DAQJBA	DY_RESOLUTION	q	dalkedy	BABQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.49	f108r	f108	10	lkedy	BQJBA	DY_RESOLUTION	NONE	lkedy	BQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108r.9	f108r	f108	5	lkedy	BQJBA	DY_RESOLUTION	NONE	okedy	AQJBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108v.12	f108v	f108	6	qokedy	DAQJBA	DY_RESOLUTION	q	teeody	QKABA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
QJB	f108v.17	f108v	f108	9	kedar	QJBAC	AR_REFERENCE	NONE	qokeshdy	DAQJLBA	CONCRETE_POST_DY_FORMAL_SEQUENCE_NOT_MEANING
