page	physical_folio	fields	multiple_bounded_regions	explicit_linear_path	instruction_clause_like_fraction	short_argument_like_fraction	record_closer_like_fraction
f75r	f75	46	1	0	0.217391304348	0.739130434783	0.0217391304348
f75v	f75	24	1	1	0.333333333333	0.541666666667	0.0833333333333
f76r	f76	21	0	0	0.47619047619	0.47619047619	0.047619047619
f76v	f76	57	0	0	0.333333333333	0.666666666667	0
f77r	f77	62	0	0	0.306451612903	0.661290322581	0.0161290322581
f77v	f77	43	0	0	0.372093023256	0.604651162791	0.0232558139535
f78r	f78	42	1	1	0.0714285714286	0.928571428571	0
f78v	f78	47	0	1	0.36170212766	0.63829787234	0
f79r	f79	33	0	1	0.484848484848	0.424242424242	0.0606060606061
f79v	f79	48	0	1	0.395833333333	0.5625	0.0416666666667
f80r	f80	28	0	1	0.607142857143	0.392857142857	0
f80v	f80	33	1	1	0.515151515152	0.454545454545	0.030303030303
f81r	f81	30	1	1	0.333333333333	0.633333333333	0.0333333333333
f81v	f81	24	0	1	0.416666666667	0.583333333333	0
f82r	f82	26	1	1	0.384615384615	0.615384615385	0
f82v	f82	34	1	0	0.382352941176	0.558823529412	0.0588235294118
f83r	f83	65	0	1	0.323076923077	0.630769230769	0.0461538461538
f83v	f83	38	0	0	0.473684210526	0.526315789474	0
