component	layer	status	formal_role	evidence	counterevidence
PHYSICAL_LINE_RESET	RECORD	SUPPORTED	record serialization resets at each physical line	GDT016/GDT020 transferable line and phase structure	not every line has a unique opener or closer
DY	FIELD_BOUNDARY	SUPPORTED_FORM_PROVISIONAL_FUNCTION	internal checkpoint/field-transition realization	right-edge concentration and transferable within-line phase	not a local reset; next payload is decoupled; not a confirmed morpheme
B3	RECORD_CLOSE	STRONG_SUPPORTED	probabilistic physical-record closing marker class	148/213 final; positive in every register and held non-HB/S	endpoint recall only 0.124; not mandatory punctuation
Q2	RECORD_OPEN	WEAK_PROVISIONAL	opener class preferentially paired with B3	31 pairs versus 23.933 expected, local p .0071	max-search p .071 and held non-HB/S p .116
QJB_QKB_VS_LJB_LKB	CLOSURE_RENDERER	HOST_LICENSED_REGISTER_RULE	Currier-B checkpoint-branch realization licensed mainly by host spelling	host ngrams predict held folios and unseen hosts	previous-DY gain beyond host is small and unstable
CH_CHE_SH	LEFT_RENDERER	HOST_LICENSED_WEAK_POSITIONAL	host/register-conditioned carrier renderers with weak shared placement	held-folio and held-host position/context gains	register dominates; no universal wrapper function
CARRIER_PLUS_D	NESTED_LEFT_STACK	COMBINATORIAL_SUPPORTED_FUNCTION_UNKNOWN	ordered carrier+D+host stack shared by HB/S	101 B/S double stacks with host/folio-controlled excess	no tested stable coarse local-context function
O_OT_AR_AL	LOCAL_FRAME	PROVISIONAL	O/OT-framed AR/AL fields tend later than bare forms	OTAR and OTAL positional ladders	semantic reference gloss is postselected and visually confounded
AIR	RIGHT_FAMILY	REGISTER_SELECTION_SUPPORTED_FUNCTION_UNKNOWN	HB/S-enriched member of AIIN/AIR/AIN/AR/AL family	54/1201 target versus 19/1034 controls; survives every target-folio deletion	no stable local role and no OKAIR human-label grounding
KAIIN	HOST	FAILED_AS_PRIVILEGED_CORE	ordinary K+AIIN construction cell	K and AIIN both independently reusable	all matched family tests p >= .297
CKHY_GLOSS	CONTENT	FAILED_SEMANTIC_GLOSS	none assigned	formal core remains recurrent	second prospective parallel/fused leaf-or-stalk transfer failed
PAGE_LOCAL_HOSTS	CONTENT	REQUIRED_BUT_UNGROUNDED	page-selected technical content inventory	page-conditioned root inventory and residual host reuse	no stable concrete referent survives transfer
PHYSICAL_JOIN_SPLIT	BOUNDARY_RENDERER	UNCONFIRMED	possible optional contraction/expansion	source split/join near-misses and label density	GDT004-GDT007 found no confirmed physical module boundary
NATURAL_LANGUAGE_STEM_LAYER	CONTENT	ABDUCTIVE_ONLY	possible abbreviated lexical/mnemonic residue	free/bound reuse and page-local inventories	complete language/cipher models and phonological routes fail; GDT003 equals string statistics
