page_host	event_count	physical_folio_count	opener_like_count	operation_like_count	ingredient_like_count	tool_like_count	closer_like_count	dominant_role_like	dominant_purity	role_entropy_bits	instruction_clause_like_count	short_argument_like_count	record_closer_like_count	unresolved_edge_class_count	dominant_abstract_role_like	dominant_abstract_purity	atlas_state
?	3	3	0	1	1	0	1	INGREDIENT	0.333333333	1.584962501	1	1	1	0	SHORT_ARGUMENT_LIKE	0.333333333	DESCRIPTIVE_LOW_CAPACITY
?ta	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
a	9	5	0	2	7	0	0	INGREDIENT	0.777777778	0.764204507	2	7	0	0	SHORT_ARGUMENT_LIKE	0.777777778	CROSS_FOLIO_REPEATED
ackhy	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
aii	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
aiiils	1	1	0	0	0	0	1	CLOSER	1.000000000	-0.000000000	0	0	1	0	RECORD_CLOSER_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
aiiin	2	2	0	2	0	0	0	OPERATION	1.000000000	-0.000000000	2	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
aiin	54	8	0	41	9	0	4	OPERATION	0.759259259	1.010647554	41	9	4	0	INSTRUCTION_CLAUSE_LIKE	0.759259259	CROSS_FOLIO_REPEATED
aiir	4	3	0	2	1	0	1	OPERATION	0.500000000	1.500000000	2	1	1	0	INSTRUCTION_CLAUSE_LIKE	0.500000000	DESCRIPTIVE_LOW_CAPACITY
ail	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
ain	13	6	0	7	2	0	4	OPERATION	0.538461538	1.419556299	7	2	4	0	INSTRUCTION_CLAUSE_LIKE	0.538461538	CROSS_FOLIO_REPEATED
air	16	6	0	11	1	0	4	OPERATION	0.687500000	1.121640762	11	1	4	0	INSTRUCTION_CLAUSE_LIKE	0.687500000	CROSS_FOLIO_REPEATED
airo	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
airod	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
airoy	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
airy	2	1	0	1	1	0	0	OPERATION	0.500000000	1.000000000	1	1	0	0	INSTRUCTION_CLAUSE_LIKE	0.500000000	DESCRIPTIVE_LOW_CAPACITY
ais	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
aky	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
al	5	4	0	4	1	0	0	OPERATION	0.800000000	0.721928095	4	1	0	0	INSTRUCTION_CLAUSE_LIKE	0.800000000	CROSS_FOLIO_REPEATED
alcheey	1	1	0	0	0	0	1	CLOSER	1.000000000	-0.000000000	0	0	1	0	RECORD_CLOSER_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
alchy	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
alfo	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
alke	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
alky	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
alol	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
alpch	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
ar	24	7	0	12	6	0	6	OPERATION	0.500000000	1.500000000	12	6	6	0	INSTRUCTION_CLAUSE_LIKE	0.500000000	CROSS_FOLIO_REPEATED
arailche	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
ardyr	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
arl	1	1	0	0	0	0	1	CLOSER	1.000000000	-0.000000000	0	0	1	0	RECORD_CLOSER_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
aro	1	1	0	0	1	0	0	INGREDIENT	1.000000000	-0.000000000	0	1	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
ay	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
cfhor	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
cfhy	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
ch	8	6	0	1	6	0	1	INGREDIENT	0.750000000	1.061278124	1	6	1	0	SHORT_ARGUMENT_LIKE	0.750000000	CROSS_FOLIO_REPEATED
chdor	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
che	16	6	0	0	16	0	0	INGREDIENT	1.000000000	-0.000000000	0	16	0	0	SHORT_ARGUMENT_LIKE	1.000000000	CROSS_FOLIO_REPEATED
ched	8	3	1	3	4	0	0	INGREDIENT	0.500000000	1.405639062	3	4	0	1	SHORT_ARGUMENT_LIKE	0.500000000	CROSS_FOLIO_REPEATED
chede	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
chedol	1	1	0	1	0	0	0	OPERATION	1.000000000	-0.000000000	1	0	0	0	INSTRUCTION_CLAUSE_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
chedor	2	2	2	0	0	0	0	OPENER	1.000000000	-0.000000000	0	0	0	2	UNRESOLVED_EDGE_CLASS	1.000000000	DESCRIPTIVE_LOW_CAPACITY
chee	3	2	0	0	3	0	0	INGREDIENT	1.000000000	-0.000000000	0	3	0	0	SHORT_ARGUMENT_LIKE	1.000000000	DESCRIPTIVE_LOW_CAPACITY
