group_id	locus	page	physical_folio	group_index	group_count	token	stripped_prefix	residual_host	dy_closure	family_surface	family_length	host_length	section	currier	hand	kind	grammar_scope	annotation_certainty	object_tags	relation_tags	unit	annotation_source	raw_source_description
f100r.1|G001	f100r.1	f100r	f100	1	1	chosaroshol	ch	osaroshol	0	KACACALAB	9	9	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	C1	transcription/sources/Stolfi_text25e1-52.evt	Labels associated with container 1 (top). || This label is actually above plant <f100r>[1,1], but since there are 6 labels on that row, we assume that the first one belongs to the container. Kluge's 15A in <f100r>.
f100r.10|G001	f100r.10	f100r	f100	1	1	dakocth	d	akocth	0	BAQAU	5	6	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	L2	transcription/sources/Stolfi_text25e1-52.evt	Page 100r, second row of plants and labels. || plant <f100r>[2,5] - leaves. East of plant <f100r>[2,5]. Kluge's 24A. &K; = ??? (used by T. Takahashi) &CK; = @C ligd to platf gallows @K not ligd to next glyph. &CT; = @C ligd to platf gallows @T not ligd to next glyph. Last word actually touches outline of plant <f100r>[2,6].
f100r.16|G001	f100r.16	f100r	f100	1	1	okeeos	NONE	okeeos	0	AQKAC	5	6	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_PROXIMITY	L3	transcription/sources/Stolfi_text25e1-52.evt	panel 100r, third row of plants and labels || There are 6 labels and 5 plants; it is not clear how they are to be paired. Two of the labels are high above the plants, the rest are about mid-height. Since plants <f100r>[3,1] and <f100r>[3,2] have labels besides them, we assumed that the top label between them <f100r.C2.1> refers to the container. plant <f100r>[3,1] - leaves East of plant <f100r>[3,1], below leaves. Kluge's 26Aa. Petersen's 126, word 1.
f100r.17|G001	f100r.17	f100r	f100	1	1	shockhey	sh	ockhey	0	LAUJA	5	6	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_ARRAY_OR_GROUP;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	C2	transcription/sources/Stolfi_text25e1-52.evt	Labels associated with container 2 (bottom). || There is no trace of label on the container itself. Since the two plants <f100r>[3,1] and <f100r>[3,2] seem to have their own labels, <f100r.L3.1> and <f100r.L3.2b>, we have assumed that the word above and between them is associated with the container. Between plants <f100r>[3,1] and <f100r>[3,2], at top. Kluge's 27A.
f100r.18|G001	f100r.18	f100r	f100	1	1	orol	NONE	orol	0	ACAB	4	4	P	A	1	L	DIAGNOSTIC_NONPROSE	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	L3	transcription/sources/Stolfi_text25e1-52.evt	panel 100r, third row of plants and labels || West of plant <f100r>[3,2], neat top of root. Kluge's 26Ab. Petersen's 126, word 2.
f100r.19|G001	f100r.19	f100r	f100	1	1	olcheom	NONE	olcheom	0	ABKJAB	6	7	P	A	1	L	DIAGNOSTIC_NONPROSE	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	L3	transcription/sources/Stolfi_text25e1-52.evt	panel 100r, third row of plants and labels || plant <f100r>[3,2] - crumpled root, bushy round serrated leaves plant <f100r>[3,3] - light roots, stem and single oval leaf with midline bumps. East of plant <f100r>[3,3], near base of stem. Kluge's 28A.
f100r.2|G001	f100r.2	f100r	f100	1	1	sochorcfhy	s	ochorcfhy	0	CAKACTA	7	9	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	L1	transcription/sources/Stolfi_text25e1-52.evt	Lanels in row of plants 1 (top). || There is no label on the container. There are 5 plants and 6 label words near them. Although the first 4 labels are directly above the first 4 plants, it seems likely that the first label is associated with the container at left, and the next three labels are displaced by 1 plant. plant <f100r>[1,1] - bulb-like leaves? Label above plant <f100r>[1,2]. Kluge's 16A. Perhaps associated with plant <f100r>[1,1].
f100r.20|G001	f100r.20	f100r	f100	1	1	oteol	NONE	oteol	0	AQJAB	5	5	P	A	1	L	DIAGNOSTIC_NONPROSE	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	L3	transcription/sources/Stolfi_text25e1-52.evt	panel 100r, third row of plants and labels || West of <f100r>[3,5], above leaves of <f100r>[3,4]. Kluge's 30A.
f100r.3|G001	f100r.3	f100r	f100	1	1	otear	NONE	otear	0	AQJAC	5	5	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_PROXIMITY	L1	transcription/sources/Stolfi_text25e1-52.evt	Lanels in row of plants 1 (top). || plant <f100r>[1,2] - arrow shaped leaves, on left side of stem only Label above plant <f100r>[1,3]. Kluge's 17A. Perhaps associated with plant <f100r>[1,2].
f100r.8|G001	f100r.8	f100r	f100	1	1	soity	s	oity	0	CAEQA	5	4	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_PROXIMITY	L2	transcription/sources/Stolfi_text25e1-52.evt	Page 100r, second row of plants and labels. || plant <f100r>[2,3] - leaf(?) with white teeth East of plant <f100r>[2,3], near root tip. Kluge's 22A in <f100r>.
f100r.9|G001	f100r.9	f100r	f100	1	1	sosam	s	osam	0	CACAB	5	4	P	A	1	L	DIAGNOSTIC_NONPROSE	HEDGED	LABEL;PLANT	REL_PROXIMITY	L2	transcription/sources/Stolfi_text25e1-52.evt	"Page 100r, second row of plants and labels. || plant <f100r>[2,4] - ""closed umbrella"" leaf? East of plant <f100r>[2,4], at ground level. Kluge's 23A. <f100r.L2.4;K> from photo in Brumbaugh. <f100r.L2.4;P> from Petersen, reported by K. Kluge"
f100v.1|G001	f100v.1	f100v	f100	1	1	tolchd	t	olchd	0	QABKB	5	5	P	A	1	L	DIAGNOSTIC_NONPROSE	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	L1	transcription/sources/Stolfi_text25e1-52.evt	Labels in row of plants 1 (top). || On this row, there are 4 plants and 4 labels. Pairing is clear: each plant is labeled on the right side, next to the trunk-root join. plant <f100v>[1,1] - dark leaves with white teeth, dark root East of plant <f100v>[1,1], gound level. Kluge's 31A. Grove's L3.1.
f100v.10|G001	f100v.10	f100v	f100	1	1	okcheor	NONE	okcheor	0	AQKJAC	6	7	P	A	1	L	DIAGNOSTIC_NONPROSE	UNHEDGED	LABEL;PLANT	REL_PROXIMITY	L3	transcription/sources/Stolfi_text25e1-52.evt	Labels in plant row 3. || plant <f100v>[3,1] - dark leaves, light stem, dark base, light roots East of plant <f100v>[3,1], near base of stem. Kluge's 40A. Grove's L3.10.
