component	model_layer	status	provisional_function	evidence	counterevidence
PHYSICAL_LINE	RECORD_SERIALIZATION	STRONG_FORMAL	record/utterance-like unit with internal coordinate reset	confirmed line reset and record architecture	not a decoded sentence
SOURCE_SEPARATOR	SERIALIZATION	STRONG_FORMAL	hierarchical physical grouping	source-native separator information	not established linguistic word space
PAGE_HOST_OR_SUBHOST	CONTENT_ADDRESS	PROVISIONAL	page-conditioned technical content address, identity or reusable submotif	page-local inventory and weak external PAGE_HOST leads	GDT095 no selector-paid exhaustive channel; GDT099 no global survivor
O_Y_BASE	HOST_BRANCH	STRONG_FORMAL	binary construction branch licensing outer wrapper	q->O and d->Y across tails/registers/held folios	identical to first-character string baseline
Q_WRAPPER	OUTER_COMPILER	STRONG_FORMAL	early O-branch wrapper	GDT086/GDT087/GDT091/GDT094	no sound, meaning, or string-baseline advantage
D_WRAPPER	OUTER_COMPILER	STRONG_FORMAL	late Y-branch wrapper	GDT087/GDT091/GDT094	archived global entry gloss is false
CH_CHE_SH_S_WRAPPERS	OUTER_OR_LOCAL_COMPILER	CONDITIONAL	host/register-conditioned construction wrappers	wrapper compatibility and register effects	directions reverse in at least one register
RIGHT_FAMILY	REGISTER_RENDERER	STRONG_FORMAL	host-conditional register rendering in AIIN/AIR/AIN/AR/AL families	GDT062 whole-folio-held transfer	content neutrality not independently proved
DY	INTERNAL_CHECKPOINT	PROVISIONAL	frequent internal record-phase boundary/renderer	record segmentation and PCH cross-register enrichment	GDT060 external post-boundary host transfer negative; GDT003 string baseline
B3	RECORD_CLOSE	PROVISIONAL_FORMAL	source-native line/field close coordinate	final-position architecture	external content-neutrality not separately confirmed
PCH_SUBMOTIF	DOMAIN_HOST_FAMILY	WEAK_POSTSELECTED	recurrent pharma/recipe record-phase host family	331 groups; HB/S context cosine .732; six pharma spatial-context cases	maxT .147; five non-pharma annotated negatives; rank 60/84 context motifs
EXACT_HOST_VISUAL_BUNDLE	SEMANTIC_GROUNDING	NOT_SUPPORTED	NONE	narrow os/DARK_LEAF seed only	GDT090 broad bundle stability p=.9713
