lexical_id	source_form	source_frequency	family_id	family_ordinal	variant_code	b2_host	b2_left	b2_right	b2_field	b2_lexical_closure	s2_host	derivation_class	exception_note
LEX000	in	146	F01	1	0	ab	NONE	NONE	NONE	NONE	ab	FAMILY_BASE	NONE
LEX001	q̃	145	F01	2	1	ab	q	NONE	NONE	NONE	ab	LEFT_EXTENSION	NONE
LEX002	ad	126	F01	3	2	ab	o	NONE	NONE	NONE	ab	LEFT_EXTENSION	NONE
LEX003	si	125	F01	4	5	ab	NONE	r	NONE	NONE	ab	RIGHT_EXTENSION	NONE
LEX004	cũ	117	F01	5	6	ab	NONE	y	NONE	NONE	ab	RIGHT_EXTENSION	NONE
LEX005	ut	95	F01	6	8	ab	NONE	NONE	t	NONE	ab	OPTIONAL_FIELD	NONE
LEX006	ex	94	F01	7	B	ab	NONE	NONE	NONE	m	ab	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX007	de	94	F01	8	D	ab	q	r	NONE	NONE	ab	ANALOGICAL_LEFT_RIGHT	NONE
LEX008	sem̃	85	F01	9	E	ab	o	y	NONE	NONE	ab	ANALOGICAL_LEFT_RIGHT	NONE
LEX009	qr	81	F02	1	0	ac	NONE	NONE	NONE	NONE	ac	FAMILY_BASE	NONE
LEX010	uͦ	71	F02	2	1	ac	q	NONE	NONE	NONE	ac	LEFT_EXTENSION	NONE
LEX011	nõ	63	F02	3	3	ac	d	NONE	NONE	NONE	ac	LEFT_EXTENSION	NONE
LEX012	et	63	F02	4	4	ac	s	NONE	NONE	NONE	ac	LEFT_EXTENSION	NONE
LEX013	est	56	F02	5	5	ac	NONE	r	NONE	NONE	ac	RIGHT_EXTENSION	NONE
LEX014	aut	52	F02	6	7	ac	NONE	k	NONE	NONE	ac	RIGHT_EXTENSION	NONE
LEX015	s̃	50	F02	7	8	ac	NONE	NONE	t	NONE	ac	OPTIONAL_FIELD	NONE
LEX016	sũt	50	F02	8	9	ac	NONE	NONE	s	NONE	ac	OPTIONAL_FIELD	NONE
LEX017	sit	41	F02	9	A	ac	NONE	NONE	x	NONE	ac	OPTIONAL_FIELD	LEXICALIZED_FIELD_EXCEPTION
LEX018	uł	40	F02	10	C	ac	NONE	NONE	NONE	n	ac	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX019	qd	36	F02	11	F	ac	d	NONE	t	NONE	ac	ANALOGICAL_LEFT_FIELD	NONE
LEX020	fit	35	F02	12	I	ac	o	r	NONE	m	ac	LOCAL_COMPLEX_EXTENSION	NONE
LEX021	aũt	33	F03	1	0	ae	NONE	NONE	NONE	NONE	ah	FAMILY_BASE	NONE
LEX022	ii	30	F03	2	1	ae	q	NONE	NONE	NONE	ah	LEFT_EXTENSION	NONE
LEX023	se	30	F03	3	2	ae	o	NONE	NONE	NONE	ah	LEFT_EXTENSION	NONE
LEX024	fu̾it	30	F03	4	3	ae	d	NONE	NONE	NONE	ah	LEFT_EXTENSION	NONE
LEX025	sic	29	F03	5	4	ae	s	NONE	NONE	NONE	ah	LEFT_EXTENSION	NONE
LEX026	qui	27	F03	6	5	ae	NONE	r	NONE	NONE	ah	RIGHT_EXTENSION	NONE
LEX027	egͥ	27	F03	7	6	ae	NONE	y	NONE	NONE	ah	RIGHT_EXTENSION	NONE
LEX028	aũ	27	F03	8	7	ae	NONE	k	NONE	NONE	ah	RIGHT_EXTENSION	NONE
LEX029	tͥ	25	F03	9	8	ae	NONE	NONE	t	NONE	ah	OPTIONAL_FIELD	NONE
LEX030	d̾	24	F03	10	9	ae	NONE	NONE	s	NONE	ah	OPTIONAL_FIELD	NONE
LEX031	erit	23	F03	11	A	ae	NONE	NONE	u	NONE	ah	OPTIONAL_FIELD	NONE
LEX032	anͣ	23	F03	12	B	ae	NONE	NONE	NONE	m	ah	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX033	sic̃	23	F03	13	C	ae	NONE	NONE	NONE	n	ah	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX034	qͦ	23	F03	14	D	ae	q	r	NONE	NONE	ah	ANALOGICAL_LEFT_RIGHT	NONE
LEX035	iii	23	F03	15	E	ae	o	y	NONE	NONE	ah	ANALOGICAL_LEFT_RIGHT	NONE
LEX036	coitu	22	F04	1	0	af	NONE	NONE	NONE	NONE	af	FAMILY_BASE	NONE
LEX037	illud	21	F04	2	2	af	o	NONE	NONE	NONE	af	LEFT_EXTENSION	NONE
LEX038	ab	21	F04	3	4	af	s	NONE	NONE	NONE	af	LEFT_EXTENSION	NONE
LEX039	gͦ	20	F04	4	6	af	NONE	y	NONE	NONE	af	RIGHT_EXTENSION	NONE
LEX040	ẽẽ	20	F04	5	8	af	NONE	NONE	t	NONE	af	OPTIONAL_FIELD	NONE
LEX041	qm̃	19	F04	6	A	af	NONE	NONE	u	NONE	af	OPTIONAL_FIELD	NONE
LEX042	iiii	19	F04	7	C	af	NONE	NONE	NONE	n	af	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX043	res	19	F04	8	E	af	o	y	NONE	NONE	af	ANALOGICAL_LEFT_RIGHT	NONE
LEX044	cui	19	F05	1	0	ag	NONE	NONE	NONE	NONE	ag	FAMILY_BASE	NONE
LEX045	qd̾	19	F05	2	1	ag	q	NONE	NONE	NONE	ag	LEFT_EXTENSION	NONE
LEX046	qͥ	19	F05	3	3	ag	d	v	NONE	NONE	ag	LEFT_EXTENSION	LEXICALIZED_RIGHT_EXCEPTION
LEX047	aqͣ	19	F05	4	4	ag	s	NONE	NONE	NONE	ag	LEFT_EXTENSION	NONE
LEX048	sicut	18	F05	5	5	ag	NONE	r	NONE	NONE	ag	RIGHT_EXTENSION	NONE
LEX049	qmͣ	18	F05	6	6	ag	NONE	y	NONE	NONE	ag	RIGHT_EXTENSION	NONE
LEX050	coitũ	18	F05	7	7	ag	NONE	k	NONE	NONE	ag	RIGHT_EXTENSION	NONE
LEX051	dic̃	17	F05	8	8	ag	NONE	NONE	t	NONE	ag	OPTIONAL_FIELD	NONE
LEX052	c̾	17	F05	9	9	ag	NONE	NONE	s	NONE	ag	OPTIONAL_FIELD	NONE
LEX053	mag̃	17	F05	10	B	ag	NONE	NONE	NONE	m	ag	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX054	nͥ	17	F05	11	D	ag	q	r	NONE	NONE	ag	ANALOGICAL_LEFT_RIGHT	NONE
LEX055	iõ	17	F05	12	F	ag	d	NONE	t	NONE	ag	ANALOGICAL_LEFT_FIELD	NONE
LEX056	egͥtudĩs	16	F05	13	H	ag	q	y	t	NONE	ag	LOCAL_COMPLEX_EXTENSION	NONE
LEX057	ea	16	F05	14	J	ag	d	k	s	NONE	ag	LOCAL_COMPLEX_EXTENSION	NONE
LEX058	ip̃a	16	F06	1	0	ai	NONE	NONE	NONE	NONE	ai	FAMILY_BASE	NONE
LEX059	fiat	16	F06	2	2	ai	o	NONE	NONE	NONE	ai	LEFT_EXTENSION	NONE
LEX060	eoꝵ	16	F06	3	5	ai	NONE	r	NONE	NONE	ai	RIGHT_EXTENSION	NONE
LEX061	eis	16	F06	4	6	ai	NONE	y	NONE	NONE	ai	RIGHT_EXTENSION	NONE
LEX062	ꝑꝑ	15	F06	5	7	ai	NONE	k	NONE	NONE	ai	RIGHT_EXTENSION	NONE
LEX063	tm̃	14	F06	6	8	ai	NONE	NONE	t	NONE	ai	OPTIONAL_FIELD	NONE
LEX064	te	14	F06	7	9	ai	NONE	NONE	s	NONE	ai	OPTIONAL_FIELD	NONE
LEX065	plus	14	F06	8	A	ai	NONE	NONE	u	NONE	ai	OPTIONAL_FIELD	NONE
LEX066	neq	14	F06	9	B	ai	NONE	NONE	NONE	m	ai	OPTIONAL_LEXICAL_CLOSURE	NONE
LEX067	multũ	14	F06	10	M	aie	NONE	y	NONE	NONE	aie	ANALOGICAL_HOST_EXTENSION	NONE
LEX068	ita	13	F06	11	N	aii	o	NONE	NONE	n	aii	ANALOGICAL_HOST_EXTENSION	NONE
LEX069	ꝗͣ	13	F07	1	0	aj	NONE	NONE	NONE	NONE	aj	FAMILY_BASE	NONE
