candidate	external_axis	page_host	candidate_loci	candidate_positive_loci	candidate_negative_loci	physical_folios	leave_host_out_effect	included_in_repeat_host_robustness
RATE:DY=0>=0.75	REL_ENCLOSURE	ar	18	3	15	9	0.0734086629002	1
RATE:DY=0>=0.75	REL_ENCLOSURE	ok	17	2	15	10	0.0716101694915	1
RATE:DY=0>=0.75	REL_ENCLOSURE	d	12	6	6	7	0.0778388278388	1
RATE:DY=0>=0.75	REL_ENCLOSURE	y	12	2	10	8	0.0817412435059	1
RATE:DY=0>=0.75	REL_ENCLOSURE	l	11	3	8	7	0.0699664292148	1
RATE:DY=0>=0.75	REL_ENCLOSURE	al	10	1	9	6	0.0719489981785	1
RATE:DY=0>=0.75	REL_ENCLOSURE	ot	10	1	9	9	0.0722572509458	1
RATE:DY=0>=0.75	REL_ENCLOSURE	ary	8	2	6	7	0.0703656998739	1
RATE:DY=0>=0.75	REL_ENCLOSURE	oky	8	0	8	5	0.0706093189964	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okol	6	0	6	5	0.0731329690346	1
RATE:DY=0>=0.75	REL_ENCLOSURE	or	6	0	6	5	0.0760357815443	1
RATE:DY=0>=0.75	REL_ENCLOSURE	s	6	0	6	4	0.0706093189964	1
RATE:DY=0>=0.75	REL_ENCLOSURE	aiin	5	0	5	3	0.0828402366864	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okeey	5	2	3	3	0.0703656998739	1
RATE:DY=0>=0.75	REL_ENCLOSURE	otaly	5	1	4	5	0.0686142636962	1
RATE:DY=0>=0.75	REL_ENCLOSURE	arol	4	0	4	4	0.0706093189964	1
RATE:DY=0>=0.75	REL_ENCLOSURE	eey	4	1	3	4	0.0706093189964	1
RATE:DY=0>=0.75	REL_ENCLOSURE	eol	4	0	4	4	0.0749194339358	1
RATE:DY=0>=0.75	REL_ENCLOSURE	o	4	0	4	4	0.0706093189964	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okal	4	1	3	2	0.0703656998739	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okaly	4	2	2	2	0.0716101694915	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okeod	4	0	4	2	0.0706093189964	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okeoly	4	0	4	4	0.0766666666667	1
RATE:DY=0>=0.75	REL_ENCLOSURE	ol	4	0	4	4	0.0731329690346	1
RATE:DY=0>=0.75	REL_ENCLOSURE	a	3	0	3	3	0.0719489981785	1
RATE:DY=0>=0.75	REL_ENCLOSURE	okeos	3	1	2	2	0.072962962963	1
RATE:DY=0>=0.75	REL_ENCLOSURE	olol	3	0	3	3	0.0719489981785	1
