target_section	page_host	outside_section_occurrences	outside_section_folios	rate_R_aiin	rate_F_O
A	a	100	44	0	0.01
A	ai	4	4	0	0
A	aii	6	5	0	0
A	aiiin	31	20	0	0
A	aiil	3	3	0	0
A	aiin	747	90	0	0
A	aiiny	2	2	0	0
A	aiir	11	8	0	0.181818181818
A	ail	5	3	0	0
A	ain	185	60	0	0
A	air	81	40	0	0
A	airo	3	3	0	0
A	airol	3	3	0	0
A	airy	5	4	0	0
A	ak	3	3	0.333333333333	0
A	aky	2	2	0	0
A	al	295	65	0.00677966101695	0
A	ala	5	4	0	0
A	alch	6	6	0	0
A	alche	6	4	0	0
A	alchy	2	2	0	0
A	ald	9	7	0.444444444444	0
A	alg	2	2	0	0
A	alk	16	9	0.25	0
A	alkee	2	2	0	0
A	alky	2	2	0	0
A	alo	5	5	0	0
A	alol	12	10	0	0
A	alor	5	5	0	0
A	als	3	3	0	0
A	alsh	4	3	0	0
A	alt	2	2	0	0
A	aly	23	16	0	0
A	an	25	17	0	0
A	ar	354	70	0.0141242937853	0
A	ara	8	8	0	0
A	arl	2	2	0	0
A	aro	6	6	0	0
A	arol	4	4	0	0
A	aror	7	5	0	0
A	ary	26	20	0	0
A	cfhey	2	2	0	0
A	cfhhy	2	2	0	0
A	cfhol	4	4	0	0
A	cfhy	6	6	0	0
A	ch	68	44	0.132352941176	0.0441176470588
A	chckhy	3	3	0	0
A	chd	3	3	0.333333333333	0
A	che	85	34	0.0352941176471	0.0588235294118
A	ched	14	6	0.0714285714286	0.142857142857
A	chee	8	6	0.125	0.125
A	cheey	14	12	0	0.142857142857
A	cheo	11	8	0	0.0909090909091
A	cheod	7	5	0.571428571429	0.142857142857
A	cheol	11	9	0	0
A	cheor	8	8	0	0.25
A	chey	60	35	0	0.133333333333
A	cho	31	22	0.0322580645161	0.129032258065
A	chod	13	11	0.230769230769	0.0769230769231
A	chokchy	2	2	0	0
A	choky	2	2	0	0
A	chol	54	37	0	0.0555555555556
A	chor	59	34	0.0169491525424	0.101694915254
A	chos	4	2	0	0
A	chy	100	46	0	0.04
A	ckh	21	17	0.238095238095	0
A	ckha	3	3	0	0
A	ckhd	2	2	0	0
A	ckhe	19	12	0	0
A	ckheey	6	6	0	0
A	ckheo	5	5	0	0
A	ckheol	3	2	0	0
A	ckheos	2	2	0	0
A	ckhey	32	24	0	0
A	ckhhy	6	5	0	0
A	ckho	6	5	0	0
A	ckhol	13	12	0	0
A	ckhor	5	5	0	0
A	ckhos	2	2	0	0
A	ckhs	2	2	0	0
A	ckhy	130	50	0	0
A	cph	9	8	0.555555555556	0
A	cphe	5	5	0	0
A	cpheo	4	4	0	0
A	cpheor	3	3	0	0
A	cphey	5	4	0	0
A	cphhy	2	2	0	0
A	cpho	4	4	0.25	0
A	cphol	6	6	0	0
A	cphor	3	3	0	0
A	cphy	10	8	0	0
A	cth	33	25	0.151515151515	0
A	cthan	2	2	0	0
A	cthd	2	2	0	0
A	cthe	8	6	0	0
A	ctheey	6	5	0	0
A	ctheo	5	4	0	0
A	ctheol	4	4	0	0
A	cthes	2	2	0	0
A	cthey	30	23	0	0
A	cthhy	7	7	0	0
A	ctho	19	16	0	0
A	cthod	4	4	0	0
A	cthoiin	2	2	0	0
A	cthol	40	24	0	0
A	cthor	29	21	0	0
A	cthy	138	57	0	0
A	d	312	74	0.403846153846	0.625
A	da	6	5	0	0.666666666667
A	e	437	50	0.0114416475973	0.0137299771167
A	echy	2	2	0	0
A	eckh	3	3	0	0
A	eckhe	2	2	0	0
A	eckhey	4	4	0	0
A	eckhy	20	10	0	0
A	ecthy	13	5	0	0
A	ed	62	25	0.209677419355	0.0322580645161
A	eda	4	3	0	0
A	ee	178	35	0	0.0955056179775
A	eeckhy	2	2	0	0
A	eed	19	15	0.0526315789474	0.0526315789474
A	eee	10	8	0	0.3
A	eees	14	14	0	0.285714285714
A	eeey	16	14	0	0.25
A	eekeey	2	2	0	0
A	eeky	5	5	0	0
A	eeo	21	15	0	0.142857142857
A	eeod	5	4	0	0.2
A	eeol	16	13	0	0.125
A	eeor	4	4	0	0.25
A	eeos	5	4	0	0.2
A	ees	15	14	0	0.4
A	eety	7	5	0	0
A	eey	173	49	0	0.0578034682081
A	efch	2	2	0	0
A	ek	11	9	0.272727272727	0
A	eke	2	2	0	0
A	ekeey	2	2	0	0
A	ekey	9	7	0	0
A	eky	31	23	0	0
A	eo	90	34	0	0.0222222222222
A	eockhy	2	2	0	0
A	eocthy	2	2	0	0
A	eod	13	13	0.307692307692	0
A	eok	3	3	0.666666666667	0
A	eoky	3	3	0	0
A	eol	92	42	0	0.0108695652174
A	eolke	2	2	0	0
A	eols	2	2	0	0
A	eor	34	23	0	0.0294117647059
A	eos	11	9	0.0909090909091	0
A	eoy	3	3	0	0
A	epchy	2	2	0	0
A	es	25	17	0	0.08
A	et	5	5	0.2	0
A	eta	3	3	0	0
A	ety	10	10	0	0
A	ey	200	52	0	0
A	f	5	4	0.4	0
A	fche	4	4	0	0
A	fcheey	4	4	0	0
A	fchod	2	2	1	0
A	fchor	2	2	0	0
A	fchy	2	2	0	0
A	g	3	2	0	0
A	h	6	6	0	0
A	k	145	47	0.337931034483	0
A	ka	6	6	0	0
A	kaiiin	3	3	0	0
A	kaly	3	3	0	0
A	kary	3	3	0	0
A	kch	12	10	0.0833333333333	0
A	kchd	3	3	0	0
A	kche	12	10	0	0
A	kcheeor	2	2	0	0
A	kcheey	4	3	0	0
A	kchey	7	6	0	0
A	kcho	5	4	0	0
A	kchol	16	13	0	0
A	kchor	12	11	0	0
A	kchy	15	14	0	0
A	ke	26	19	0.0384615384615	0
A	kech	2	2	0	0
A	ked	4	3	0	0
A	kee	25	17	0.04	0
A	keechy	2	2	0	0
A	keed	4	4	0	0
A	keeey	3	3	0	0
A	keeo	5	5	0	0
A	keeod	2	2	0	0
A	keeol	4	4	0	0
A	keeor	3	3	0	0
A	keesho	2	2	0	0
A	keey	22	18	0	0
A	keo	11	9	0	0
A	keod	3	3	0.666666666667	0
A	keol	9	8	0	0
A	keor	5	5	0	0
A	key	11	10	0	0
A	kl	2	2	0	0
A	ko	8	8	0.125	0
A	kod	2	2	1	0
A	kol	18	16	0	0
A	kor	13	12	0	0
A	ksh	4	4	0.25	0
A	kshd	2	2	0	0
A	kshe	2	2	0	0
A	ksheo	4	4	0	0
A	ksheol	2	2	0	0
A	kshey	3	3	0	0
A	ksho	2	2	0	0
A	kshy	2	2	0	0
A	ky	53	37	0	0
A	l	942	91	0.036093418259	0.924628450106
A	la	3	3	0	0
A	lch	12	8	0	0
A	lchd	5	4	0	0.2
A	lche	71	22	0	0
A	lcheckhy	2	2	0	0
A	lched	6	4	0	0
A	lcheey	7	6	0	0
A	lcheo	2	2	0	0
A	lcheol	6	5	0	0
A	lchey	25	17	0	0
A	lchol	3	3	0	0
A	lchs	2	2	0	0
A	lchy	7	6	0	0
A	ld	4	4	0.75	0
A	lfchy	2	2	0	0
A	lk	62	18	0.467741935484	0
A	lka	2	2	0	0
A	lkche	9	5	0	0
A	lkchey	6	3	0	0
A	lke	14	10	0	0
A	lked	3	3	0	0
A	lkee	16	9	0	0
A	lkeed	4	4	0	0
A	lkeeey	2	2	0	0
A	lkeeo	2	2	0	0
A	lkeeol	2	2	0	0
A	lkeey	18	13	0	0
A	lkeo	3	3	0	0
A	lkeol	4	4	0	0
A	lkey	4	4	0	0
A	lkl	4	4	0	0
A	lkshe	3	3	0	0
A	lky	11	8	0	0
A	lo	10	9	0	0
A	lod	4	4	0.5	0
A	lol	24	17	0	0
A	loly	2	2	0	0
A	lor	20	14	0	0
A	los	5	5	0.2	0
A	loty	2	2	0	0
A	lpch	2	2	0	0
A	lr	6	4	0	0
A	ls	4	4	0	0
A	lshd	2	2	0.5	0
A	lshe	25	15	0	0
A	lshee	5	3	0	0
A	lsheey	5	4	0	0
A	lsheo	2	2	0	0
A	lshey	9	6	0	0
A	lsho	2	2	0	0
A	lshy	2	2	0	0
A	lt	6	6	0.166666666667	0
A	ltee	2	2	0	0
A	ly	7	5	0	0
A	o	368	81	0.0733695652174	0
A	ockh	4	4	0	0
A	ockhe	4	4	0	0
A	ockhey	18	12	0	0
A	ockho	4	4	0	0
A	ockhol	5	5	0	0
A	ockhy	32	26	0	0
A	ocphy	2	2	0	0
A	octh	4	4	0	0
A	octhe	2	2	0	0
A	octhey	6	6	0	0
A	octho	2	2	0	0
A	octhy	32	25	0	0
A	odaiiin	4	4	0	0
A	odaly	5	5	0	0
A	odchy	2	2	0	0
A	odee	2	2	0	0
A	odeeey	4	4	0	0
A	odeey	2	2	0	0
A	odl	2	2	0	0
A	odol	4	4	0	0
A	odor	5	5	0	0
A	oek	4	4	0.25	0
A	oekeey	2	2	0	0
A	oekeo	2	2	0	0
A	oet	2	2	0	0
A	of	10	7	0.1	0
A	ofch	6	6	0	0
A	ofche	5	5	0	0
A	ofchey	4	4	0	0
A	ofchy	2	2	0	0
A	ofol	2	2	0	0
A	oiiin	9	9	0	0
A	oiin	38	24	0	0
A	oiir	3	3	0	0
A	oin	4	4	0	0
A	ok	847	70	0.338842975207	0
A	oka	24	20	0	0
A	okai	3	3	0	0
A	okaiiin	3	3	0	0
A	okaiir	4	4	0	0
A	okal	4	4	0	0
A	okalch	2	2	0	0
A	okalol	2	2	0	0
A	okaly	18	15	0	0
A	okan	8	8	0	0
A	okarol	2	2	0	0
A	okary	4	4	0	0
A	okch	43	27	0.093023255814	0
A	okchd	7	7	0	0
A	okche	36	15	0	0
A	okcheey	4	4	0	0
A	okcheo	6	6	0	0
A	okcheod	2	2	0.5	0
A	okchey	30	20	0	0
A	okcho	10	9	0	0
A	okchod	3	2	0.333333333333	0
A	okchol	16	13	0	0
A	okchor	14	11	0	0
A	okchy	64	36	0	0
A	oke	241	37	0	0
A	okech	3	3	0	0
A	okeche	5	3	0	0
A	okechey	2	2	0	0
A	okechy	11	11	0	0
A	oked	22	14	0.181818181818	0
A	okee	239	34	0.00836820083682	0
A	okeed	25	15	0.04	0
A	okeee	7	6	0	0
A	okeeeo	2	2	0	0
A	okeees	2	2	0	0
A	okeeey	26	15	0	0
A	okeeo	31	14	0	0
A	okeeol	9	8	0	0
A	okeeor	7	6	0	0
A	okeeos	2	2	0	0
A	okees	10	8	0	0
A	okeey	230	44	0	0
A	okeo	35	21	0.0285714285714	0
A	okeod	3	3	0	0
A	okeoke	2	2	0	0
A	okeol	43	23	0	0
A	okeoly	3	3	0	0
A	okeor	13	11	0	0
A	okeos	3	3	0	0
A	okes	2	2	0	0
A	okeshe	2	2	0	0
A	okeshey	2	2	0	0
A	okeshy	2	2	0	0
A	okey	79	28	0	0
A	okiin	2	2	0	0
A	okl	7	5	0.142857142857	0
A	oko	16	13	0.0625	0
A	okod	10	8	0.2	0
A	okoiin	5	4	0	0
A	okol	94	46	0.0106382978723	0
A	okoly	3	2	0	0
A	okor	34	26	0	0
A	oksh	5	5	0	0
A	okshd	3	3	0	0
A	okshe	9	9	0	0
A	oksheo	2	2	0	0
A	okshey	3	3	0	0
A	oksho	2	2	0	0
A	okshol	2	2	0	0
A	okshor	2	2	0	0
A	okshy	10	8	0	0
A	oky	159	68	0	0
A	ol	72	43	0.0138888888889	0.0277777777778
A	ola	3	3	0	0
A	olaiir	2	2	0	0
A	olch	7	5	0	0
A	olche	31	14	0	0
A	olchee	4	3	0	0
A	olcheey	4	4	0	0
A	olcheo	4	4	0	0
A	olcheol	4	3	0	0
A	olchey	19	11	0	0
A	olchy	6	6	0	0
A	old	19	14	0.421052631579	0
A	olda	2	2	0	0
A	olee	2	2	0	0
A	olfche	3	3	0	0
A	olk	70	23	0.285714285714	0
A	olka	4	4	0	0
A	olkche	5	4	0	0
A	olkchy	2	2	0	0
A	olke	17	12	0	0
A	olked	2	2	1	0
A	olkee	37	19	0	0
A	olkeechy	2	2	0	0
A	olkeeey	8	7	0	0
A	olkeeo	5	4	0	0
A	olkeeol	2	2	0	0
A	olkees	3	3	0	0
A	olkeey	29	18	0	0
A	olkeol	5	5	0	0
A	olkey	9	6	0	0
A	olkshey	2	2	0	0
A	olky	11	9	0	0
A	ollchy	2	2	0	0
A	olo	11	9	0.0909090909091	0
A	oloiin	2	2	0	0
A	olol	16	16	0	0
A	olor	19	14	0	0
A	olpchd	2	2	0	0
A	olpchey	2	2	0	0
A	ols	13	12	0.0769230769231	0
A	olsh	4	3	0	0
A	olshe	19	9	0	0
A	olsheey	5	5	0	0
A	olsheol	2	2	0	0
A	olshey	9	6	0	0
A	olshy	7	7	0	0
A	olt	8	5	0.125	0
A	olte	3	3	0	0
A	oltee	3	3	0	0
A	oly	44	27	0	0
A	oolkeey	2	2	0	0
A	op	24	18	0.25	0
A	opa	2	2	0	0
A	opch	19	15	0	0
A	opchd	2	2	0	0
A	opche	44	20	0	0
A	opched	7	6	0.428571428571	0
A	opchee	6	5	0	0
A	opcheey	5	4	0	0
A	opcheod	2	2	0	0
A	opcheol	2	2	0	0
A	opchety	2	2	0	0
A	opchey	22	17	0	0
A	opcho	2	2	0	0
A	opchol	5	5	0	0
A	opchor	4	4	0	0
A	opchsd	2	2	0	0
A	opchy	15	12	0	0
A	opol	3	3	0	0
A	opor	5	4	0	0
A	opshe	5	4	0	0
A	opy	8	8	0	0
A	opyd	2	2	1	0
A	or	509	87	0.0432220039293	0.0098231827112
A	ora	5	5	0	0
A	oraly	2	2	0	0
A	orche	2	2	0	0
A	orchey	4	4	0	0
A	oro	3	3	0	0
A	orol	8	7	0	0
A	oror	3	3	0	0
A	orshy	3	3	0	0
A	ory	18	14	0	0
A	os	47	33	0.106382978723	0.0425531914894
A	ot	432	62	0.298611111111	0
A	otaly	8	7	0	0
A	otan	2	2	0	0
A	otary	2	2	0	0
A	otas	3	3	0	0
A	otchd	8	6	0.125	0
A	otcheol	3	2	0	0
A	otchs	2	2	0	0
A	otechy	3	2	0	0
A	oteda	3	3	0	0
A	otedor	2	2	0	0
A	oteod	5	4	0.2	0
A	oteoly	2	2	0	0
A	oteos	4	3	0	0
A	otey	41	24	0	0
A	oto	16	15	0.0625	0
A	otod	7	5	0.285714285714	0
A	otoeey	2	2	0	0
A	otoiin	2	2	0	0
A	otolo	2	2	0.5	0
A	otoly	5	5	0	0
A	otoy	3	3	0	0
A	otshol	2	2	0	0
A	oykeey	2	2	0	0
A	p	13	10	0.384615384615	0
A	pch	8	8	0.125	0
A	pchd	6	5	0.333333333333	0
A	pche	21	12	0	0
A	pched	11	10	0.181818181818	0
A	pcheey	3	3	0	0
A	pcheo	5	4	0	0
A	pcheod	2	2	0.5	0
A	pcheol	7	6	0	0
A	pcheor	3	2	0	0
A	pcheos	2	2	0	0
A	pchey	3	3	0	0
A	pcho	4	3	0	0
A	pchocthy	2	2	0	0
A	pchod	7	6	0.428571428571	0
A	pchodol	2	2	0	0
A	pchol	3	3	0	0
A	pcholky	2	2	0	0
A	pchor	6	6	0	0
A	pchy	6	5	0	0
A	pd	3	3	0.666666666667	0
A	po	2	2	0	0
A	poche	2	2	0	0
A	pod	3	3	0.666666666667	0
A	pok	2	2	0	0
A	pol	17	12	0.352941176471	0
A	polar	2	2	0	0
A	polch	2	2	0	0
A	polche	6	6	0	0
A	polched	2	2	0	0
A	polor	2	2	0	0
A	por	9	7	0.222222222222	0
A	pshd	3	3	0.333333333333	0
A	pshe	2	2	0	0
A	pshee	2	2	0	0
A	psheo	2	2	0	0
A	pshod	2	2	1	0
A	py	5	5	0	0
A	pyd	2	2	1	0
A	r	69	34	0.31884057971	0
A	ra	2	2	0	0
A	raly	2	2	0	0
A	rara	2	2	0	0
A	rche	5	4	0	0
A	rched	2	2	0	0
A	rcheey	2	2	0	0
A	ro	4	3	0	0
A	rol	8	7	0	0
A	ror	9	7	0	0
A	rshe	5	3	0	0
A	rshey	2	2	0	0
A	ry	5	5	0	0
A	s	122	59	0	0
A	sey	2	2	0	0
A	sh	10	9	0.2	0.2
A	she	43	25	0	0.046511627907
A	shed	6	4	0	0
A	shee	2	2	0	0
A	shees	2	2	0	0
A	sheey	10	8	0	0
A	sheo	6	6	0	0.5
A	sheod	3	3	0	0
A	sheol	9	9	0	0
A	shey	23	15	0	0.130434782609
A	sho	12	12	0	0
A	shod	6	4	0.166666666667	0
A	shol	9	8	0	0
A	shor	14	12	0	0.0714285714286
A	shy	15	14	0	0.266666666667
A	t	13	13	0.153846153846	0
A	tch	2	2	0.5	0
A	tchy	3	3	0	0
A	tol	3	3	0	0
A	ty	21	18	0	0
A	y	904	88	0.00221238938053	0.0143805309735
A	ych	5	5	0	0
A	yche	15	12	0	0
A	yched	8	6	0.25	0
A	ychee	2	2	0	0
A	ycheeo	4	3	0	0
A	ycheeod	2	2	0.5	0
A	ychees	2	2	0	0
A	ycheey	14	11	0	0
A	ycheo	5	4	0	0
A	ycheod	3	3	0	0
A	ycheoky	2	2	0	0
A	ycheol	6	6	0	0
A	ycheor	7	6	0	0
A	yches	2	2	0	0
A	ychey	9	7	0	0
A	ycho	3	3	0	0
A	ychocthy	2	2	0	0
A	ychol	8	7	0	0
A	ychor	8	8	0	0
A	ychy	3	3	0	0
A	yd	15	13	0.6	0
A	yk	56	33	0.482142857143	0
A	yka	2	2	0	0
A	ykaly	3	3	0	0
A	ykch	3	3	0	0
A	ykche	4	4	0	0
A	ykcho	5	5	0	0
A	ykchol	3	3	0	0
A	ykchor	4	3	0	0
A	ykchy	8	8	0	0
A	yke	6	5	0	0
A	ykee	19	17	0	0
A	ykeed	2	2	0.5	0
A	ykeee	3	3	0	0
A	ykeeey	5	5	0	0
A	ykeeo	9	7	0	0
A	ykeeol	6	4	0	0
A	ykeeor	2	2	0	0
A	ykees	2	2	0	0
A	ykeey	25	20	0	0
A	ykeo	4	4	0	0
A	ykeod	2	2	0	0
A	ykeol	5	5	0	0
A	ykeos	2	2	0	0
A	ykey	2	2	0	0
A	ykoiin	2	2	0	0
A	ykol	5	5	0	0
A	yky	12	9	0	0
A	yl	2	2	0	0
