module	locus	page	physical_folio	source_group_index	source_group_count_by_reading	ZL3b_token	IT2a_token	RF1b_token	match_state_by_reading	match_positions_zero_based	proposed_segmentation_by_reading	reading_agreement	layout_role	kind	section	currier	hand	grammar_scope	left_separator_by_reading	right_separator_by_reading	annotation_provenance	object_tags	relation_tags	annotation_certainty	raw_source_description	claim_state
AR	f100r.1	f100r	f100	1	ZL3b:1;IT2a:1;RF1b:1	chosaroshol	chosaroshol	chosaroshol	ZL3b:INTERNAL;IT2a:INTERNAL;RF1b:INTERNAL	ZL3b:4;IT2a:4;RF1b:4	ZL3b:chos+[AR]+oshol;IT2a:chos+[AR]+oshol;RF1b:chos+[AR]+oshol	ALL_THREE_EXACT	LABEL	L	P	A	1	DIAGNOSTIC_NONPROSE	ZL3b:LINE_START;IT2a:LINE_START;RF1b:LINE_START	ZL3b:LINE_END;IT2a:LINE_END;RF1b:LINE_END	EXISTING_HUMAN_ANNOTATION	PLANT;LABEL	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY;REL_ARRAY_OR_GROUP	HEDGED	Labels associated with container 1 (top). || This label is actually above plant <f100r>[1,1], but since there are 6 labels on that row, we assume that the first one belongs to the container. Kluge's 15A in <f100r>.	FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
OL	f100r.1	f100r	f100	1	ZL3b:1;IT2a:1;RF1b:1	chosaroshol	chosaroshol	chosaroshol	ZL3b:SUFFIX;IT2a:SUFFIX;RF1b:SUFFIX	ZL3b:9;IT2a:9;RF1b:9	ZL3b:chosarosh+[OL]+∅;IT2a:chosarosh+[OL]+∅;RF1b:chosarosh+[OL]+∅	ALL_THREE_EXACT	LABEL	L	P	A	1	DIAGNOSTIC_NONPROSE	ZL3b:LINE_START;IT2a:LINE_START;RF1b:LINE_START	ZL3b:LINE_END;IT2a:LINE_END;RF1b:LINE_END	EXISTING_HUMAN_ANNOTATION	PLANT;LABEL	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY;REL_ARRAY_OR_GROUP	HEDGED	Labels associated with container 1 (top). || This label is actually above plant <f100r>[1,1], but since there are 6 labels on that row, we assume that the first one belongs to the container. Kluge's 15A in <f100r>.	FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
OL	f100r.12	f100r	f100	1	ZL3b:10;IT2a:10;RF1b:9	pcheol	pcheol	pcheol	ZL3b:SUFFIX;IT2a:SUFFIX;RF1b:SUFFIX	ZL3b:4;IT2a:4;RF1b:4	ZL3b:pche+[OL]+∅;IT2a:pche+[OL]+∅;RF1b:pche+[OL]+∅	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:LINE_START;IT2a:LINE_START;RF1b:LINE_START	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
OL	f100r.12	f100r	f100	4	ZL3b:10;IT2a:10;RF1b:9	shodol	shodol	shodol	ZL3b:SUFFIX;IT2a:SUFFIX;RF1b:SUFFIX	ZL3b:4;IT2a:4;RF1b:4	ZL3b:shod+[OL]+∅;IT2a:shod+[OL]+∅;RF1b:shod+[OL]+∅	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
TE	f100r.13	f100r	f100	4	ZL3b:8;IT2a:9;RF1b:8	oteey	oteey	oteey	ZL3b:INTERNAL;IT2a:INTERNAL;RF1b:INTERNAL	ZL3b:1;IT2a:1;RF1b:1	ZL3b:o+[TE]+ey;IT2a:o+[TE]+ey;RF1b:o+[TE]+ey	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
TEE	f100r.13	f100r	f100	4	ZL3b:8;IT2a:9;RF1b:8	oteey	oteey	oteey	ZL3b:INTERNAL;IT2a:INTERNAL;RF1b:INTERNAL	ZL3b:1;IT2a:1;RF1b:1	ZL3b:o+[TEE]+y;IT2a:o+[TEE]+y;RF1b:o+[TEE]+y	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
AR	f100r.13	f100r	f100	6	ZL3b:8;IT2a:9;RF1b:8	rorarydaiin	sorary	sararydaiin	ZL3b:INTERNAL;IT2a:INTERNAL;RF1b:INTERNAL	ZL3b:3;IT2a:3;RF1b:1,3	ZL3b:ror+[AR]+ydaiin;IT2a:sor+[AR]+y;RF1b:s+[AR]+arydaiin	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
OL	f100r.13	f100r	f100	8	ZL3b:8;IT2a:9;RF1b:8	deeomchol	daiin	deeamchol	ZL3b:SUFFIX;IT2a:ABSENT;RF1b:SUFFIX	ZL3b:7;RF1b:7	ZL3b:deeomch+[OL]+∅;RF1b:deeamch+[OL]+∅	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:LINE_END;IT2a:DEFINITE_SPACE;RF1b:LINE_END	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
OL	f100r.13	f100r	f100	9	IT2a:9		deeamshol		IT2a:SUFFIX	IT2a:7	IT2a:deeamsh+[OL]+∅	AVAILABLE_EXACT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	IT2a:DEFINITE_SPACE	IT2a:LINE_END	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
TE	f100r.14	f100r	f100	3	ZL3b:10;IT2a:10;RF1b:11	qoteey	qoteey	qoteey	ZL3b:INTERNAL;IT2a:INTERNAL;RF1b:INTERNAL	ZL3b:2;IT2a:2;RF1b:2	ZL3b:qo+[TE]+ey;IT2a:qo+[TE]+ey;RF1b:qo+[TE]+ey	READING_OR_TOPOLOGY_DISAGREEMENT	RUNNING_TEXT	P	P	A	1	CONFIRMED_PROSE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	NONE					FORMAL_MODULE_OCCURRENCE_NOT_MORPHEME
