page	physical_folio	record_id	ordinal_class	ordinal_binary	locus	field_ordinal	field_role	relative_quartile	within_field_position	field_end	page_host	wrapper	source_token	claim_state
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	FIRST	LINE_END	ok	q	qokain	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	orchey	NONE	orchey	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	ey	q	qey	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	k	NONE	kain	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	lt	NONE	ltain	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	olk	NONE	olkar	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.3	1	INSTRUCTION_CLAUSE_LIKE	0	LAST	LINE_END	or	NONE	or	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	2	SHORT_ARGUMENT_LIKE	0	SINGLE	DY	pche	NONE	pchedy	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	3	SHORT_ARGUMENT_LIKE	0	SINGLE	DY	oksh	q	qokshdy	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	4	INSTRUCTION_CLAUSE_LIKE	0	FIRST	LINE_END	yt	NONE	ytain	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
f75r	f75	Q13|f75r|R01	EARLIER	0	f75r.7	4	INSTRUCTION_CLAUSE_LIKE	0	MIDDLE	LINE_END	ok	q	qokar	OPAQUE_CONSTRUCTIONAL_OCCURRENCE_NO_GLOSS
