rank	feature_family	feature_value	denominator	ha_count	ha_folios	ha_rate_per_1000	hb_count	hb_folios	hb_rate_per_1000	sb_count	sb_folios	sb_rate_per_1000	ob_count	ob_folios	ob_rate_per_1000	sa_count	sa_folios	sa_rate_per_1000	other_count	other_folios	other_rate_per_1000	shared_a_enrichment_log2	shared_other_b_specificity_log2	hb_sb_abs_log2_rate_difference	minimum_target_folio_support	same_hand3_support	hb_hand3_count	hb_hand3_folios	sb_hand3_count	sb_hand3_folios	hb_nonhand3_count	hb_nonhand3_folios	cross_hand_target_support	sa_cross_currier_sensitivity	lofo_min_a_enrichment_log2	lofo_min_other_b_specificity_log2	family_selector_bits	rank_score	formal_function_hint	classification
1	WRAPPER_CORE	NONE|ain	GROUP	0	0	0.127811861	4	4	3.398791541	16	8	3.397858320	5	5	1.216814159	0	0	1.655629139	0	0	0.730994152	4.732532068	1.481516852	0.000396182	4	NO	0	0	16	8	4	4	YES	ABSENT	4.457957224	1.206942008	6.357552005	7.803246856	FORMAL_PATTERN	B_S_ENRICHED_HAND_CONFOUNDED
2	WRAPPER_CORE	ch|daiin	GROUP	0	0	0.127811861	4	2	3.398791541	7	3	1.544481054	0	0	0.110619469	0	0	1.655629139	0	0	0.730994152	3.595028544	3.803444947	1.137899705	2	YES	2	1	7	3	2	1	YES	ABSENT	2.137326517	2.345742919	6.357552005	7.611041192	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
3	WRAPPER_CORE	NONE|ar	GROUP	7	6	1.917177914	22	11	16.993957704	59	11	12.252883031	20	7	4.535398230	6	1	21.523178808	1	1	2.192982456	2.676065116	1.433820110	0.471900632	11	YES	2	2	57	11	20	9	YES	PRESENT	2.537215607	1.294970600	6.357552005	7.458897411	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
4	WRAPPER_TRANSITION	che>che	TRANSITION	3	3	1.121435437	12	9	11.003521127	42	11	10.133524082	20	9	5.326058717	3	1	13.513513514	11	5	20.246478873	3.175717510	0.927995741	0.118829280	9	YES	1	1	41	10	11	8	YES	PRESENT	2.987709626	0.739987857	5.491853096	7.366226706	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
5	RECORD_STATE	ED_MEDIUM	GROUP	2	2	0.639059305	16	11	12.462235650	123	11	25.432454695	46	11	10.287610619	0	0	1.655629139	0	0	0.730994152	4.285469273	0.276654959	1.029107813	11	YES	3	2	116	11	13	9	YES	ABSENT	4.036853724	0.028039410	3.584962501	7.347063553	FORMAL_PATTERN	A_RARE_BS_SHARED_WEAK_SPECIFICITY
6	CORE	daiin	GROUP	1	1	0.383435583	6	4	4.909365559	17	5	3.603789127	4	2	0.995575221	0	0	1.655629139	0	0	0.730994152	3.232458465	1.855912367	0.446022001	4	YES	2	1	16	5	4	3	YES	ABSENT	2.478363435	1.101817336	6.209453366	7.187287926	PREDOMINANT_CARRIER_STATE	B_S_REGISTER_CANDIDATE
7	STATE_TRANSITION	ED_MEDIUM>CARRIER_STATE	TRANSITION	0	0	0.160205062	4	3	3.961267606	25	6	6.080114449	5	5	1.428942582	0	0	1.930501931	0	0	0.880281690	4.627970524	1.471014219	0.618136314	3	YES	2	1	25	6	2	2	YES	ABSENT	3.874438301	0.717481997	6.000000000	7.161946062	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
8	WRAPPER_CORE	che|dy	GROUP	0	0	0.127811861	25	13	19.259818731	99	12	20.490115321	130	13	28.871681416	0	0	1.655629139	1	1	2.192982456	7.235428590	-0.584061004	0.089333979	12	YES	5	2	98	12	20	11	YES	ABSENT	7.144772981	-0.674716613	6.357552005	7.071711724	FORMAL_PATTERN	GENERIC_CURRIER_B_NOT_BS_SPECIFIC
9	CORE	opch	GROUP	0	0	0.127811861	3	3	2.643504532	9	7	1.956342669	3	3	0.774336283	0	0	1.655629139	0	0	0.730994152	3.936065462	1.337126942	0.434292708	3	YES	2	2	9	7	1	1	YES	ABSENT	3.542364435	0.943425915	6.209453366	7.056046051	PREDOMINANT_CLOSURE_HOST	B_S_REGISTER_CANDIDATE
10	CLOSED_FIELD_CLOSER	opch	FIELD	0	0	0.553097345	3	3	7.608695652	9	7	6.270627063	3	3	2.051582649	0	0	8.620689655	0	0	2.808988764	3.503004397	1.611872444	0.279039436	3	YES	2	2	9	7	1	1	YES	ABSENT	3.131525159	1.240393205	4.000000000	6.975357124	FORMAL_PATTERN	B_S_REGISTER_CANDIDATE
