artifact	fold_id	operation_A	operation_B	base_X	A_X	B_X	predicted_fourth	target_present	claim_state	semantic_role
gdt003_nested_correct_predictions.tsv	f101	PREFIX_REPLACE:qo>y	SUFFIX_ADD:y	qopchol	ypchol	qopcholy	ypcholy	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f102	PREFIX_REPLACE:o>y	SUFFIX_ADD:dy	opchol	ypchol	opcholdy	ypcholdy	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f104	PREFIX_ADD:ch	SUFFIX_REPLACE:ar>eor	pchar	chpchar	pcheor	chpcheor	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f104	PREFIX_ADD:o	SUFFIX_REPLACE:al>ar	pchal	opchal	pchar	opchar	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f105	PREFIX_ADD:ol	SUFFIX_REPLACE:dy>ey	pchedy	olpchedy	pcheey	olpcheey	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f108	PREFIX_REPLACE:d>p	SUFFIX_REPLACE:ol>oly	dchol	pchol	dcholy	pcholy	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f111	PREFIX_ADD:op	SUFFIX_REPLACE:ar>dy	cheear	opcheear	cheedy	opcheedy	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f113	PREFIX_ADD:ch	SUFFIX_REPLACE:edy>ey	opchedy	chopchedy	opchey	chopchey	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f113	PREFIX_REPLACE:c>pc	SUFFIX_REPLACE:dy>or	cheody	pcheody	cheoor	pcheoor	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f113	PREFIX_REPLACE:o>qo	SUFFIX_REPLACE:eol>ody	opcheol	qopcheol	opchody	qopchody	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
gdt003_nested_correct_predictions.tsv	f113	PREFIX_REPLACE:o>y	SUFFIX_REPLACE:dy>edy	opchedy	ypchedy	opcheedy	ypcheedy	1	ALREADY_IN_GDT003_GENERIC_ALGEBRA	UNASSIGNED
