event_id	source_host_id	target_host_id	source_host	target_host	locus	physical_folio	section	currier	hand	source_index	target_index	source_frequency_bin	position_quartile	line_count_bin	claim_state
0	Ha1888c82d959b54c	Hbc56ada309bb04a8	cphol	ees	f100r.22	f100	P	A	1	5	6	F2_4	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
1	Hbc56ada309bb04a8	H2bdd94c004581aa9	ees	ey	f100r.22	f100	P	A	1	6	7	F5_15	Q2	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
2	Hb81bd1794cb8ff01	Hdf80071647156c98	aiichor	eor	f100r.24	f100	P	A	1	1	2	F1	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
3	Hdf80071647156c98	Hf91627a035ee6d16	eor	ockho	f100r.24	f100	P	A	1	2	3	F16_63	Q1	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
4	Hf91627a035ee6d16	H13103a7285731ca7	ockho	odeor	f100r.24	f100	P	A	1	3	4	F2_4	Q2	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
5	Hdf80071647156c98	Hcaa1b3fccb03191a	eor	keeo	f100r.25	f100	P	A	1	1	2	F16_63	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
6	Hcaa1b3fccb03191a	Hacac86c0e609ca90	keeo	l	f100r.25	f100	P	A	1	2	3	F2_4	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
7	Hacac86c0e609ca90	H055eebf601617046	l	aiin	f100r.25	f100	P	A	1	3	4	F64P	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
8	H055eebf601617046	H70f0f2d2339c3c71	aiin	ctheol	f100r.25	f100	P	A	1	4	5	F64P	Q1	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
9	H70f0f2d2339c3c71	Hb4829753fc89bd19	ctheol	olcheol	f100r.25	f100	P	A	1	5	6	F2_4	Q1	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
10	Hb4829753fc89bd19	H2076584e3f0868e7	olcheol	ky	f100r.25	f100	P	A	1	6	7	F2_4	Q2	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
11	H2076584e3f0868e7	Hacac86c0e609ca90	ky	l	f100r.25	f100	P	A	1	7	8	F16_63	Q2	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
12	Hacac86c0e609ca90	Hfa12806087aab99d	l	ockhy	f100r.25	f100	P	A	1	8	9	F64P	Q3	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
13	Hfa12806087aab99d	Hafebe00901ad67dd	ockhy	okeol	f100r.25	f100	P	A	1	9	10	F16_63	Q3	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
14	Hacac86c0e609ca90	Hacac86c0e609ca90	l	l	f100r.27	f100	P	A	1	1	2	F64P	Q0	5_7	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
15	Hacac86c0e609ca90	H65c74c15a686187b	l	o	f100r.27	f100	P	A	1	2	3	F64P	Q1	5_7	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
16	H65c74c15a686187b	H319938721e6fbfbc	o	ckheo	f100r.27	f100	P	A	1	3	4	F64P	Q2	5_7	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
17	H319938721e6fbfbc	H01b7a543ca336194	ckheo	otolchey	f100r.27	f100	P	A	1	4	5	F2_4	Q3	5_7	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
18	H7175517a370b5cd2	H2bdd94c004581aa9	or	ey	f100v.15	f100	P	A	1	1	2	F64P	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
19	H2bdd94c004581aa9	H9fe430e5274621be	ey	air	f100v.15	f100	P	A	1	2	3	F64P	Q0	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
20	Hacac86c0e609ca90	H4fb715028b735031	l	oolkeey	f100v.15	f100	P	A	1	5	6	F64P	Q2	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
21	H4fb715028b735031	Hacac86c0e609ca90	oolkeey	l	f100v.15	f100	P	A	1	6	7	F1	Q2	8P	PHYSICAL_ADJACENCY_NO_WORD_BOUNDARY_OR_MEANING
